Freq,Floor Bounce,Ceiling Bounce,Front Wall Bounce,Side Wall Bounce,Rear Wall Bounce,Total Early Reflection
22.4,-3.997715386039829,-4.531549161945662,-3.8963749942372488,-3.8486741071228323,-4.289992170307755,-4.1051999539080555
23.0,-2.829282675045903,-3.364869408220187,-2.878005442745888,-2.785746300046725,-3.2036360292680115,-3.0062906321271328
23.6,-1.2292826750459085,-1.7648694082201644,-1.3900780473281031,-1.3017423259876466,-1.7063066673802894,-1.4730690464972156
24.0,0.6396453197600067,0.03513059177981859,0.3530556617604077,0.4246209689467264,0.047749797094894575,0.3062092416432449
25.0,2.5396453197600692,1.9684508380543093,2.199419194994505,2.2246209689467378,1.8977404152805661,2.1718940235948594
25.8,4.505318067664689,3.900767494455607,4.062741155236608,4.106653970384542,3.779425572181566,4.078071420307765
26.5,6.439645319760018,5.833589826879972,5.906461967594566,5.966726580211798,5.656399555392312,5.968558984561383
27.2,8.339645319760024,7.733589826879978,7.806461967594544,7.784447268896201,7.523236358663382,7.846057585154455
28.0,10.239645319760058,9.633589826879984,9.654077694859353,9.626942270060766,9.374217942731121,9.7153151627802
29.0,12.139645319760035,11.566921851160487,11.55407769485933,11.462635796693576,11.217438155288079,11.598912285869858
30.0,14.039645319760012,13.433589826879967,13.406461967594566,13.300149329746574,13.091170811731047,13.466000183730756
30.7,15.870717324954086,15.333589826879972,15.306461967594572,15.136479352233266,14.95324087187555,15.331156865181441
31.5,18.47071732495408,17.933589826879967,17.906461967594595,17.712500221070854,17.550138519114796,17.92601230297919
32.5,20.53663575667187,20.035130591779847,20.03393590673133,19.769524261877763,19.615683709582356,20.009643633381472
33.5,22.068450838054332,21.56769521305293,21.617441282220398,21.285260410285446,21.14852642155256,21.549211292721793
34.5,23.934351408685018,23.435130591779824,23.526937582648458,23.162588777409496,23.054488689835495,23.433775452564674
35.5,25.834351408685023,25.370014882574765,25.480868454646327,25.1206434330808,24.98409538938091,25.36816086532815
36.5,27.70076749445562,27.27001488257477,27.465287159995512,27.061194742341826,26.937226526012864,27.295605475265234
37.5,29.566921851160515,29.170014882574776,29.476589773218308,29.002302320640496,28.857519450397575,29.22313489146245
38.7,31.466921851160492,31.07001488257478,31.431755138619053,30.92433078266879,30.789285597146772,31.14491052125223
