Freq "Sound Power DI"
22.4 29.25301230387197
23.0 29.19322821200865
23.6 29.167173080182067
24.0 29.245086919953366
25.0 29.293238208877
25.8 29.339985370060703
26.5 29.36553275151593
27.2 29.38369418908954
28.0 29.40817771758249
29.0 29.43266314691286
30.0 29.421091250359837
30.7 29.48492986430834
31.5 29.476977965348496
32.5 29.481732443188548
33.5 29.46950526052089
34.5 29.48009354353411
35.5 29.507199931565466
36.5 29.565002364656706
37.5 29.620668879520778
38.7 29.67325273605087
40.0 29.708530898315132
41.2 29.73327853128096
42.5 29.76526502705765
43.7 29.782057060281176
45.0 29.817944425508273
46.2 29.839388660144323
47.5 29.82975404980168
48.7 29.86657697813787
50.0 29.91722893840604
51.5 29.969325280098545
53.0 30.018331659323778
54.5 30.021314595665174
56.0 30.040197800143886
58.0 30.082368514029397
60.0 30.118226661132212
61.5 30.158196504579692
63.0 30.187437940876663
65.0 30.214154274712214
67.0 30.243981486149636
69.0 30.29694435831813
71.0 30.32314378981873
73.0 30.35269314268811
75.0 30.39908769992158
77.5 30.442068154962158
80.0 30.50000955565723
82.5 30.5440305476953
85.0 30.580807584883374
87.5 30.634777919902362
90.0 30.678437577076792
92.5 30.744548876297358
95.0 30.75661209304043
97.5 30.82594726795304
100.0 30.87033287629076
103.0 30.922256947171746
106.0 30.971280999551084
109.0 31.023383994647816
112.0 31.05851462768294
115.0 31.108206660039926
118.0 31.139374511448935
122.0 31.176512636140686
125.0 31.207374039585773
128.0 31.24025643005922
132.0 31.28667564071894
136.0 31.296180696187022
140.0 31.316144235427615
145.0 31.345643051668787
150.0 31.398802926842507
155.0 31.46358317713981
160.0 31.595646903908772
165.0 31.75467175739678
170.0 32.00455478354233
175.0 32.269240763748556
180.0 32.5415348440373
185.0 32.800762559521246
190.0 33.004584593162875
195.0 33.13856506872261
200.0 33.255271507451525
206.0 33.289654065209916
212.0 33.3180367609168
218.0 33.28983012845114
224.0 33.26301089443396
230.0 33.22492962204035
236.0 33.192580778294285
240.0 33.14857103221294
250.0 33.12072566800998
258.0 33.10804773871459
265.0 33.15888974625507
272.0 33.24922098344686
280.0 33.39511127538418
290.0 33.66314798541056
300.0 33.930720831848674
307.0 34.17735073346796
315.0 34.279469612920636
325.0 34.246978845748544
335.0 34.1957420432074
345.0 34.125502642786614
355.0 34.150898055058235
365.0 34.19170882237691
375.0 34.304451638169624
387.0 34.4702455248527
400.0 34.66023256530343
412.0 34.827348768441496
425.0 34.81522485280408
437.0 34.72282053538967
450.0 34.522974436221276
462.0 34.246325955665725
475.0 33.95400925775709
487.0 33.77081685432941
500.0 33.672796954253926
515.0 33.879839627033775
530.0 34.246658159939386
545.0 34.6753656985463
560.0 34.920913527894
580.0 35.0586554283276
600.0 35.240866569222746
615.0 35.54521026406988
630.0 36.039113273335715
650.0 36.51049530703915
670.0 36.804000861070364
690.0 36.677102317512535
710.0 36.21813120535535
730.0 35.762851000307506
750.0 35.543590415227996
775.0 35.678279979585284
800.0 36.10597391661716
825.0 36.62947610153964
850.0 37.15129010835682
875.0 37.385466223963306
900.0 37.46851252364088
925.0 37.59723331781096
950.0 37.7397000745035
975.0 37.77752135039165
1000.0 37.863764561692335
1030.0 38.08925341416568
1060.0 38.38719381829857
1090.0 38.591036423200435
1120.0 38.65278036380043
1150.0 38.97286837026651
1180.0 39.515162739716445
1220.0 39.90149986450683
1250.0 40.13818145773443
1280.0 39.896551818641186
1320.0 39.50555463690483
1360.0 39.45337082913224
1400.0 39.34640001283523
1450.0 38.74607460659287
1500.0 38.17821492125417
1550.0 38.00209660046585
1600.0 38.077715144316855
1650.0 37.837727115044316
1700.0 37.61615410895561
1750.0 37.36218984189793
1800.0 37.436809386852175
1850.0 37.59657626888303
1900.0 37.303097758182275
1950.0 36.87201843564637
2000.0 36.75148185184911
2060.0 36.249541193277096
2120.0 36.20349323889528
2180.0 36.83593254704911
2240.0 37.38350034512648
2300.0 38.11609675094971
2360.0 38.52916342801525
2400.0 38.545138199978865
2500.0 38.84229717019575
2580.0 38.81256765595312
2650.0 38.800661365901064
2720.0 38.804346887709684
2800.0 38.808550207127354
2900.0 38.67791040517906
3000.0 38.30003458333745
3070.0 38.2236727381932
3150.0 38.24771256092171
3250.0 38.46882719284133
3350.0 38.44517520917384
3450.0 38.259172276083675
3550.0 37.878307784440466
3650.0 37.512125367581035
3750.0 37.09833062292407
3870.0 36.52316640268022
4000.0 36.51275973176337
4120.0 37.40552316023057
4250.0 37.64984918854917
4370.0 37.75585750349654
4500.0 37.948658370782695
4620.0 37.894128139121065
4750.0 37.56974851817644
4870.0 37.406352049871
5000.0 37.42910230230059
5150.0 37.14808913117821
5300.0 37.327550996815816
5450.0 37.45280882250148
5600.0 37.65134300057176
5800.0 38.03613581930675
6000.0 38.10299794872657
6150.0 37.59510575155372
6300.0 36.83783521953967
6500.0 36.33933628387145
6700.0 37.011844089468724
6900.0 37.376888956010475
7100.0 37.889667905737255
7300.0 37.92388489836381
7500.0 37.34052719270534
7750.0 37.23895953398407
8000.0 36.663133530056854
8250.0 37.38017610726111
8500.0 38.06548726878897
8750.0 38.10432147061357
9000.0 38.106112711954225
9250.0 37.74471866884733
9500.0 37.74218324054202
9750.0 37.95929465249779
10000.0 38.23991128191399
10300.0 38.18037051383554
10600.0 38.59404266022912
10900.0 38.753388503098506
11200.0 38.83445094322151
11500.0 39.06415528550694
11800.0 39.03133133140939
12200.0 38.88806406229679
12500.0 39.57410110234747
12800.0 39.399073322049034
13200.0 39.27000527532172
13600.0 39.29068067823374
14000.0 39.05760939392961
14500.0 39.31634833774949
15000.0 39.179942796207825
15500.0 39.6229799319032
16000.0 39.805162926819435
16500.0 37.958631695174475
17000.0 38.76798325780216
17500.0 37.68737970770583
18000.0 36.583482369480336
18500.0 37.84936804938165
19000.0 37.52062096700293
19500.0 38.193588095080045
