Freq "Ceiling Bounce"
20.5078 56.77692366767204
21.9727 47.48967300960541
23.4375 45.47321450549637
24.9023 42.716889705207194
26.3672 48.705509234084076
27.832 45.741605930206276
29.2969 51.62764735499974
30.7617 52.94313334998242
32.2266 54.19629723872026
33.6914 56.90187117419714
35.1562 59.100863876729875
36.6211 62.30472501720726
38.0859 64.7419265094177
39.5508 66.68574517010052
41.0156 68.6304437420545
42.4805 70.9517366546328
43.9453 74.00628955011999
45.4102 75.51742120516907
46.875 76.7686743235555
48.3398 78.17264734443575
51.2695 81.32891198645788
52.7344 82.4602169453486
54.1992 82.76927405029727
55.6641 82.86338956988021
58.5938 84.54231339583598
60.0586 85.03655848521078
62.9883 86.13230948026315
64.4531 86.43991813426825
67.3828 86.92844277660686
68.8477 87.14563805620716
71.7773 87.46296858107274
74.707 87.60908852082287
77.6367 87.6582316270853
79.1016 87.6915409831756
82.0312 87.72495097267776
84.9609 87.62474680712667
87.8906 87.54939510414478
90.8203 87.4794692060617
95.2148 87.45861071808213
98.1445 87.37499416831194
101.074 87.31819911638776
105.469 87.07998249441788
108.398 87.12458066741397
112.793 87.12112547821202
117.188 86.87846909042558
120.117 86.8514336835529
124.512 86.80423367587547
128.906 86.70221116345256
133.301 86.58635821863109
139.16 86.39023023645751
143.555 86.10742983133704
147.949 86.00002566076729
153.809 85.9664110537742
159.668 85.95124643137036
165.527 86.0581133310239
171.387 85.84151928393284
177.246 85.56657360154884
183.105 85.32846716409728
188.965 85.35837937116123
196.289 85.49782461111809
203.613 85.58791909651353
210.938 85.35039095060436
218.262 85.3068933652366
225.586 85.19496744942646
232.91 85.20777983225818
241.699 84.98909726363185
250.488 84.50470308432745
259.277 85.0508623760621
268.066 84.61926770740381
276.855 84.92473834134802
287.109 85.11322264997827
297.363 85.26405905533912
307.617 85.13557791291129
319.336 84.63054958568051
329.59 84.48232100249275
341.309 84.0542791027708
353.027 83.76575656022027
366.211 85.60721309767567
379.395 85.82902388203897
392.578 84.99819930373977
405.762 85.37488157420168
420.41 86.20425228235337
435.059 85.04161303452628
451.172 84.66668907311862
465.82 84.24595338871683
483.398 84.10056633056102
499.512 85.18105202913631
517.09 85.62086761301433
536.133 85.97318980556484
555.176 87.61309513648851
574.219 87.02270554107554
594.727 86.78116821110157
615.234 85.97768709636601
637.207 84.59704629990054
659.18 83.23524161532949
682.617 80.60492978100393
707.52 81.40759369965363
732.422 83.73563287187613
757.324 85.32001542911603
785.156 84.54098730083936
811.523 82.7520846270335
840.82 76.58938664862617
870.117 85.47168492238877
900.879 85.69298720882315
933.105 85.77441622954541
965.332 85.013501054307
1000.49 84.71757133908882
1035.64 83.82188517758141
1072.27 84.23938253040913
1108.89 83.61673624486994
1148.44 83.33995175991711
1189.45 84.3240715324759
1230.47 84.42843413792086
1274.41 85.07634405338125
1319.82 84.01767510873631
1366.7 82.32904041743369
1413.57 84.20353478548594
1463.38 85.02599014314963
1516.11 82.58092046739347
1568.85 81.93943443279642
1624.51 84.47954517176073
1681.64 84.16338896669777
1741.7 82.50557528282036
1803.22 82.10403904272638
1866.21 82.14022209441883
1932.13 82.2259082521033
1999.51 82.6016054722549
2069.82 83.42189133039946
2143.07 83.18517029223702
2219.24 84.24954618870431
2296.88 85.2760608928692
2378.91 86.19934537882388
2462.4 86.97119788686763
2548.83 87.08039752064045
2639.65 86.92581434357459
2731.93 86.93577042069643
2828.61 87.02394867501212
2928.22 86.46655195028539
3030.76 85.82163783478427
3137.7 85.90146662367104
3249.02 85.8880100968321
3363.28 86.02737708336971
3481.93 85.74920378788022
3604.98 84.73713165079837
3732.42 84.83539636253472
3864.26 84.72976528167213
4000.49 84.80801600118448
4141.11 84.03455522106744
4287.6 84.40941985596471
4438.48 83.29952397005331
4595.21 81.98250235016882
4756.35 81.17919573972301
4924.8 81.50556553598781
5097.66 81.00324341022679
5277.83 81.90510989354195
5463.87 81.87715307269715
5657.23 81.80576380925534
5856.45 82.57876245101818
6062.99 83.17117802818875
6276.86 82.92297262254183
6498.05 81.88429974511791
6726.56 81.26478484894454
6963.87 80.31382052947224
7209.96 79.77249292441124
7464.84 78.94963650634011
7727.05 78.35000322333273
7999.51 78.02056544452233
8282.23 78.29041179172327
8573.73 77.32799317009056
8876.95 76.14647093699196
9188.96 75.57512468358254
9514.16 75.0346870373798
9849.61 73.50325223292012
10196.8 73.00426760166577
10555.7 72.86751643298847
10927.7 72.02131647442745
11313.0 72.06668399506381
11712.9 71.19667323071383
12126.0 70.54796554606195
12553.7 71.68187312438974
12996.1 72.22095229580181
13454.6 72.27853286946811
13929.2 71.6661377184183
14419.9 69.9384495811151
14928.2 66.89946854058684
15455.6 63.42953117314627
16000.5 61.52037618367319
16564.5 61.35359246740819
17148.9 60.830869371435966
17752.4 68.74812244240823
18379.4 69.6736814972562
19026.9 68.5189898931006
19697.8 67.8230972798049
19999.5 67.9132808416704
