Freq "Total Early Reflection"
20.5078 56.011585805071576
21.2402 52.07928882168389
21.9727 53.82553145934645
22.7051 54.96357585850802
23.4375 42.07804550340251
24.1699 43.27206964712664
25.6348 51.73416344919721
26.3672 54.32300575757935
27.0996 56.712927737017196
27.832 58.96458130525127
29.2969 63.1792259247577
30.0293 65.08808420385355
31.4941 67.78964060118159
32.2266 68.88630761530789
33.6914 71.7232823048223
34.4238 73.32299128110051
35.8887 76.05108393939068
37.3535 78.64843100662708
38.8184 81.13579913011748
39.5508 82.33736416949193
41.0156 84.41977294462802
42.4805 86.69923190748705
43.9453 88.7597768700806
45.4102 90.74077011498149
47.6074 93.43647084458979
49.0723 95.13820472276383
50.5371 96.74737982615558
52.7344 98.93558476027206
54.1992 100.20023115292813
56.3965 101.75619243115175
58.5938 102.91259951144933
60.0586 103.41809452730007
62.2559 103.88449425684941
64.4531 104.10985266577418
66.6504 104.15101059092582
69.5801 104.04105579181117
71.7773 103.95976765160863
73.9746 103.83838441981936
76.9043 103.72542992276198
79.834 103.63793147165967
82.7637 103.59415243101405
85.6934 103.56115935376815
88.623 103.51526863088034
91.5527 103.55041464860246
94.4824 103.62297134861915
98.1445 103.72715878369391
101.807 103.82765105878308
105.469 103.93892540997423
109.131 104.08261377868263
112.793 104.19083323132685
116.455 104.35052931703967
120.85 104.56684013608546
125.244 104.70997252425056
129.639 104.82310453866054
134.033 104.94112980694462
138.428 105.08519427464493
143.555 105.19772725872437
148.682 105.26730885499222
153.809 105.34456837831911
159.668 105.48136480346747
164.795 105.62983589641712
170.654 105.67803414158713
176.514 105.68886802414947
183.105 105.71809980345236
189.697 105.76005555412092
196.289 105.86535254742302
202.881 105.89663835734703
210.205 105.88320655827022
217.529 105.88602381253965
225.586 105.90612457270456
232.91 105.9652513422769
241.699 105.85244353952547
249.756 105.90310440019105
258.545 105.95765579063045
268.066 105.84879627988992
277.588 105.70532212365464
287.109 105.32335730508319
297.363 105.30820911079309
307.617 105.21689169367949
318.604 105.08709760085543
329.59 105.1462910298633
341.309 104.9166676672229
353.76 104.96356841754235
366.211 104.97203098395569
378.662 105.19905213814047
392.578 105.05751326920536
405.762 104.92582230607255
420.41 104.80569493835101
435.059 104.544598351989
450.439 104.42066786820558
466.553 104.35845009454228
482.666 104.18159788496286
500.244 104.17957247915268
517.822 103.92175749382919
536.133 104.1025426989329
554.443 104.07242963121269
574.219 103.89053769082776
594.727 104.82633770289945
615.234 105.29218387556543
637.207 105.11857453558213
659.912 105.11435100236302
683.35 105.06469237435118
706.787 104.58231838769515
731.689 104.65481510154599
758.057 104.69584190623944
784.424 104.68433235688877
812.256 104.74465235020168
840.82 104.18714649884707
870.85 103.92662660879397
901.611 103.80031842844275
933.105 103.81849449154298
966.064 103.52754534262996
999.756 104.04649808490211
1034.91 103.73020088833452
1071.53 103.67434226265871
1109.62 103.36791124324284
1148.44 103.36166296832867
1189.45 103.19213900727465
1231.2 103.28633730881893
1274.41 103.11905795122149
1319.82 102.91917053505279
1365.97 102.56606135170449
1414.31 102.57322624666516
1464.11 102.49155274310421
1515.38 102.25659313971985
1568.85 102.04291522699579
1624.51 101.69021066281066
1681.64 101.33821068766099
1740.97 101.18382302193369
1802.49 101.17389337915353
1866.21 100.76397166285223
1932.13 100.339717972891
2000.24 100.85137108912306
2070.56 101.3558584645602
2143.8 101.16551704308239
2219.24 100.97618557583348
2297.61 101.6382689726682
2378.17 102.0645696269226
2462.4 101.90898595246964
2548.83 101.94121955979031
2638.92 102.22958395285981
2731.93 102.1268434075833
2828.61 102.24080115495052
2928.22 102.1836596445637
3031.49 101.9279624654427
3138.43 102.07128657927109
3249.02 102.06728004082294
3363.28 102.05701658070228
3481.93 101.94083118323282
3604.98 101.88729867454768
3732.42 101.62473160102878
3863.53 101.32276094459517
3999.76 101.52570438126862
4141.11 101.19120651891632
4286.87 101.60055991081579
4438.48 101.65860224054244
4594.48 101.71936463235056
4757.08 101.9274612381941
4924.8 101.99041587093949
5098.39 102.05863539698527
5277.83 101.7666861962681
5463.87 101.43844076351021
5656.49 100.8367702606215
5856.45 100.32341800650201
6062.99 100.30683192931558
6276.86 100.6240472604716
6498.05 100.664511713115
6727.29 101.01666604571949
6964.6 101.3422862670493
7209.96 101.24267551835332
7464.11 100.81657843352644
7727.78 100.22253166212204
8000.24 99.98592558100842
8282.23 100.59970073485468
8574.46 101.57269124508315
8876.22 101.96470022433981
9189.7 101.56230723951397
9513.43 100.82468312066678
9848.88 100.69956115398293
10196.8 101.03410475879467
10556.4 101.43624985356493
10928.5 101.51427630162175
11313.7 101.45380225419692
11712.9 101.19033131614447
12126.0 100.94085684813042
12553.7 101.23874581785071
12996.1 101.47002890752029
13454.6 101.58914774573077
13928.5 101.2773688934804
14419.9 100.75961256304319
14928.2 101.0410707283613
15454.8 101.28819773198583
15999.8 101.01331630768408
16564.5 100.30019338948934
17148.2 99.7444438125136
17753.2 99.48773440280685
18379.4 98.48080204652108
19027.6 96.67415530431579
19698.5 95.9423749322634
19999.5 95.28453360128681
