Freq "Listening Window"
20.5078 58.402557570322315
21.9727 60.39878938079893
23.4375 61.93236522800575
24.9023 62.84090518309283
26.3672 63.42040638327205
27.832 64.04073479914896
29.2969 65.23465253771154
30.7617 65.91372193108737
32.2266 66.45706413434918
33.6914 67.09584005225082
35.1562 67.79568814607308
36.6211 68.43134299036247
38.0859 68.88621848136007
39.5508 69.20061402362147
41.0156 69.92537671187489
42.4805 70.31378188613779
43.9453 70.47525673118388
45.4102 71.07729129257062
46.875 71.5719538895235
48.3398 71.99470254045822
51.2695 72.18447599508282
52.7344 73.03589692552086
54.1992 73.83946881534234
55.6641 74.76111605191709
58.5938 74.54737974967159
60.0586 74.84443446028381
62.9883 75.44673368393462
64.4531 75.53471806729875
67.3828 75.98776908565709
68.8477 76.26524926935174
71.7773 76.79912189823305
74.707 77.24456889585909
77.6367 77.64855071132921
79.1016 77.91049798047412
82.0312 78.49789414292758
84.9609 78.55529065550915
87.8906 79.18066087320322
90.8203 79.47324305072759
95.2148 80.22846976019918
98.1445 80.41814651990308
101.074 80.4645094624258
105.469 80.77943560908633
108.398 81.14761956928622
112.793 81.26112845886094
117.188 81.66187271789842
120.117 81.98398324358519
124.512 82.16695227415603
128.906 82.41002287171139
133.301 82.48915440790235
139.16 82.4361332109177
143.555 82.77470683527112
147.949 83.0306572741604
153.809 83.0584016518452
159.668 83.21041962418104
165.527 83.14385161137537
171.387 83.19859770239036
177.246 83.16202197353287
183.105 83.22833968763197
188.965 83.13404483338218
196.289 83.38397652248884
203.613 83.22366688008145
210.938 83.13818651549626
218.262 82.98598079007193
225.586 83.18307713029036
232.91 82.97923584879804
241.699 82.696595158491
250.488 83.04327768528204
259.277 82.86463947480145
268.066 82.6622799874188
276.855 82.75390586431328
287.109 82.46025588165386
297.363 82.63786876242914
307.617 82.26943625495751
319.336 82.06123105686645
329.59 81.89797977321656
341.309 81.99437791943714
353.027 81.86259011592858
366.211 82.29308306923441
379.395 81.57015733163611
392.578 81.04012799457826
405.762 81.6525587989564
420.41 81.57830734422572
435.059 81.5453082457071
451.172 81.76255028321535
465.82 81.33526995738498
483.398 80.99309291404188
499.512 81.4032787475288
517.09 81.33528519674311
536.133 81.86221657189587
555.176 81.56172714499552
574.219 82.27462612955183
594.727 82.51989830585188
615.234 82.94960598465066
637.207 83.3073977127786
659.18 83.81052931199284
682.617 84.2887570163834
707.52 84.42895846553701
732.422 84.21462646631807
757.324 83.93992812733079
785.156 83.63747375037754
811.523 83.72126996881182
840.82 83.68498782439353
870.117 83.78158553361517
900.879 83.54862748754543
933.105 83.36286161611095
965.332 83.28412333657403
1000.49 82.88915388833975
1035.64 82.41494774305079
1072.27 81.80852559431231
1108.89 81.92804186257516
1148.44 81.8139616784298
1189.45 81.89824456198953
1230.47 81.76873724188474
1274.41 81.62968208811164
1319.82 81.24372230602499
1366.7 80.63975443957365
1413.57 80.90493164228582
1463.38 81.6128865178501
1516.11 81.75552326806388
1568.85 81.2997856212626
1624.51 80.74578261818233
1681.64 81.04029191994641
1741.7 81.49931967936617
1803.22 81.96734355859624
1866.21 80.98097575056718
1932.13 80.51158502225022
1999.51 81.17897545716272
2069.82 81.33891035062784
2143.07 80.66073209313828
2219.24 80.660252340148
2296.88 81.4394055322624
2378.91 81.29932670893587
2462.4 80.66285975274262
2548.83 80.829360971783
2639.65 80.39584903680132
2731.93 80.51310299274714
2828.61 80.93397139224578
2928.22 80.12992582859852
3030.76 80.89675055285225
3137.7 81.13435174395099
3249.02 81.10002807872151
3363.28 81.17766496727019
3481.93 81.44880796107581
3604.98 81.69397273302826
3732.42 82.13425242458636
3864.26 82.45365690769586
4000.49 82.61426881688614
4141.11 82.65527617067971
4287.6 82.7414679730462
4438.48 83.21322105357794
4595.21 83.61955643319047
4756.35 83.63359147638326
4924.8 83.27193057270101
5097.66 84.16804984692435
5277.83 83.29280683724886
5463.87 83.4702303507343
5657.23 83.50494394567748
5856.45 83.25433210262054
6062.99 82.74520853220054
6276.86 82.50344278952204
6498.05 82.10245525789354
6726.56 81.43972413183383
6963.87 80.61164302915464
7209.96 80.71217911208332
7464.84 81.64810149667544
7727.05 82.3301402837071
7999.51 82.65668039110484
8282.23 82.99225068891458
8573.73 82.98027320390047
8876.95 83.02646883823998
9188.96 82.77379834978534
9514.16 82.50643750865115
9849.61 82.3698060557853
10196.8 82.66955087187284
10555.7 82.63535222771789
10927.7 82.35148965773219
11313.0 81.98527391156561
11712.9 81.48672317297024
12126.0 80.89619963673292
12553.7 80.53774210573316
12996.1 80.60257208075605
13454.6 80.83698162513363
13929.2 80.97294743036429
14419.9 81.22299417274117
14928.2 81.52307121083008
15455.6 81.87101300438107
16000.5 81.86499903482894
16564.5 81.6530912087617
17148.9 81.43665860146483
17752.4 81.19475666967084
18379.4 80.6189749983156
19026.9 79.82042347882752
19697.8 79.06099936630767
19999.5 78.77810436870546
