Freq "Sound Power DI"
22.4 15.18765756968962
23.0 15.282153219470729
23.6 15.303560064605662
24.0 15.406171835883427
25.0 15.475897061325526
25.8 15.5482896300866
26.5 15.591717938592026
27.2 15.70744370946744
28.0 15.763694874174263
29.0 15.866400716450201
30.0 15.919003176554767
30.7 16.029747446350058
31.5 16.10490693959595
32.5 16.172139520424594
33.5 16.260310316562993
34.5 16.36114441581735
35.5 16.44483251404378
36.5 16.538446480965575
37.5 16.61427028797921
38.7 16.717042500937353
40.0 16.823928283960726
41.2 16.911197065594592
42.5 17.02911255856631
43.7 17.116553702151776
45.0 17.201461469037497
46.2 17.29939565937724
47.5 17.400377598922404
48.7 17.512284375202995
50.0 17.621064387978493
51.5 17.705133623735705
53.0 17.820013405455327
54.5 17.929706552638578
56.0 18.02821586084255
58.0 18.142583842221583
60.0 18.23374435723869
61.5 18.351423994562452
63.0 18.467513406095833
65.0 18.565911915794103
67.0 18.69309064824155
69.0 18.760962845876435
71.0 18.885655361665656
73.0 18.984525726259804
75.0 19.077959900339508
77.5 19.211098710501446
80.0 19.30244718994686
82.5 19.405929900331188
85.0 19.486072502399523
87.5 19.613646782439034
90.0 19.70898253362948
92.5 19.802847275027858
95.0 19.92783938547889
97.5 19.979023396253936
100.0 20.087481928609265
103.0 20.18486233926994
106.0 20.274156571397228
109.0 20.367968067032564
112.0 20.4552573518028
115.0 20.525758252097887
118.0 20.610225247730725
122.0 20.686246597898446
125.0 20.748861583446356
128.0 20.848021632374
132.0 20.909678365401746
136.0 20.989091234097145
140.0 21.04856441087071
145.0 21.144816215245754
150.0 21.20102430482119
155.0 21.26452839950558
160.0 21.326710148492438
165.0 21.386312388171746
170.0 21.422954655955863
175.0 21.487671622991115
180.0 21.544055260013764
185.0 21.617636979475733
190.0 21.669959970918924
195.0 21.717836111063164
200.0 21.730235610302117
206.0 21.783649185102448
212.0 21.855676134117985
218.0 21.888003776879714
224.0 21.928969799449945
230.0 21.95882427145571
236.0 21.996482297128537
240.0 22.00825302457845
250.0 22.04290563456628
258.0 22.07600794540255
265.0 22.065420304180307
272.0 22.081464917247402
280.0 22.08609295011449
290.0 22.075583468734877
300.0 22.047887324059175
307.0 22.007962749854244
315.0 21.95639797486008
325.0 21.872356243028932
335.0 21.781310642270768
345.0 21.728628296985562
355.0 21.84572399388712
365.0 22.34902803596313
375.0 23.112626849290677
387.0 23.67362172126657
400.0 23.89408496756596
412.0 23.931038039273105
425.0 23.909664941687552
437.0 23.856823434433792
450.0 23.81705816391623
462.0 23.791511191150377
475.0 23.750992736717876
487.0 23.742141917687718
500.0 23.717702001457383
515.0 23.708278461335865
530.0 23.701320466821883
545.0 23.69422658220344
560.0 23.731315543922136
580.0 23.745239977012417
600.0 23.77705448797812
615.0 23.846803695425734
630.0 23.920186918222896
650.0 24.018061966607277
670.0 24.146501956340657
690.0 24.28080242531756
710.0 24.434288900452785
730.0 24.56599822450785
750.0 24.699609054533482
775.0 24.84968167823402
800.0 24.941918386404964
825.0 25.01653434330902
850.0 25.08053779272177
875.0 25.122685063468822
900.0 25.14345412007482
925.0 25.19235926170562
950.0 25.23425924436195
975.0 25.24800353998326
1000.0 25.18607326116468
1030.0 24.950002579670297
1060.0 24.437499147375135
1090.0 23.397773203681737
1120.0 21.866828010274318
1150.0 21.070682810622472
1180.0 22.09771975422572
1220.0 23.712927356149265
1250.0 25.061328028586644
1280.0 26.069191846123914
1320.0 26.79465433059528
1360.0 27.23377705212181
1400.0 27.395044346502573
1450.0 27.26359439870845
1500.0 26.920028785401797
1550.0 26.47701810747651
1600.0 26.22672967725171
1650.0 26.195706105997544
1700.0 26.342482979202927
1750.0 26.56696533566101
1800.0 26.5042372305995
1850.0 25.926631096141932
1900.0 25.34358959134795
1950.0 25.120604074410238
2000.0 24.992187183732597
2060.0 24.340959872846582
2120.0 23.143656562804694
2180.0 22.19252905368114
2240.0 21.804038135879225
2300.0 22.015579842191485
2360.0 22.59726895604824
2400.0 22.80150545349987
2500.0 23.003393960209763
2580.0 23.599093768888793
2650.0 24.04382388539122
2720.0 24.388736216843
2800.0 25.316117772949184
2900.0 26.274480893630212
3000.0 27.192238915834466
3070.0 28.051604670629104
3150.0 28.451041844325232
3250.0 28.591575828502897
3350.0 28.982540807702918
3450.0 29.030541515837726
3550.0 28.703553496664128
3650.0 28.126730815175137
3750.0 27.696022582681877
3870.0 27.376024639672508
4000.0 27.45253041267054
4120.0 27.881026469722826
4250.0 28.216587582756134
4370.0 28.343927656298504
4500.0 28.452670211137033
4620.0 28.970531140893414
4750.0 29.258763444613564
4870.0 29.18343322245005
5000.0 28.94233453235387
5150.0 28.736630015382033
5300.0 28.716896941011825
5450.0 28.453538064574033
5600.0 29.035792877710904
5800.0 29.628621879269218
6000.0 29.751286070534206
6150.0 29.65027973609463
6300.0 29.628659975443014
6500.0 29.42733801998945
6700.0 29.34926560918703
6900.0 29.191675915177598
7100.0 29.474503557332298
7300.0 29.829989639082257
7500.0 29.841252074734157
7750.0 29.737692508319128
8000.0 29.676910745536063
8250.0 29.827408250639593
8500.0 29.78801697298495
8750.0 29.611817951039058
9000.0 29.60551891447588
9250.0 29.655757909453456
9500.0 29.666893660155864
9750.0 29.73635716261971
10000.0 29.84178142727528
10300.0 29.40056896934867
10600.0 29.486655070515823
10900.0 29.812065767534733
11200.0 29.928501759836138
11500.0 29.663029962894015
11800.0 29.955601580243226
12200.0 30.088629381857018
12500.0 30.37133996848823
12800.0 30.01549009809132
13200.0 30.092466604527985
13600.0 29.919161111579385
14000.0 30.19741890418409
14500.0 30.30376926157922
15000.0 30.357668165955573
15500.0 30.52558292045869
16000.0 30.559427194581673
16500.0 30.671618825219284
17000.0 30.978248435958307
17500.0 31.648517105173795
18000.0 31.895368937272977
18500.0 32.226491019174645
19000.0 32.35646484118888
19500.0 32.19199951578199
