Freq "Sound Power"
20.5078 49.32938104875586
21.9727 38.740574312794735
23.4375 35.80503932377928
24.9023 42.40837337456645
26.3672 37.39453083767185
27.832 40.60624329073801
29.2969 39.38859139985914
30.7617 47.53887468825266
32.2266 50.56907340794032
33.6914 52.61404088503696
35.1562 53.9137476467271
36.6211 56.40758774925405
38.0859 58.97918534220901
39.5508 61.10428933127099
41.0156 63.03576621928198
42.4805 65.1206213642335
43.9453 67.01448660439014
45.4102 68.97204581635069
46.875 70.74989339815924
48.3398 72.54139211828303
51.2695 75.49884606777513
52.7344 76.81634369646784
54.1992 77.9153339637185
55.6641 78.92868588522742
58.5938 80.58916257010057
60.0586 81.28365377158491
62.9883 82.43309045058824
64.4531 82.84614192937269
67.3828 83.64209081844531
68.8477 84.00068946483425
71.7773 84.67259989258936
74.707 85.28660722936642
77.6367 85.87729297796851
79.1016 86.19371439258693
82.0312 86.7998392781734
84.9609 87.42548828817279
87.8906 88.04437971350943
90.8203 88.66375780474657
95.2148 89.49868734757482
98.1445 90.02870217709933
101.074 90.42129309009492
105.469 90.75195653967455
108.398 90.82574464415373
112.793 90.72888199698933
117.188 90.42306178399359
120.117 90.10989407838173
124.512 89.554342698047
128.906 88.98568609850278
133.301 88.39573356697956
139.16 87.66195317100973
143.555 87.06887760443514
147.949 86.70335804532252
153.809 86.28779803891292
159.668 85.73278458324846
165.527 85.20210253404784
171.387 84.9594287243211
177.246 84.70270694863802
183.105 84.34736271561411
188.965 84.02853623826982
196.289 83.60763530006263
203.613 83.23451475775533
210.938 82.9948327197583
218.262 82.7565849350081
225.586 82.25031477755346
232.91 81.58447873422665
241.699 81.31974603294887
250.488 81.35985377218847
259.277 81.66637444311273
268.066 81.38954709167012
276.855 81.18305732080546
287.109 80.60022690632105
297.363 80.64817928681039
307.617 80.64791403686448
319.336 80.37737995454276
329.59 80.51988508627966
341.309 80.44865223400205
353.027 80.16947332472424
366.211 79.5931896102035
379.395 78.85757924441904
392.578 78.86206949592142
405.762 77.66945782139356
420.41 78.46046431099015
435.059 79.56006910178559
451.172 79.44784793894783
465.82 79.58466287968977
483.398 80.2770428181055
499.512 80.58591920687908
517.09 80.57718520460801
536.133 79.59310628811544
555.176 77.77527638205817
574.219 77.52514186893717
594.727 78.57823700793438
615.234 78.48498508000932
637.207 78.76595155911556
659.18 78.80001071253028
682.617 79.22618403712886
707.52 79.05584529123792
732.422 79.4079567285192
757.324 79.7842952698449
785.156 80.08486985583238
811.523 80.74518342485823
840.82 81.60994997737846
870.117 81.88520933946225
900.879 82.14013699607293
933.105 82.30013781062007
965.332 81.77587864901929
1000.49 81.0923878589687
1035.64 80.35231823705062
1072.27 80.58243312932333
1108.89 80.71650626963064
1148.44 80.04538918538896
1189.45 79.0526306879687
1230.47 80.43197668247674
1274.41 81.05319440844646
1319.82 81.92658015629675
1366.7 82.11724735460444
1413.57 83.05419801721182
1463.38 84.08852301176098
1516.11 85.86801813702424
1568.85 87.87622338270036
1624.51 88.42544415143743
1681.64 88.7829655598734
1741.7 88.12177835879416
1803.22 86.5636086400609
1866.21 85.58431409321452
1932.13 84.99570936876802
1999.51 84.75698700989727
2069.82 84.04161977388583
2143.07 82.6465272569714
2219.24 81.77688283552862
2296.88 82.00434618141827
2378.91 81.74175877836164
2462.4 81.31250527716074
2548.83 82.19933601450508
2639.65 82.66708972872544
2731.93 82.7037462312152
2828.61 82.66742224956978
2928.22 82.63964193674902
3030.76 82.73054858362907
3137.7 82.75549890412248
3249.02 83.10792802960282
3363.28 83.37159908926449
3481.93 83.45248895687591
3604.98 83.26909538819926
3732.42 83.49273432342474
3864.26 83.25553494853705
4000.49 83.41909506180748
4141.11 83.22551633117381
4287.6 82.92576727678065
4438.48 82.75751400827902
4595.21 82.86134010242165
4756.35 82.62465751219045
4924.8 82.36064794695184
5097.66 82.35279257053017
5277.83 82.37692858205463
5463.87 82.51467569091318
5657.23 82.66971548921377
5856.45 82.77238355003996
6062.99 82.86474200387603
6276.86 83.0970672721953
6498.05 83.08420428815161
6726.56 82.47436954193311
6963.87 81.45782440505138
7209.96 81.44988418600263
7464.84 81.83872576230249
7727.05 81.8644162857387
7999.51 81.7407648341886
8282.23 81.99821573104549
8573.73 82.24822004364052
8876.95 81.96828781470273
9188.96 81.63579416551146
9514.16 81.85203248516304
9849.61 81.82719835995238
10196.8 81.82037947326785
10555.7 81.73598099930123
10927.7 81.47983985737025
11313.0 81.1231564303352
11712.9 80.78055101841994
12126.0 80.4754615703392
12553.7 80.32579919813922
12996.1 80.42838542479424
13454.6 80.68815227071347
13929.2 80.80320081675225
14419.9 80.4594322294961
14928.2 79.91335698211739
15455.6 79.58694321879697
16000.5 79.40783496270888
16564.5 79.43619023676729
17148.9 79.66564336525745
17752.4 79.89130423469757
18379.4 79.35257849029911
19026.9 78.11999336733103
19697.8 76.69186435140482
19999.5 76.03235568585555
