Freq "Early Reflections"
22.4 30.025120066119584
23.0 34.44152801387399
23.6 44.218757103258
24.0 46.949541200306825
25.0 47.33018638841763
25.8 47.61517456920048
26.5 47.84993090642406
27.2 47.9056240586679
28.0 48.06727132199502
29.0 48.3614800986514
30.0 49.04878132837145
30.7 50.30200010175743
31.5 52.04176721567039
32.5 54.20848102180243
33.5 56.58432120814187
34.5 58.88416725789587
35.5 60.93307025145985
36.5 62.80562051964537
37.5 64.61500554055128
38.7 66.32527161409398
40.0 68.00425124152311
41.2 69.72298961240702
42.5 71.46259658525734
43.7 73.53618237182924
45.0 74.88707772270855
46.2 75.83719931940954
47.5 77.02290578528363
48.7 78.16671771122829
50.0 79.05292967592979
51.5 79.90637275717523
53.0 80.83951243149144
54.5 81.67650068955588
56.0 82.50248566938124
58.0 83.37462434399474
60.0 84.20526962157423
61.5 84.76141336529523
63.0 85.15246645221859
65.0 85.52907126956093
67.0 85.87858236234756
69.0 86.23322204866597
71.0 86.64285106681427
73.0 87.05109896943482
75.0 87.47826457785317
77.5 87.91582017220931
80.0 88.2418047378983
82.5 88.45037943267636
85.0 88.58688162126022
87.5 88.60303721529482
90.0 88.44724734096694
92.5 88.11710954797263
95.0 87.60526550519022
97.5 87.21045499069994
100.0 86.91562147283041
103.0 86.72136403231542
106.0 86.66610742883421
109.0 86.63099220501115
112.0 86.61391799064509
115.0 86.61389155094362
118.0 86.60994299080899
122.0 86.56232421711395
125.0 86.43740056250275
128.0 86.2199025931845
132.0 85.99048403438482
136.0 85.82538845971152
140.0 85.71856173845838
145.0 85.65908758469746
150.0 85.5476969896546
155.0 85.37073154521735
160.0 85.10512716310184
165.0 84.93574372995606
170.0 85.115952012452
175.0 85.31461795067715
180.0 85.29059249388567
185.0 84.93250817377762
190.0 84.23546338117005
195.0 83.7099779105571
200.0 83.72972637953362
206.0 84.09620862943976
212.0 84.62367277864351
218.0 85.02905751787084
224.0 85.19081554236372
230.0 85.27726929182856
236.0 85.35320470362863
240.0 85.39743500035172
250.0 85.40362126981583
258.0 85.33438230538984
265.0 85.13757346420697
272.0 84.75000828290602
280.0 84.47853487499694
290.0 84.5711943956412
300.0 84.6569020124206
307.0 84.6222743375774
315.0 84.54712185435369
325.0 84.54721093519892
335.0 84.48942019842241
345.0 83.95266682330366
355.0 83.43701233128688
365.0 83.31049259352379
375.0 83.1191720039911
387.0 82.66290849300655
400.0 82.40416873131589
412.0 82.08575196614312
425.0 81.87417489331266
437.0 82.36320989474693
450.0 82.90220122409627
462.0 83.1737911212455
475.0 83.14138957935073
487.0 82.8248491803601
500.0 82.04433506077147
515.0 81.60062119880872
530.0 81.86755925632787
545.0 81.85000827796567
560.0 81.98013065294238
580.0 82.01455554461491
600.0 82.09309500970276
615.0 82.59239779375767
630.0 83.00513436694406
650.0 82.69626534975609
670.0 80.79505803855946
690.0 80.39584198345337
710.0 81.11694199668709
730.0 81.40137277194647
750.0 80.12610809168105
775.0 78.95634346652065
800.0 78.18339188218427
825.0 78.26408593502401
850.0 78.53301239572383
875.0 79.04909395159278
900.0 79.77935973121552
925.0 80.01274918203927
950.0 80.97787820360354
975.0 81.54756614407083
1000.0 81.93092722127618
1030.0 82.0493503611705
1060.0 82.15963813143765
1090.0 82.34223855872305
1120.0 82.07637823006009
1150.0 81.67053217961907
1180.0 81.56102427593434
1220.0 81.50510821536754
1250.0 81.5965441033312
1280.0 81.28853286884232
1320.0 81.26084838543106
1360.0 81.15781794830495
1400.0 80.7053206055147
1450.0 80.39284364646447
1500.0 80.46215128348841
1550.0 79.83710424205071
1600.0 80.39302798856757
1650.0 81.29574398008586
1700.0 81.09378119888576
1750.0 79.67439093035328
1800.0 79.82582516936029
1850.0 79.33132564403101
1900.0 78.6198148088245
1950.0 78.93731219091458
2000.0 79.45740304887323
2060.0 80.41888546509058
2120.0 81.10432545936712
2180.0 79.93661892884711
2240.0 77.85054020090067
2300.0 77.08580958198583
2360.0 76.60865315875189
2400.0 77.3576093045825
2500.0 77.97953573814651
2580.0 78.53491086998085
2650.0 78.46820123687621
2720.0 79.77185505466522
2800.0 78.82655694044256
2900.0 78.19647249038519
3000.0 77.93312257206756
3070.0 78.98326980446798
3150.0 79.23825121657477
3250.0 79.19687769156326
3350.0 79.24632327884483
3450.0 79.41482663315618
3550.0 80.69297643288712
3650.0 80.7384971474428
3750.0 80.05579944054772
3870.0 79.75142920702366
4000.0 79.07587597902
4120.0 78.06527169452876
4250.0 77.36596340646315
4370.0 78.50078813584707
4500.0 80.16284334683255
4620.0 81.80708631965288
4750.0 83.71719463098042
4870.0 82.22981388927911
5000.0 80.21424930198042
5150.0 78.25710384313021
5300.0 77.57252130405992
5450.0 77.58483943869335
5600.0 78.06848221972294
5800.0 79.68694121121382
6000.0 81.82153596707208
6150.0 82.55341646541417
6300.0 81.99394522946442
6500.0 79.50973039093763
6700.0 78.4586726919511
6900.0 79.07871442154367
7100.0 81.0119128822745
7300.0 81.31999666952026
7500.0 80.49174647989899
7750.0 79.66254370098235
8000.0 79.92119988813549
8250.0 82.1374142108616
8500.0 81.36723961700498
8750.0 80.48124243072016
9000.0 81.09107401427035
9250.0 82.38949996651009
9500.0 82.24855464209317
9750.0 82.18491622612817
10000.0 81.05180907486209
10300.0 79.75546728588127
10600.0 80.18287688463572
10900.0 82.14819281147882
11200.0 80.84326357743905
11500.0 78.75327058621082
11800.0 78.86913767065664
12200.0 81.64191526833514
12500.0 86.20682320778235
12800.0 81.85605083081505
13200.0 86.35191711288856
13600.0 86.15748521728268
14000.0 80.96412713549752
14500.0 80.89741936630348
15000.0 80.50662563375833
15500.0 78.46630978045711
16000.0 78.07451690154998
16500.0 77.38104460057359
17000.0 77.96506512778454
17500.0 77.19084078359239
18000.0 73.14952500142476
18500.0 72.32909554140846
19000.0 68.9961907587079
19500.0 66.79659146818044
