Freq "Front Wall Bounce"
22.4 59.00032894280355
23.0 59.1861845050195
23.6 59.37199384997416
24.0 59.52914153605899
25.0 59.6861845050195
25.8 59.829141536058984
26.5 59.957756674645324
27.2 60.07199384997416
28.0 60.200328942803566
29.0 60.30032894280356
30.0 60.400328942803554
30.7 60.45775667464531
31.5 60.54347267302079
32.5 60.62914153605898
33.5 60.67199384997417
34.5 60.729141536058975
35.5 60.786184505019506
36.5 60.829141536058984
37.5 60.857756674645316
38.7 60.91442746339747
40.0 60.92914153605899
41.2 60.971993849974155
42.5 61.01442746339747
43.7 61.02914153605899
45.0 61.02914153605899
46.2 61.04347267302079
47.5 61.07199384997416
48.7 61.0861845050195
50.0 61.11442746339745
51.5 61.12914153605897
53.0 61.12914153605897
54.5 61.12914153605897
56.0 61.14347267302077
58.0 61.1577566746453
60.0 61.1577566746453
61.5 61.17199384997416
63.0 61.17199384997416
65.0 61.1861845050195
67.0 61.1861845050195
69.0 61.200328942803566
71.0 61.200328942803566
73.0 61.200328942803566
75.0 61.21442746339747
77.5 61.21442746339747
80.0 61.21442746339747
82.5 61.22914153605899
85.0 61.22914153605899
87.5 61.22914153605899
90.0 61.24347267302079
92.5 61.24347267302079
95.0 61.24347267302079
97.5 61.22914153605899
100.0 61.22914153605899
103.0 61.200328942803566
106.0 61.1577566746453
109.0 61.1147553152921
112.0 61.08651449586095
115.0 61.05873795327733
118.0 61.0157312616482
122.0 60.97330291364352
125.0 60.94510093472826
128.0 60.93044092512275
132.0 60.903258722836426
136.0 60.8891238393078
140.0 60.87427332535259
145.0 60.859711624560006
150.0 60.859711624560006
155.0 60.845100934728265
160.0 60.81801062006426
165.0 60.78845654626879
170.0 60.746388491110736
175.0 60.73271257836937
180.0 60.71801062006425
185.0 60.6900687161658
190.0 60.64770564348939
195.0 60.66264712636357
200.0 60.66264712636357
206.0 60.7196118582809
212.0 60.7477056434894
218.0 60.79040609132019
224.0 60.83271257836937
230.0 60.89040609132019
236.0 60.93271257836935
240.0 60.97622924621439
250.0 60.990406091320196
258.0 61.00520163599492
265.0 61.00520163599492
272.0 61.00520163599492
280.0 60.97622924621439
290.0 60.962647126363564
300.0 60.94963652984532
307.0 60.94963652984532
315.0 60.962647126363564
325.0 61.00520163599492
335.0 61.049636529845316
345.0 61.076229246214396
355.0 61.146388491110756
365.0 61.20359507493896
375.0 61.25971162456
387.0 61.302608739473314
400.0 61.345100934728265
412.0 61.35905509047515
