Freq "Sound Power"
22.4 -173.48060246679415
23.0 -173.48977867830212
23.6 -173.496809351394
24.0 -173.5086806968459
25.0 55.889986984559
25.8 58.55409807249383
26.5 60.85236466504138
27.2 62.47782802193872
28.0 63.800016808982846
29.0 64.89474221086245
30.0 65.86935049424797
30.7 66.74119635531513
31.5 67.53253520663468
32.5 68.2846632692556
33.5 68.99147321224211
34.5 69.62637113265157
35.5 70.28232213765952
36.5 70.89599192110887
37.5 71.49084870370451
38.7 72.08772581772976
40.0 72.65671775831494
41.2 73.2328440931313
42.5 73.78237299789873
43.7 74.34623408264525
45.0 74.90360299064419
46.2 75.44096841895492
47.5 74.03391681268693
48.7 74.55242713760329
50.0 75.09552230233322
51.5 76.31312789481314
53.0 77.58066216698758
54.5 78.66594044858708
56.0 79.58617086175583
58.0 80.38961674918623
60.0 81.0745110270028
61.5 81.66861147317576
63.0 82.15253790418977
65.0 82.55018009653982
67.0 82.89199836652314
69.0 83.13924272490756
71.0 83.32969918678997
73.0 83.46608651863738
75.0 83.56528936829817
77.5 83.73173615600804
80.0 83.87736467773338
82.5 84.00956002264576
85.0 84.11876356495925
87.5 84.2108300587197
90.0 84.27572688179879
92.5 84.35065940478579
95.0 84.38886320570387
97.5 84.44619955205759
100.0 84.47509236202063
103.0 84.47978712566668
106.0 84.49116530400607
109.0 84.50499210291188
112.0 84.52532928459757
115.0 84.55208934793694
118.0 84.60112060996224
122.0 84.63653212273528
125.0 84.68216332918853
128.0 84.63102439366672
132.0 84.60133190879145
136.0 84.57521810989311
140.0 84.55886879060614
145.0 84.48342804743203
150.0 84.44036166293904
155.0 84.32747408199359
160.0 84.19972150693788
165.0 84.0751166075387
170.0 83.98800838727784
175.0 83.88203611678846
180.0 83.8069933899226
185.0 83.73278889953987
190.0 83.66994912865357
195.0 83.55495593889673
200.0 83.46335966777757
206.0 83.33484983725997
212.0 83.13846658429522
218.0 82.98157330849624
224.0 82.81205623748447
230.0 82.54867371213548
236.0 82.25907732307921
240.0 81.94260122963675
250.0 81.62199652576624
258.0 81.40476808783382
265.0 81.17446428218516
272.0 80.93244237403927
280.0 80.55732481203769
290.0 80.09556751874008
300.0 79.58659059717317
307.0 79.42005047098495
315.0 79.44105509973978
325.0 79.42716349833005
335.0 79.42793250647553
345.0 79.43129567900311
355.0 79.2812477097092
365.0 78.80803082359112
375.0 78.34868107429762
387.0 78.15844101929848
400.0 78.01459705121621
412.0 77.81311941499366
425.0 77.57964815234925
437.0 77.49940387859786
450.0 77.52090841127306
462.0 77.54319130944405
475.0 77.561339725936
487.0 77.25449168107659
500.0 76.85262909943262
515.0 76.89807096673361
530.0 77.0030035799519
545.0 77.04451481300164
560.0 76.90895416961071
580.0 76.80600804733534
600.0 77.10693449039829
615.0 77.67832289305356
630.0 78.37276805214357
650.0 79.02994351019707
670.0 79.31789594161411
690.0 79.37740523519989
710.0 79.41674097893504
730.0 79.46531812346738
750.0 79.20030075901278
775.0 79.00503104934592
800.0 78.8306666258562
825.0 78.27256132051849
850.0 77.56370011660678
875.0 76.91993483438422
900.0 75.8610535351266
925.0 75.08394317528939
950.0 75.10828032689813
975.0 75.04296877478485
1000.0 75.17877953567375
1030.0 75.50599640773626
1060.0 75.2162887135173
1090.0 74.62208441330965
1120.0 74.00433903947813
1150.0 73.4002511948772
1180.0 73.47465266071877
1220.0 73.38072230040117
1250.0 73.2301002443756
1280.0 72.94536352207298
1320.0 72.75968321040139
1360.0 72.77859567700027
1400.0 72.9507492457084
1450.0 72.97507441562536
1500.0 72.74550690615561
1550.0 72.6244387378049
1600.0 72.38811419690755
1650.0 72.56248352691513
1700.0 72.62287222576899
1750.0 72.4258608301816
1800.0 72.7588615259627
1850.0 72.76574734892988
1900.0 72.48897133304978
1950.0 72.68446491360721
2000.0 72.84706874211962
2060.0 72.45741336459706
2120.0 72.30394187265209
2180.0 72.51019144838291
2240.0 72.44908073107122
2300.0 72.3147097709014
2360.0 73.07995848703449
2400.0 73.3910539024248
2500.0 73.56956154373555
2580.0 73.84472645732484
2650.0 74.24953592019526
2720.0 74.47646956578329
2800.0 74.9887028068101
2900.0 75.55053244645065
3000.0 76.30875173709988
3070.0 76.94795489115336
3150.0 77.36806860136686
3250.0 77.66429560919624
3350.0 77.47522931746751
3450.0 77.26709167851935
3550.0 76.48281725733396
3650.0 75.85763832276969
3750.0 74.87781071721498
3870.0 74.29672713131602
4000.0 73.74970120364658
4120.0 73.3962129986265
4250.0 73.17052484265561
4370.0 73.00946305630303
4500.0 72.88037188776563
4620.0 72.98649862093922
4750.0 73.63102986374186
4870.0 74.16996288678907
5000.0 74.32589816455206
5150.0 73.88570460837435
5300.0 73.55247537283712
5450.0 73.26097703892115
5600.0 72.50976066338848
5800.0 71.730927018651
6000.0 71.07055007624851
6150.0 70.23581563523136
6300.0 71.18527579597688
6500.0 72.39408899351155
6700.0 73.25191566645636
6900.0 73.68328330789468
7100.0 74.3788933162601
7300.0 75.02756537269374
7500.0 75.4422179940348
7750.0 75.17918243917252
8000.0 74.46077018584963
8250.0 74.48697398219268
8500.0 73.61060518093684
8750.0 73.84473015869851
9000.0 74.54685768888984
9250.0 74.92370732219486
9500.0 75.38780747981453
9750.0 75.62173570323303
10000.0 74.60592092282566
10300.0 73.6995109561947
10600.0 72.84874905616606
10900.0 73.0190995634917
11200.0 72.61810508220579
11500.0 72.58781016611381
11800.0 72.89386645704217
12200.0 72.70523037363438
12500.0 71.85365105659828
12800.0 70.93070983484594
13200.0 68.60593137079836
13600.0 67.8767448799418
14000.0 69.26088512567311
14500.0 68.93719085456776
15000.0 67.93327290211197
15500.0 66.22532950583788
16000.0 65.21099476875607
16500.0 64.93012476650284
17000.0 66.04372068799611
17500.0 66.84574951957599
18000.0 64.65173287428462
18500.0 59.830904475410975
19000.0 56.35447286588008
19500.0 52.52583099298478
