Freq "Listening Window"
22.4 -44.50710107137865
23.0 -44.226729253977304
23.6 -44.45342738323739
24.0 -39.91212347239959
25.0 -36.37215329144595
25.8 -33.48217001846262
26.5 -30.904405965308193
27.2 -29.481506416476456
28.0 -28.56599527625422
29.0 -27.54339806977662
30.0 -23.560033429242473
30.7 -18.696381721716527
31.5 -16.11369332388295
32.5 -13.909999780159346
33.5 -8.996859728824283
34.5 -4.495869345586975
35.5 -0.26295460313163943
36.5 3.8638612526838827
37.5 9.069370550971549
38.7 14.821671068658056
40.0 16.304492475792223
41.2 17.80112616869281
42.5 16.59854545120985
43.7 14.662618499800693
45.0 14.186350176429649
46.2 16.41390388584464
47.5 20.277559324708683
48.7 23.86935823268778
50.0 26.25203614682932
51.5 29.010872141564967
53.0 32.77496383957172
54.5 34.95483058956206
56.0 36.39070453458768
58.0 38.22761423384268
60.0 40.363540021300985
61.5 42.79320400805309
63.0 44.4816637185311
65.0 46.22041817717619
67.0 47.93525887720069
69.0 49.8573613119956
71.0 51.793636020287074
73.0 53.563371117970696
75.0 55.27914814366955
77.5 56.824440635050784
80.0 58.01178835754103
82.5 59.22339741968339
85.0 60.17811826173685
87.5 60.56743205964751
90.0 60.468440980522026
92.5 60.21205268656352
95.0 60.005348200616346
97.5 59.93470075439841
100.0 60.159231060406945
103.0 60.17811826173685
106.0 60.50195620965639
109.0 60.86844098052203
112.0 61.02413544128216
115.0 61.21255776806206
118.0 61.11382061955701
122.0 61.211535779389415
125.0 61.235699751451754
128.0 61.0115357793894
132.0 60.8459805833994
136.0 60.845729986058096
140.0 60.94752525530175
145.0 60.93418639966077
150.0 60.979651274341684
155.0 60.8123171365179
160.0 60.69056708214578
165.0 60.5123171365179
170.0 60.35620788057212
175.0 60.33367212034543
180.0 60.12261805369216
185.0 59.94546756292869
190.0 59.71255776806208
195.0 59.55747516887414
200.0 59.136459357380126
206.0 58.694615775522244
212.0 58.368702019185754
218.0 57.89131688661735
224.0 57.43619637345622
230.0 56.760574615840945
236.0 56.10706540653613
240.0 55.39581538603212
250.0 54.70601800861419
258.0 53.98190635636423
265.0 53.23672232538018
272.0 52.679414604790246
280.0 52.31307469061344
290.0 52.15620788057213
300.0 52.4241529069941
307.0 52.867687215787676
315.0 53.244954617842275
325.0 53.72567602954479
335.0 54.080408756530396
345.0 54.61381460220375
355.0 54.89332396266935
365.0 55.38066907686625
375.0 55.94772865510347
387.0 56.414859844648966
400.0 56.61182065570653
412.0 56.93986727505064
425.0 57.03065523307347
437.0 57.04418017549924
450.0 57.080815418567035
462.0 56.9543938210715
475.0 57.156910068728344
487.0 57.76228853705246
500.0 58.53750528863801
515.0 58.97050625621464
530.0 59.50637279945284
545.0 59.77800951575623
560.0 59.57424896300291
580.0 59.11659791214044
600.0 58.439747800487844
615.0 58.22818828123659
630.0 58.285184532554986
650.0 58.2414017428792
670.0 57.92873954436531
690.0 57.34252021137312
710.0 56.833145449741615
730.0 56.68770385518577
750.0 56.93613260252791
775.0 57.206403958529854
800.0 57.32818136378959
825.0 57.26261384829686
850.0 57.1857639816939
875.0 57.41581437676346
900.0 57.562104686268945
925.0 57.09639280724314
950.0 56.06571368989453
975.0 56.041924970864635
1000.0 57.19460247923356
1030.0 58.182976845065376
1060.0 58.55131957829958
1090.0 58.53315415639725
1120.0 58.42798950138101
1150.0 59.16569987729661
1180.0 59.69815921582086
1220.0 59.88873287568739
1250.0 59.71516846764653
1280.0 59.82824204957529
1320.0 59.622886779112754
1360.0 59.71743619600503
1400.0 60.15898704642638
1450.0 60.01900155043649
1500.0 59.48882968697193
1550.0 59.22574126000821
1600.0 59.10404158851558
1650.0 59.267082323245496
1700.0 59.66704924851188
1750.0 60.17400104807171
1800.0 59.913814602203736
1850.0 59.361359242930554
1900.0 58.98781583625428
1950.0 58.43490567911426
2000.0 60.02749597597319
2060.0 60.91458967015188
2120.0 59.61606982437926
2180.0 59.00160946003748
2240.0 58.69579312834012
2300.0 58.10452567311531
2360.0 57.252320064738065
2400.0 57.5535896270896
2500.0 58.241845652025525
2580.0 58.54508631824732
2650.0 58.82493204061027
2720.0 59.203569759410776
2800.0 58.625385025092335
2900.0 58.076344548314246
3000.0 56.19535601724575
3070.0 56.253810047784945
3150.0 58.75093003592331
3250.0 60.735187717139844
3350.0 61.11355212831172
3450.0 61.42743144405221
3550.0 61.05366994152117
3650.0 60.83880922156117
3750.0 60.657869336204705
3870.0 59.556840235399356
4000.0 58.40414465550662
4120.0 58.65854223554394
4250.0 58.16793334838113
4370.0 56.08292712882223
4500.0 57.34193306778409
4620.0 58.60089259050853
4750.0 60.12171037697588
4870.0 60.7574064973872
5000.0 61.69843645239259
5150.0 61.371873778438534
5300.0 59.469858938223034
5450.0 58.17465908246927
5600.0 57.44272571035547
5800.0 59.068418701632005
6000.0 58.876649015426885
6150.0 59.12927132557599
6300.0 59.064918562311796
6500.0 59.332283827307656
6700.0 58.430504282357596
6900.0 59.29991442506722
7100.0 61.74875597269905
7300.0 62.773229686687166
7500.0 63.668887165296475
7750.0 64.29130464629
8000.0 64.69354470238278
8250.0 64.10826576038215
8500.0 63.5973151324746
8750.0 62.9963543611567
9000.0 62.3719698228707
9250.0 61.318841913870365
9500.0 60.00826501651911
9750.0 57.664255245692395
