Freq "Total Early Reflection"
22.4 21.81556139982586
23.0 22.542072399446134
23.6 23.906865844546722
24.0 25.159513158416495
25.0 26.199502983678165
25.8 27.07121326328012
26.5 27.851876198204927
27.2 28.505980652796232
28.0 29.13704565313764
29.0 29.69310887207785
30.0 30.214367695210505
30.7 30.854076926367973
31.5 32.03315931923759
32.5 33.09201263225645
33.5 33.9653210095102
34.5 34.72207169897879
35.5 35.39606597037879
36.5 36.004155168479166
37.5 36.5552478784038
38.7 37.32096582378801
40.0 38.3780376364952
41.2 39.26771192683125
42.5 40.04283608911182
43.7 40.72101113331804
45.0 41.33482978665507
46.2 41.990594679960275
47.5 42.92013782584292
48.7 43.76827397479227
50.0 44.527271422006656
51.5 45.18338813500629
53.0 45.76467180410122
54.5 46.57049569375781
56.0 47.43699247979358
58.0 48.15599012884322
60.0 48.78438072852811
61.5 49.41297956242159
63.0 50.23274370700961
65.0 50.995889223366085
67.0 51.63790361391029
69.0 52.27219326482547
71.0 53.02876018146237
73.0 53.72777285827666
75.0 54.39135204144545
77.5 55.00787917462849
80.0 55.70375253547896
82.5 56.34499302056454
85.0 56.946130779167014
87.5 57.6263598559028
90.0 58.234325494887194
92.5 58.81168428574809
95.0 59.442151157455875
97.5 60.029482833982605
100.0 60.58065979733677
103.0 61.119078973876476
106.0 61.63182041413139
109.0 62.09802347030894
112.0 62.54890155851779
115.0 62.915602784261004
118.0 63.21049208663889
122.0 63.49172744440772
125.0 63.6592365068956
128.0 63.78982532252177
132.0 63.82893115312253
136.0 63.849159286337546
140.0 63.814130498632544
145.0 63.772815534479285
150.0 63.71625552770647
155.0 63.6541820921905
160.0 63.607280497010315
165.0 63.52452627864309
170.0 63.4168503122637
175.0 63.29101410976306
180.0 63.13539646328723
185.0 62.94402106235325
190.0 62.7554102866067
195.0 62.571492766660974
200.0 62.40664777868175
206.0 62.286670015564106
212.0 62.17864023045258
218.0 62.09736491258129
224.0 62.010410024811584
230.0 61.89725940494214
236.0 61.72620634162649
240.0 61.457158987831285
250.0 61.23964317596788
258.0 61.152326625371494
265.0 61.121401609489915
272.0 61.10362839148552
280.0 61.0266926713032
290.0 60.93166464152588
300.0 60.76273151912164
307.0 60.63791992596429
315.0 60.58692134727887
325.0 60.618275178914836
335.0 60.70989844109132
345.0 60.68485413350856
355.0 60.48312486919401
365.0 60.10500078514426
375.0 59.783655069683384
387.0 59.58883314682317
400.0 59.438141419873666
412.0 59.17416879957734
425.0 58.86281521428702
437.0 58.66289224717557
450.0 58.68280340564038
462.0 58.92913324540458
475.0 59.21480125936045
487.0 59.479391476495415
500.0 59.85291486123389
515.0 60.23550659809191
530.0 60.50936027210266
545.0 60.44382373941594
560.0 60.11125755174675
580.0 59.92206573545959
600.0 59.56678513207999
615.0 59.03550293910046
630.0 58.746532881834874
650.0 58.85536410603208
670.0 59.083962901464766
690.0 59.35428216104807
710.0 59.742860022350904
730.0 60.05977073666826
750.0 60.263538249162245
775.0 60.23524629445712
800.0 60.00135203563095
825.0 59.710817602889115
850.0 59.1107832313836
875.0 58.628300714995255
900.0 58.44321203012117
925.0 58.25229401988809
950.0 58.38823741107684
975.0 59.20438649582518
1000.0 60.050372471578676
1030.0 60.54459946565054
1060.0 60.028133081950436
1090.0 59.296606905079834
1120.0 58.65598825269634
1150.0 58.47537244498833
1180.0 58.525198209567286
1220.0 58.311740033164874
1250.0 58.08666979697677
1280.0 58.49352595050072
1320.0 58.87601923429728
1360.0 59.18455624479173
1400.0 59.10101339342142
1450.0 59.00924836359423
1500.0 58.93260676291727
1550.0 58.53750739436813
1600.0 58.94922208179927
1650.0 58.941345593696475
1700.0 58.53141035346261
1750.0 58.32565833429526
1800.0 58.78236710592153
1850.0 59.34261060636451
1900.0 59.03457523822461
1950.0 60.114381975132765
2000.0 60.23405349867192
2060.0 59.41779405318896
2120.0 58.435082871019
2180.0 58.14450636455947
2240.0 58.209738610237984
2300.0 58.01136031572906
2360.0 58.83049325439753
2400.0 59.33480322205843
2500.0 59.473489328453645
2580.0 59.79839779988226
2650.0 59.99662869064978
2720.0 60.196681840458645
2800.0 60.427189613305295
2900.0 60.8963757213421
3000.0 60.765822228747346
3070.0 59.37448101710175
3150.0 58.994594724197164
3250.0 58.62596532322281
3350.0 58.33648832072054
3450.0 58.99032150752101
3550.0 60.402025005410486
3650.0 60.18045956977871
3750.0 59.193276502333056
3870.0 59.6390821813166
4000.0 59.474399169097374
4120.0 59.83320084693059
4250.0 59.57846689723939
4370.0 60.58405986953053
4500.0 60.64861172977027
4620.0 61.00172585162348
4750.0 61.10634750040911
4870.0 61.17084247174447
5000.0 60.56434170920826
5150.0 60.51125566347263
5300.0 60.95478783171777
5450.0 60.969419236397464
5600.0 61.26833821171255
5800.0 61.36976527426966
6000.0 60.83157380222958
6150.0 60.89542423515406
6300.0 61.1505327681131
6500.0 60.914237202013815
6700.0 61.19999598475838
6900.0 61.59333449903506
7100.0 62.05196108583046
7300.0 62.682409373360095
7500.0 61.62739850737304
7750.0 61.95955950812628
8000.0 61.809375701813586
8250.0 61.94315264759815
8500.0 61.26689400014097
8750.0 61.03696858894644
9000.0 61.04573264429292
9250.0 62.629414861768005
9500.0 63.15450102531528
9750.0 62.18337288171626
10000.0 62.863742929556956
10300.0 62.380618331345566
10600.0 61.95866208537395
10900.0 62.35049475781731
11200.0 60.29038672916305
11500.0 58.90290672083736
