Freq,Floor Bounce,Ceiling Bounce,Front Wall Bounce,Side Wall Bounce,Rear Wall Bounce,Total Early Reflection
22.4,48.93166518123236,52.76731597768496,55.11780405369886,55.78926102773251,52.58604900291668,53.62810367457551
23.0,48.95521005538093,55.62315748962298,56.49618266044497,58.990058094458405,54.896531912012634,56.00149893932182
23.6,49.15977929237512,58.0442610897028,57.632902680299324,61.5260816752897,57.02264756083032,58.094923891465484
24.0,49.9723850512958,59.877933172035185,58.793219290280106,61.2886108993721,58.005152843952104,58.815194367126324
25.0,51.2520022668573,62.32480401500298,60.23900807381385,60.79753692978987,59.36249847412883,59.967758783996814
25.8,52.47322248675603,65.3256600909727,61.498034659559224,59.9890395912078,60.935866872267184,61.60474850113633
26.5,53.46449336303648,69.47053992006694,62.42913257723532,58.51687032071969,63.128963194737395,64.34246386376807
27.2,54.40407170383695,67.23885720645549,62.00469030724845,58.187487123463725,62.139843400153595,62.76603235497549
28.0,55.5999742373488,65.57213643879773,61.728773025400656,58.72178440441651,61.432280176525396,61.81574788051552
29.0,56.558476715508064,64.60651125977766,61.41962539079978,59.263908052355745,60.98795364136751,61.352768147769865
30.0,57.92114020899892,63.51941640961016,60.408024314055965,59.044808712886194,59.38110278881187,60.520480122003065
30.7,59.68515861935795,63.8583479746963,60.11363091016629,59.004985531059404,58.539065530130515,60.71693709053832
31.5,60.94745737495795,64.59617097325153,60.517538868876485,59.5827999841769,58.801576275431856,61.41079220198337
32.5,61.91107995886841,65.33453696833185,61.1700285910682,60.310032289912286,59.37050332082133,62.15718152113932
33.5,63.045964249663356,66.1426348949888,62.50142755076088,61.93885229375111,60.909742057023905,63.30621305036571
34.5,64.02203398375534,66.89439753423954,64.07716591844655,63.82799780514476,62.78858186692469,64.55997146403897
35.5,64.8978361963107,67.6563735676311,65.69812796225749,65.8561532615124,64.81153200767007,65.91319331311831
36.5,65.99078460342336,68.75814749498913,67.20553587767405,67.33416922832366,66.36388707676879,67.23983619222071
37.5,67.2790189381311,69.86751101003178,68.70167034727008,68.83035645838665,67.89951430274577,68.60507794325373
38.7,68.89511642211612,70.56641158318915,70.44514519797671,70.2926090488932,69.31023016062272,69.95236777418557
40.0,67.69997423734881,69.77101394744687,70.73885103151919,69.75558156656322,68.47411467577132,69.41705071063227
41.2,66.94121048048625,69.12129332475757,71.07135174137875,69.36286877596773,67.71605642230499,69.08015849852455
42.5,67.8448873938213,69.91325108002646,70.87846374965584,68.70984014150339,66.93614837224997,69.08494736490803
43.7,69.48577434663238,71.82537118182887,70.31529077420944,67.80685861120052,66.37129202860308,69.56477322153924
45.0,70.8843937635954,73.89314411144215,70.33322048951113,67.73833462173353,66.82389386506271,70.66830737091942
46.2,72.07318619148782,73.29774675397753,71.24251244428321,69.72421780995313,67.70842880583439,71.21124068764057
47.5,71.75702381354394,73.83820981114334,72.67805883809423,73.32118804593868,70.10168797287723,72.5253755528913
48.7,68.65545504086981,77.2925239155518,73.21431219561464,75.30242977442592,72.33600344648703,74.24677119612984
50.0,68.57471070642502,77.54018251660187,73.59099859071374,75.54641071259637,72.84691732093864,74.53148570433147
51.5,71.0400913055301,74.17318619148782,73.6933151458969,73.15617064763474,71.90791290616967,72.94257208042212
53.0,72.66088429169707,73.44596424966335,73.93049548673177,72.11393818268428,71.7583569606208,72.85763266585018
54.5,73.22171656147327,73.85044287739295,73.66921467507244,72.23576418957444,71.7816917053705,73.02538787472244
56.0,73.78822115024477,74.39187628935565,73.97181937443831,72.79945367581867,72.29613910680216,73.51758163942533
58.0,74.46002776081409,74.95523669316289,74.78569308559887,73.67399951205344,73.33018053966272,74.2863814438957
60.0,75.15378017303428,75.48529598605246,75.55292468421189,74.49070635244881,74.28224887729068,75.02343806838847
