Freq "Floor Bounce"
20.5078 53.79574620937288
21.9727 58.717144642282875
23.4375 60.12869596203495
24.9023 62.537390626704024
26.3672 64.48405797660246
27.832 66.11582872774385
29.2969 67.5415888178253
30.7617 69.09527895660565
32.2266 70.11001860453909
33.6914 71.00442554794567
35.1562 71.93536671234425
36.6211 72.58740753376267
38.0859 73.25651677513576
39.5508 73.90161563631145
41.0156 74.37860521581388
42.4805 74.93096716563451
43.9453 75.33790531946813
45.4102 75.85348037119982
46.875 76.30482390001899
48.3398 76.7557782664901
51.2695 77.62792267901771
52.7344 78.03563750595384
54.1992 78.49991281982722
55.6641 78.9388559913744
58.5938 79.77872896267377
60.0586 80.25369343496047
62.9883 81.00208040305709
64.4531 81.435676179788
67.3828 82.26273543008539
68.8477 82.54512903635079
71.7773 83.29499945285878
74.707 84.18084599331145
77.6367 84.75849020542289
79.1016 84.96013014214151
82.0312 85.61498110662659
84.9609 86.30913204937664
87.8906 86.5253435725545
90.8203 86.81140625591354
95.2148 87.48193690927246
98.1445 87.51914763536988
101.074 87.41022785778054
105.469 87.64260848277596
108.398 87.63039967682154
112.793 87.6464103805403
117.188 87.49889208691441
120.117 87.52980133744919
124.512 87.44086612813803
128.906 87.27533249160719
133.301 87.05084160284237
139.16 86.76045418696981
143.555 86.59656337742612
147.949 86.38277462170875
153.809 86.24120262446084
159.668 86.18585863840943
165.527 86.03362208119324
171.387 85.9355021946218
177.246 85.5225793491008
183.105 85.09751256878258
188.965 84.83712847733976
196.289 84.42489150656782
203.613 83.79194524157217
210.938 83.2571523814136
218.262 82.66315901503253
225.586 82.36341129138049
232.91 82.14996744364723
241.699 82.10787799366494
250.488 82.34144786590113
259.277 81.62204190215598
268.066 81.54678688924994
276.855 80.97480265482784
287.109 80.9809982865861
297.363 81.48011227030159
307.617 82.00346773583213
319.336 82.27079514770473
329.59 82.60713578235479
341.309 82.64835609539671
353.027 82.92441887499953
366.211 83.4090478590276
379.395 83.02860676180136
392.578 82.98642710879072
405.762 83.36986975236681
420.41 83.77051255413524
435.059 84.39270249373456
451.172 85.37425353443912
465.82 85.16465909315866
483.398 85.1464508071907
499.512 85.37321232884963
517.09 85.45660301167032
536.133 85.68388630763245
555.176 85.06366823135468
574.219 84.52031728782998
594.727 83.41997921019572
615.234 83.8088251715894
637.207 84.82966477306834
659.18 83.61618596186004
682.617 84.61329904528496
707.52 84.7971266624755
732.422 85.07658589775704
757.324 85.87380749789402
785.156 85.4132260491202
811.523 86.2244587958257
840.82 85.81055305441961
870.117 85.93942250783321
900.879 85.88685735769876
933.105 85.39083306113481
965.332 84.94024493600719
1000.49 84.86670916972827
1035.64 85.48351665519547
1072.27 85.60615152680363
1108.89 84.92445094465756
1148.44 84.8155183826783
1189.45 84.35643119660183
1230.47 84.40901346336585
1274.41 84.43298637388877
1319.82 84.53038806301606
1366.7 83.85099027204681
1413.57 82.98352446544688
1463.38 82.04553310959648
1516.11 82.80611586731958
1568.85 83.07224240662633
1624.51 82.32913527126804
1681.64 81.1752029180868
1741.7 80.20917484138856
1803.22 79.0385318329273
1866.21 78.6002437122271
1932.13 77.93114118496142
1999.51 76.97492326784675
2069.82 76.55314361679153
2143.07 76.97202861639337
2219.24 76.84649841502178
2296.88 76.91590061062905
2378.91 78.07906801889634
2462.4 78.29607898035954
2548.83 78.40304498741395
2639.65 78.92280714319165
2731.93 79.67276025045071
2828.61 80.04071683193082
2928.22 80.52230389387753
3030.76 80.31504097369258
3137.7 80.28513258186307
3249.02 80.1623968090417
3363.28 80.59502265089188
3481.93 81.16556402635379
3604.98 81.58873592242094
3732.42 81.92917087423457
3864.26 82.29601141769263
4000.49 82.73116714308372
4141.11 83.1004836897106
4287.6 84.00789877297392
4438.48 83.88958860658347
4595.21 84.09388307296246
4756.35 84.62985111361822
4924.8 84.337322972764
5097.66 84.70307721105911
5277.83 84.59857598509046
5463.87 84.47504582308366
5657.23 84.40999903397699
5856.45 84.0884667723073
6062.99 83.78203898984174
6276.86 84.0510527774957
6498.05 83.4087121275967
6726.56 82.5448054151183
6963.87 82.70246035122764
7209.96 82.61191143288066
7464.84 82.6091914804744
7727.05 82.7070075511832
7999.51 82.59464697747077
8282.23 82.50788234009377
8573.73 82.36061623234248
8876.95 82.71143533917159
9188.96 82.78482587051278
9514.16 82.73328062540465
9849.61 82.87626409995624
10196.8 83.10870559999678
10555.7 83.09467296513262
10927.7 83.0568662006481
11313.0 82.96554766903444
11712.9 82.78344090661949
12126.0 82.52888654631826
12553.7 81.81288815731894
12996.1 81.20322510881577
13454.6 81.3594270890308
13929.2 82.10284918141907
14419.9 82.06086127300146
14928.2 81.64555326436752
15455.6 81.17896580097997
16000.5 80.43165533021158
16564.5 79.30777100476541
17148.9 77.94877267799328
17752.4 76.40930947367761
18379.4 75.17063895337313
19026.9 73.66983345727822
19697.8 72.54048079065574
19999.5 72.04469090163303
