Freq "Total Early Reflection"
22.4 12.337425581359938
23.0 15.464941833897214
23.6 18.686186039080027
24.0 19.2002111091481
25.0 19.618963039881848
25.8 20.372278289134854
26.5 22.345077338891272
27.2 24.747191293480697
28.0 26.68090359886854
29.0 28.78046561993584
30.0 31.7140705066753
30.7 33.19222183414358
31.5 35.79296021065015
32.5 41.8209020738215
33.5 45.23504275997031
34.5 46.23106097137217
35.5 45.86359760446673
36.5 45.36142423854652
37.5 47.31317305478491
38.7 49.50204140362625
40.0 52.15475581731495
41.2 55.15053878071511
42.5 58.389912584235205
43.7 61.66845182266336
45.0 64.55197537123165
46.2 66.37621812709388
47.5 68.14184620628679
48.7 68.19240816665658
50.0 68.99774072196841
51.5 71.28948749700795
53.0 73.7541040655132
54.5 75.10369217168434
56.0 76.18696000822719
58.0 76.98714650205477
60.0 77.55370785756215
61.5 77.86666301206157
63.0 78.1781988211699
65.0 78.49175060833822
67.0 78.70796583721885
69.0 78.88460389786164
71.0 78.99687880584979
73.0 79.402832244593
75.0 79.75490218110927
77.5 80.00103766056041
80.0 80.23756935926772
82.5 80.49387916201
85.0 80.56223320812428
87.5 80.35890257814499
90.0 80.23591205116429
92.5 80.29033897823952
95.0 80.19252339871025
97.5 80.07400303481236
100.0 79.91817344963829
103.0 79.9218656276844
106.0 79.86360914314102
109.0 79.77908050174759
112.0 79.77930834506704
115.0 79.63857028159072
118.0 79.57663509326831
122.0 79.48318339292643
125.0 79.39889774366951
128.0 79.25499377764564
132.0 79.18429738824354
136.0 79.2290109848056
140.0 79.29210063732909
145.0 79.39367187535508
150.0 79.57316197433866
155.0 79.73675341938885
160.0 79.90951548835348
165.0 80.00398808995054
170.0 80.11746159300985
175.0 80.16830919633489
180.0 80.24518797844165
185.0 80.22816856958906
190.0 80.29356084518948
195.0 80.29726812811903
200.0 80.09775541377121
206.0 79.62814839551893
212.0 78.86318928166733
218.0 77.88768079199941
224.0 77.15238778897789
230.0 77.4155249445449
236.0 78.55577302335053
240.0 79.15983932412269
250.0 79.73932644267991
258.0 80.29283759462986
265.0 80.6423536078204
272.0 80.57398446435766
280.0 80.25409268795552
290.0 79.52885466138163
300.0 78.54753945155086
307.0 77.49884882598815
315.0 76.46042261256973
325.0 75.87456140954254
335.0 75.70916950031938
345.0 75.91825893626084
355.0 76.66600674581349
365.0 77.39927607036255
375.0 78.00392931377414
387.0 78.61658695569092
400.0 78.73472282554114
412.0 78.49247101132802
425.0 78.07566437877522
437.0 77.8555919832718
450.0 77.70050591274267
462.0 77.72084860962036
475.0 77.97188825193932
487.0 78.18555790798665
500.0 78.13438699681767
515.0 78.14524430027966
530.0 78.23836586236975
545.0 78.81540729765968
560.0 79.11678190166515
580.0 78.65838214999872
600.0 78.20830443939458
615.0 77.93603212714879
630.0 77.82441188191895
650.0 77.71567226125528
670.0 77.61618772582916
690.0 77.49777012351633
710.0 77.23308611164671
730.0 76.64921289421066
750.0 76.00895574757399
775.0 75.56682683358832
800.0 75.42682709863922
825.0 75.90887837862324
850.0 76.33952973389201
875.0 76.23855076349783
900.0 76.00861356045752
925.0 76.06953624645466
950.0 76.10248610016272
975.0 76.08117629755236
1000.0 76.19958704814657
1030.0 75.60394879809539
1060.0 74.44065576318629
1090.0 73.37244097717884
1120.0 73.39288332928446
1150.0 74.25430321848565
1180.0 74.4051454331529
1220.0 73.72464439050638
1250.0 72.82811332785408
1280.0 72.71227831596474
1320.0 73.06164633692951
1360.0 72.98605781976386
1400.0 72.31437001085523
1450.0 72.4900929408668
1500.0 72.87332983186484
1550.0 72.51059151875654
1600.0 71.838429972275
1650.0 71.98417339807527
