Freq,Floor Bounce,Ceiling Bounce,Front Wall Bounce,Side Wall Bounce,Rear Wall Bounce,Total Early Reflection
22.4,57.05039439640275,56.264762610726265,54.54899288572405,55.38449717059687,56.65834057796582,56.07235364689062
23.0,57.99295376965085,59.315718735887984,56.629277222673736,56.67208425454642,58.98603543510589,58.06296013600662
23.6,58.506082082314634,64.52809483426962,59.23571546009491,58.11223653475774,61.83726832962047,61.178229971474835
24.0,60.47451479330853,65.22809483426963,60.8188473140023,60.2990413558267,62.95096671082389,62.405439189329854
25.0,62.04423914780935,64.81837773148457,61.927769273105625,61.893408374987345,63.59698453766153,63.02260565622434
25.8,63.31387546615734,64.6266564972921,62.926793381769414,63.115196673311075,64.24462821792547,63.697661168992084
26.5,64.31863270468924,64.45617388341876,63.71086051047797,64.08346175592489,64.7676548843212,64.28182108174016
27.2,65.71070247870902,64.08308479442876,64.51376980734791,64.79483493396486,64.94542422383546,64.8433988180452
28.0,66.94344278811445,64.40456496281006,65.39339766931741,65.54325065461457,65.24952205474786,65.58689014201471
29.0,67.87829097865882,64.87224830640876,66.15051184407461,66.26005823906634,65.62756082030731,66.27527977201234
30.0,68.64043322502631,65.77530547622382,67.10869246209066,67.05875536649388,66.17834169317902,67.06878862400818
30.7,69.1373872952344,66.9412651838676,68.08965195745681,67.98860627086343,66.95949815451905,67.90182337732676
31.5,69.60456496281006,67.70922147568105,68.792606704439,68.66682983787602,67.58283663147127,68.5359999600958
32.5,69.93892806013427,68.20922147568105,69.35356989362873,69.1862515668489,68.07025580463419,69.0093683681171
33.5,70.00456496281005,68.44200876724187,69.49800527300854,69.3065181463575,68.31064199073016,69.15991182166282
34.5,70.00456496281005,68.70911553601914,69.45666535894402,69.3065181463575,68.54866264861346,69.23726860358332
35.5,69.9061174142522,68.91366375507774,69.46423597373864,69.26768540392037,68.79014095464265,69.28696423403218
36.5,69.9061174142522,68.74795521770297,69.39929283821154,69.1315848929739,68.58093058153948,69.17925763842692
37.5,69.97224830640877,68.18873239296293,69.36286750447384,68.858522872228,67.93670035072039,68.92857501289754
38.7,70.04043322502629,67.19295376965087,69.37622364547765,68.5451815320482,66.59338656236959,68.53851531952425
40.0,70.14423914780934,67.33648362373238,69.59161665899255,68.8482577701866,66.25910334392019,68.6631325672205
41.2,70.28599714167748,67.53648362373237,69.75341064346345,69.15639914492455,66.0995658816229,68.82040734947732
42.5,70.22296452338198,67.79788710626009,69.8406583677386,69.38993035563423,66.29729277151164,68.93671014317917
43.7,70.0197243906215,68.21552593272823,69.89479703304576,69.5663545186281,66.87355882150626,69.06922767328655
45.0,69.71810384697726,68.77048299625466,69.91650205919302,69.82536818580941,67.44292196126638,69.22947050519447
46.2,69.61366375507774,69.18599714167749,69.81650205919303,69.94776591883887,67.99539445138869,69.36607475135321
47.5,69.27381235092919,69.6738123509292,69.44395099485429,69.87876886019154,68.56300271511951,69.38944783562775
48.7,68.77224830640877,67.92568429757655,68.69244290660372,67.99227436779346,65.92293064255698,67.97262016202252
50.0,68.60611741425218,66.39425806927481,68.41312858212683,66.8686999551151,64.09746500034387,67.15748191079619
51.5,68.70686703939697,66.49851675954649,68.48603623121619,66.43638005795583,63.86580975287211,67.1238388844623
53.0,68.67224830640878,66.45640700037661,68.43063202148403,66.29674444666993,63.857704861583144,67.06699071003295
