Freq "Listening Window"
20.5078 76.48380966250622
21.9727 77.45152799606082
23.4375 78.3221226926261
24.9023 78.36242417330756
26.3672 79.11080186720457
27.832 79.49856256656997
29.2969 80.05290201976004
30.7617 80.39299866598587
32.2266 80.72044642549324
33.6914 81.02511697904667
35.1562 81.41704185539882
36.6211 81.38619602717108
38.0859 81.54248234506281
39.5508 81.82658401411892
41.0156 81.97711427803539
42.4805 82.29004689049756
43.9453 82.1973157143103
45.4102 82.34100792372385
46.875 82.4570031530456
48.3398 82.45785620167325
51.2695 83.14293424183863
52.7344 82.9461411233634
54.1992 82.69277513204008
55.6641 82.93501437921255
58.5938 83.17581461745507
60.0586 83.23747216346976
62.9883 83.31705285889058
64.4531 83.32529865361813
67.3828 83.43286786525286
68.8477 83.49165355769352
71.7773 83.69193705850859
74.707 83.79708583777543
77.6367 83.92934004277804
79.1016 83.94623185052461
82.0312 83.92578660258337
84.9609 83.72559820493676
87.8906 83.36749406709272
90.8203 83.28767250611627
95.2148 83.12844270274087
98.1445 82.99263995411579
101.074 82.8077223420761
105.469 82.67570923682219
108.398 82.5765880288633
112.793 82.49248531353095
117.188 82.30603734482422
120.117 82.27190566798711
124.512 82.32983580457471
128.906 82.34409827919814
133.301 82.343684147684
139.16 82.23931733277874
143.555 82.1457785937378
147.949 82.07919453965027
153.809 82.32577916049358
159.668 82.19641733887826
165.527 82.08268382000894
171.387 81.99700769138948
177.246 81.85976821248522
183.105 82.03252132596577
188.965 82.26086910995505
196.289 82.1938147136043
203.613 81.98448342931985
210.938 81.98291125808231
218.262 82.13198150514367
225.586 82.30262615500733
232.91 82.25302342955898
241.699 82.33290263379642
250.488 82.33176839279304
259.277 82.9657256127563
268.066 83.6288879828936
276.855 83.03162341849792
287.109 82.27514305154745
297.363 82.40083088953907
307.617 82.47824813984127
319.336 82.24924476159313
329.59 82.18857135724882
341.309 81.93810911084788
353.027 82.18469834821896
366.211 82.07055631223002
379.395 81.67261791834439
392.578 81.6112432125619
405.762 81.04575416335749
420.41 83.16999506254282
435.059 82.85945982887993
451.172 82.70038083356735
465.82 82.25412978080233
483.398 82.49805321680566
499.512 81.9423495696049
517.09 82.54221893007156
536.133 82.28413825440772
555.176 81.90006559706502
574.219 82.17168103052266
594.727 81.54483493078666
615.234 82.6484066407199
637.207 81.9469567290637
659.18 81.93790866678117
682.617 82.07096249897707
707.52 82.03770007165573
732.422 81.98799068365628
757.324 82.15473188101168
785.156 82.09730557767577
811.523 82.68037398574094
840.82 82.44999430645159
870.117 83.35108776689329
900.879 82.86221741451504
933.105 82.91095805592042
965.332 82.35847097462377
1000.49 82.38706753270883
1035.64 82.13865433245104
1072.27 82.2781342572462
1108.89 82.57063547963591
1148.44 82.58829075807363
1189.45 82.45432883388425
1230.47 82.35288294976361
1274.41 82.01118467534508
1319.82 81.88958752754857
1366.7 81.96672117761501
1413.57 81.99658652184424
1463.38 82.29556943306925
1516.11 82.13280714206107
1568.85 81.74032345844138
1624.51 81.96865310983807
1681.64 82.18156654227617
1741.7 81.80632496834124
1803.22 81.50643639670598
1866.21 81.81007730568123
1932.13 81.90637138970918
1999.51 81.51759049144138
2069.82 81.55836738246127
2143.07 82.18066222064854
2219.24 81.84843344210375
2296.88 81.56348655634201
2378.91 82.06594708858886
2462.4 81.97907680765873
2548.83 81.77058314031083
2639.65 81.8585864627122
2731.93 82.13258799546782
2828.61 82.13287130694239
2928.22 81.54900601474664
3030.76 82.1434910639929
3137.7 81.63189469186908
3249.02 81.75616618849872
3363.28 81.78979819429998
3481.93 81.76051804120162
3604.98 81.89441563940741
3732.42 81.9944878416657
3864.26 82.08479464721206
4000.49 81.94662234664668
4141.11 82.17518078095762
4287.6 81.86856786894504
4438.48 82.06177121858082
4595.21 81.8741596610596
4756.35 81.69870478596572
4924.8 81.65420070481579
5097.66 81.66451600862126
5277.83 81.43952005046123
5463.87 81.68887794670229
5657.23 81.42322363607173
5856.45 81.38251147542782
6062.99 81.3374139324619
6276.86 81.34448856114027
6498.05 81.67926184252072
6726.56 81.60427095422435
6963.87 81.41251796575688
7209.96 81.67361335113827
7464.84 81.76951954524957
7727.05 81.7678727216281
7999.51 81.75005701460348
8282.23 81.69493560762639
8573.73 81.64456846202529
8876.95 81.58202414688992
9188.96 81.54116417961687
9514.16 81.56408072071304
9849.61 81.56535006026353
10196.8 81.72846170973017
10555.7 81.80413628265651
10927.7 81.76419902049935
11313.0 81.51215557105458
11712.9 81.29725110102618
12126.0 81.05675055171787
12553.7 80.91174883058234
12996.1 81.21757975598706
13454.6 81.67773397965692
13929.2 81.80804444684269
14419.9 81.78221882858274
14928.2 81.91607851646963
15455.6 81.67772290368788
16000.5 81.13904151709056
16564.5 80.64715231396859
17148.9 80.40430404773687
17752.4 80.05108342966741
18379.4 79.4883076234706
19026.9 79.16589081747765
19697.8 79.17009477781356
19999.5 79.12012261200088
