Freq "Rear Wall Bounce"
22.4 36.89121137528892
23.0 39.071681066094214
23.6 41.373378596243214
24.0 43.22356887167558
25.0 45.029212376704976
25.8 46.88147369545274
26.5 47.48001213723148
27.2 44.46329710446719
28.0 44.243968916385626
29.0 45.026723390118605
30.0 45.53020354411805
30.7 45.5918877245785
31.5 46.08177624866997
32.5 46.933511426876294
33.5 49.2841633789578
34.5 51.946806354027956
35.5 54.624379477057474
36.5 56.09485928968226
37.5 57.00441597006953
38.7 57.570734950868726
40.0 57.79373353661987
41.2 58.314858091727146
42.5 60.20183402319202
43.7 63.21212427063182
45.0 65.85145471990214
46.2 66.51322309031886
47.5 66.23848945251426
48.7 63.99915843968995
50.0 63.5749188434518
51.5 64.24397685014722
53.0 65.08099228190659
54.5 65.9654337076056
56.0 66.73495030899892
58.0 67.58453927829035
60.0 68.43890107662875
61.5 69.28148663130261
63.0 69.97671801133401
65.0 70.52740090989063
67.0 70.92999165016772
69.0 71.15576120245176
71.0 71.53056458220998
73.0 72.35823936960894
75.0 73.18072642559105
77.5 73.77903982018232
80.0 74.23897149792612
82.5 74.67704575096172
85.0 75.06796711247512
87.5 75.291210480207
90.0 74.91384646547053
92.5 74.22156421242804
95.0 73.19439943528543
97.5 72.3194633287495
100.0 72.36451532280216
103.0 72.70590241265103
106.0 72.93776167553708
109.0 73.05839268680157
112.0 73.06341259442544
115.0 72.8813730294885
118.0 72.97685138879976
122.0 72.95594554152444
125.0 72.8142860091798
128.0 72.74583818641682
132.0 72.61182309600308
136.0 72.47391846359525
140.0 72.01073533280224
145.0 71.39571138787727
150.0 70.84009518973002
155.0 70.71305742128263
160.0 70.53454596674734
165.0 70.64560827249291
170.0 70.74954790652892
175.0 70.92754132377513
180.0 71.23270626610245
185.0 71.36705883490106
190.0 71.13612473432262
195.0 70.706546347408
200.0 69.93366608011998
206.0 68.84814635206702
212.0 67.50538707717556
218.0 66.36802851430241
224.0 65.54246711083599
230.0 64.93721245622335
236.0 64.54218531942692
240.0 66.17061065586202
250.0 66.76890466329516
258.0 66.73825055393074
265.0 66.87189085608125
272.0 66.96580856200549
280.0 67.00519789781971
290.0 67.0503488200044
300.0 67.39203501736591
307.0 68.01390429124908
315.0 67.9306028858281
325.0 66.11172853785264
335.0 67.4378375591018
345.0 67.29629994895379
355.0 66.354514508108
365.0 65.64217898619435
375.0 64.7720920151475
387.0 64.77578908225749
400.0 65.40626094933654
412.0 65.1294010508257
425.0 65.12180797469844
437.0 65.36247561126815
450.0 65.40655950564103
462.0 66.59492996337173
475.0 67.10306152829946
487.0 67.24984038413687
500.0 66.80145210912247
515.0 65.91203349612279
530.0 65.38196177878854
545.0 64.78689181946935
560.0 63.85439468167428
580.0 62.94079079266302
600.0 62.792625807947616
615.0 63.26063701277292
630.0 63.88916889543276
650.0 64.27081146032342
670.0 64.24032284428507
690.0 63.22057975116424
710.0 62.02633722865245
730.0 61.89589959218992
750.0 61.05861811996344
775.0 60.17502398632318
800.0 59.34428593528662
825.0 58.681884097802694
850.0 57.94764542533771
875.0 57.29880210601513
900.0 57.0360030526103
925.0 57.188403838810416
950.0 56.65302122255821
975.0 56.87969617370203
1000.0 57.27061782385384
1030.0 58.28259867516444
1060.0 58.43240597661429
1090.0 57.61295162855592
1120.0 57.02065051211328
1150.0 56.020399511797734
1180.0 54.67350102347629
1220.0 54.205534281696885
1250.0 55.21318609164848
1280.0 52.656509708957074
1320.0 53.16823632907216
1360.0 52.7081528263932
1400.0 53.31902536204143
1450.0 54.587355401138325
1500.0 53.80867264019878
1550.0 55.837892815637986
1600.0 54.7011831207092
1650.0 51.598347350103836
1700.0 49.04364025102558
1750.0 49.309471665244615
1800.0 50.036072142741176
1850.0 52.309596321089174
1900.0 54.158011477860484
1950.0 55.289972314731074
2000.0 56.53280507240872
2060.0 58.165304201012404
2120.0 59.93111737644925
2180.0 60.85127907758937
2240.0 61.070967922485934
2300.0 60.06542827899656
2360.0 58.25358448971893
2400.0 58.93944555030521
2500.0 60.35825019008732
2580.0 60.803258998240636
2650.0 60.09727596708822
2720.0 59.04059661803218
2800.0 59.259924143693354
2900.0 58.92984861214309
3000.0 57.155777373253926
3070.0 56.08275095742495
3150.0 55.931060180190656
3250.0 56.69263356073989
3350.0 56.32749025790889
3450.0 56.44471599661813
3550.0 57.36419387949482
3650.0 56.650992844141896
3750.0 55.29453675822907
3870.0 54.50269976288402
4000.0 54.12574846589969
4120.0 54.69885235216633
4250.0 55.42989019885937
4370.0 56.307756474948675
4500.0 55.80004539017415
4620.0 55.84603488924472
4750.0 55.696412084732884
4870.0 55.888403008727636
5000.0 55.76434639287906
5150.0 55.09795118025778
5300.0 55.39704499059303
5450.0 54.655259779815495
5600.0 54.21047468655627
5800.0 53.82645415273119
6000.0 53.10895993292684
6150.0 52.454226106228845
6300.0 51.91385404496933
6500.0 51.690310475726704
6700.0 52.021550344800644
6900.0 52.36885939971337
7100.0 52.19736259917454
7300.0 51.13523351509147
7500.0 51.53126510037009
7750.0 51.80425609945627
8000.0 53.58741351618875
8250.0 52.99063451446895
8500.0 51.68964704931918
8750.0 51.12548530194306
9000.0 51.31440078712808
9250.0 51.060515115576806
9500.0 50.696473900154075
9750.0 51.478636633608545
10000.0 50.82643348729138
10300.0 49.98673342859584
10600.0 50.00259999043533
10900.0 50.36943128137173
11200.0 48.902830316921865
11500.0 48.50953896306979
11800.0 47.61576089048526
12200.0 47.0966117892267
12500.0 45.674471960515774
12800.0 46.27182276140698
13200.0 39.537052784150546
13600.0 40.07909183685112
14000.0 43.22199358524108
14500.0 41.17561333021024
15000.0 48.40885186243972
15500.0 40.80862281036292
16000.0 43.54236768457494
16500.0 44.157311636884145
17000.0 42.23641699201278
17500.0 37.38510130993555
18000.0 31.87210179260802
18500.0 31.439889185989472
19000.0 32.321597753747454
19500.0 31.357202878094057
