Freq "Total Early Reflection"
22.4 -3.473691165895204
23.0 -3.0863128442941132
23.6 -2.2513055739027408
24.0 0.38881503517738736
25.0 2.2081846927646467
25.8 3.5062635175331565
26.5 4.533591357155032
27.2 5.409562994015076
28.0 6.165165072617484
29.0 6.890237064177384
30.0 8.173643384543382
30.7 10.322946021976165
31.5 11.926100785646653
32.5 13.176493605434487
33.5 14.241269598817766
34.5 15.106491759103264
35.5 16.134591614739364
36.5 18.459056635895635
37.5 20.277779131413425
38.7 21.676408441960277
40.0 22.821170946673774
41.2 23.915712952266617
42.5 25.913457820220273
43.7 27.88979635782367
45.0 29.47077090791562
46.2 30.872679529872173
47.5 32.376303597046316
48.7 34.81197553310763
50.0 36.78515873578333
51.5 38.484200900690766
53.0 40.10238711574125
54.5 42.21733763811541
56.0 44.21431456995727
58.0 46.07055949518245
60.0 47.9301430477782
61.5 50.03901753351222
63.0 51.82406544068344
65.0 53.50309780433487
67.0 55.98086467021447
69.0 58.1572054265164
71.0 60.01271871105861
73.0 62.060641790969115
75.0 63.79371275329673
77.5 65.45213328801432
80.0 67.08831224640102
82.5 68.72129526514475
85.0 70.27434523936707
87.5 71.63677445943237
90.0 72.770830569162
92.5 73.63232612462954
95.0 74.37264590119537
97.5 75.10209745038028
100.0 75.81944742007055
103.0 76.35312645137145
106.0 76.8299846451752
109.0 77.46598039605358
112.0 78.00339296709446
115.0 78.35653750688738
118.0 78.69881246262503
122.0 79.02899511893554
125.0 79.31389187721594
128.0 79.38983380753494
132.0 79.59680945731166
136.0 79.80620053807928
140.0 79.96331609033592
145.0 80.1647448890945
150.0 80.28867374697239
155.0 80.44161008467465
160.0 80.59094768390993
165.0 80.72142193429057
170.0 80.79217196832141
175.0 80.83348804040486
180.0 80.89453893930352
185.0 80.95625877949924
190.0 80.99235802471846
195.0 81.00792885646585
200.0 81.01544880598831
206.0 81.04561831490123
212.0 81.09171348577273
218.0 81.09534341511544
224.0 81.10568831599672
230.0 81.13689363786433
236.0 81.17580630437722
240.0 81.17254983654455
250.0 81.09337843732807
258.0 81.02162848356896
265.0 80.88180855533136
272.0 80.77354901463458
280.0 80.5885664395038
290.0 80.51931722139659
300.0 80.44342554948587
307.0 80.38895828348423
315.0 80.40010485197048
325.0 80.44988333036788
335.0 80.48136438264984
345.0 80.4385447140259
355.0 80.43233713822316
365.0 80.38242878424164
375.0 80.29838125991286
387.0 80.28449074020044
400.0 80.25755319476708
412.0 80.28796268783451
