Freq "Total Early Reflection"
20.5078 61.0992226884932
21.9727 61.667479089302475
23.4375 63.93220933225105
24.9023 65.32868158370853
26.3672 66.84851231164492
27.832 68.33262189261956
29.2969 69.86365306279771
30.7617 71.23921405919064
32.2266 72.70782063932411
33.6914 74.06264156421304
35.1563 75.29564582826035
36.6211 76.51364261026013
38.0859 77.57916069230424
39.5508 78.57019470479187
41.0156 79.53436642158006
42.4805 80.41098631665511
43.9453 81.07554400137823
45.4102 81.73909226504534
46.875 82.31924600317946
48.3398 82.78726720308747
51.2695 83.61658567932487
52.7344 83.94174317802137
54.1992 84.21919716909524
55.6641 84.4923222673594
58.5938 85.00787933225266
60.0586 85.19200093446969
62.9883 85.4721139865697
64.4531 85.60814889170996
67.3828 85.81572554631842
68.8477 85.86881284255962
71.7773 86.08518172956764
74.707 86.35812058612849
77.6367 86.47386692837198
79.1016 86.48648771496576
82.0313 86.53671361610101
84.9609 86.61811788627533
87.8906 86.6275170417129
90.8203 86.58443350151916
95.2148 86.65853239972783
98.1445 86.65984702218952
101.074 86.65038426116888
105.469 86.46196937456
108.398 86.55287527476604
112.793 86.60908855375379
117.188 86.52958359785598
120.117 86.49900128425372
124.512 86.52829971696326
128.906 86.37601358782953
133.301 86.24016323423201
139.16 86.05134224851194
143.555 85.94441864565744
147.949 85.81562285215081
153.809 85.69684729935726
159.668 85.67179250798007
165.527 85.65896881722922
171.387 85.58297784843803
177.246 85.38741757816582
183.105 85.02336213058419
188.965 84.94318296396571
196.289 84.90785759129173
203.613 84.71149358432983
210.938 84.59729179062504
218.262 84.50325154385902
225.586 84.37248591846972
232.91 84.36737548612265
241.699 84.29581767695828
250.488 84.00610418221046
259.277 84.42833302471806
268.066 83.7307635766613
276.855 83.68749591384993
287.109 83.64573393626416
297.363 83.31123974285421
307.617 83.6975102612318
319.336 83.21643581085712
329.59 83.33151303577033
341.309 83.37649131935359
353.027 83.45987048644542
366.211 84.01483537778103
379.395 84.63307860234715
392.578 84.16756529823896
405.762 83.54637049294806
420.41 83.7914231982775
435.059 83.58938569488963
451.172 84.15368016498088
465.82 83.7754082399544
483.398 83.38370007478981
499.512 83.83693770312263
517.09 83.88897310606686
536.133 84.22574767115537
555.176 85.04877301178989
574.219 85.13275395728594
594.727 85.28553041445686
615.234 85.55745636514068
637.207 85.13867627285725
659.18 85.05063394360033
682.617 85.06482660962754
707.52 85.14559047429407
732.422 84.97066980250648
757.324 85.04380315357511
785.156 85.28399746349777
811.523 84.84162990709173
840.82 84.96030285567264
870.117 84.72884270667048
900.879 84.80615443006322
933.105 84.56551875195971
965.332 84.50501029246816
1000.49 84.34357478169417
1035.64 83.97291198676439
1072.27 83.69944589325452
1108.89 83.33644127237649
1148.44 82.58455385908235
1189.45 81.96390485480643
1230.47 82.21328524612433
1274.41 82.22423674249401
1319.82 81.94711787323935
1366.7 81.59023935252203
1413.57 81.38806288979602
1463.38 81.9143455001377
1516.11 82.52424771163753
1568.85 82.24911695840349
1624.51 81.66796859464239
1681.64 82.08721203514415
1741.7 83.03458391365132
1803.22 82.94997716617672
1866.21 82.90643522063209
1932.13 83.51429861769627
1999.51 83.18704765443192
2069.82 83.49883940955954
2143.07 83.58047592511394
2219.24 83.85401903051384
2296.88 83.93104247246491
2378.91 83.92054702146633
2462.4 84.1420066008746
2548.83 84.03594108575108
2639.65 84.37792971411807
2731.93 84.44393247121542
2828.61 84.35365409482311
2928.22 84.56659102004289
3030.76 84.64478545454736
3137.7 84.41078116049988
3249.02 84.33577884065387
3363.28 84.16159892721211
3481.93 84.0841535715285
3604.98 83.85238498468931
3732.42 83.71720126173197
3864.26 83.78408727221976
4000.49 83.5144781965328
4141.11 83.5035439078188
4287.6 83.28406081181035
4438.48 83.14809316899911
4595.21 82.91915892766721
4756.35 82.63838788648016
4924.8 82.3182324666476
5097.66 82.30958453567808
5277.83 82.11283157015839
5463.87 81.86386994956531
5657.23 81.73358548356543
5856.45 81.51600134863793
6062.99 81.1865337669885
6276.86 81.12516392131081
6498.05 81.33813522007898
6726.56 81.47310532500683
6963.87 81.48501143717247
7209.96 81.3492250184073
7464.84 81.22520919043535
7727.05 81.21992142355332
7999.51 81.17565752217857
8282.23 81.11816032708684
8573.73 81.29470254365688
8876.95 81.45824673724468
9188.96 81.63213063274023
9514.16 81.75791727836939
9849.61 81.7688552608972
10196.8 81.75087432579818
10555.7 81.70796532650131
10927.7 81.43371040857184
11313.0 80.93801663608738
11712.9 80.56501876432854
12126.0 80.40306200111759
12553.7 80.0146428781615
12996.1 79.22112909545116
13454.6 78.30090703466797
13929.2 77.70067949202942
14419.9 77.21085321395103
14928.2 76.96464962654653
15455.6 76.72867046540716
16000.5 76.22047277882182
16564.5 75.48940616788019
17148.9 74.72276655970603
17752.4 74.28251535702923
18379.4 73.94702420815356
19026.9 73.52584430637881
19697.8 72.99660812706843
19999.5 72.83017573205707
