Freq,Floor Bounce,Ceiling Bounce,Front Wall Bounce,Side Wall Bounce,Rear Wall Bounce,Total Early Reflection
22.4,39.600767494455624,42.07977745790569,42.390158950336,41.26402076323373,41.559630053315914,41.479985873332595
23.0,40.737467715513134,45.67150800786939,44.01863877580266,43.032335181754576,43.53103093164404,43.67869043018456
23.6,41.71007799780293,49.170014882574776,45.31079388686348,44.43233518175455,45.24497784500767,45.85695770284218
24.0,42.60231994589773,48.735130591779836,45.79609110747393,44.843439202119555,45.499482805267405,45.95286272189446
25.0,43.435130591779824,47.633589826879984,45.92278496802251,44.82823444622065,45.343554477855776,45.653227726375036
25.8,44.15260953202218,46.435130591779824,45.74758857901409,44.41754398431422,44.842517360254135,45.204484601042594
26.5,44.79257011413608,45.24576719438468,45.20592377304712,43.48964087828827,43.866131415052536,44.57762020944466
27.2,45.67106744273917,46.09238562216103,45.94206395192995,44.14544815413208,44.550477450634645,45.348997289494946
28.0,46.46226741403311,47.709209252269375,47.164459328789974,45.42761553645502,45.92157548027117,46.61505015730802
29.0,46.979332311432955,50.03392832814569,48.93698703370973,47.18137535433726,47.880120582548415,48.35801849765332
30.0,47.56095728781,54.554505108390856,54.685722221062235,51.20013985109941,52.744467337989676,52.81730416707583
30.7,50.33728906550863,57.04391724861637,56.203683587696304,53.56966024551963,54.668540553029715,54.91939321657679
31.5,53.66381047227159,59.303246120527035,57.469030578791745,55.691553628091555,56.51199086418765,56.921997542990255
32.5,59.147964437292956,60.29370777353003,59.418549453181186,58.274275636067415,58.80690568920281,59.24112965459565
33.5,63.25660509570308,58.09897445130926,56.96800572153256,57.22066894329865,56.184306350188905,59.24526658683311
34.5,65.90416787936473,58.26564767653579,56.653360525640636,56.91825768751397,55.28787680564827,60.68736650951239
35.5,67.36339368526663,58.71158473374004,56.83947132744862,57.04587797719577,55.15530745535975,61.766597605143076
36.5,62.743937936865734,58.78796963813818,57.125194562499786,57.84140640797969,55.94668861185821,59.19593514968744
37.5,61.15550427028117,58.30252973822758,57.249171243279875,58.103549231850565,56.44106780510481,58.57202769263873
38.7,60.44142122357897,57.75849834345348,57.46062755252129,57.660022919300644,56.460536254531604,58.178524704438956
