Freq "Estimated In-Room Response"
22.4 41.704680848077246
23.0 43.94939711933854
23.6 46.172098372149506
24.0 46.24649514053904
25.0 45.90551007368798
25.8 45.41750998375748
26.5 44.74492417361465
27.2 45.49764873950981
28.0 46.75010443460813
29.0 48.44818368085349
30.0 52.77124664943297
30.7 55.03675015179989
31.5 57.22232323026405
32.5 59.66968883807739
33.5 59.64246216360708
34.5 60.86800762325797
35.5 61.64873421390065
36.5 58.90902890028114
37.5 58.22899232419495
38.7 57.83864350716429
40.0 58.03319541288066
41.2 58.38644859184559
42.5 60.27589658678052
43.7 63.0871406288652
45.0 67.07899373274427
46.2 66.41941867081148
47.5 66.4714994297118
48.7 65.75289798909456
50.0 65.25752609505072
51.5 65.96687705397619
53.0 67.05131891799843
54.5 67.76320492567585
56.0 68.3974800891943
58.0 69.50512899134343
60.0 70.5663010486983
61.5 71.53925690172133
63.0 71.67296795971677
65.0 72.02900813620796
67.0 72.61161725287833
69.0 73.40387834589235
71.0 74.21196600934087
73.0 74.84128626285815
75.0 75.35793699805231
77.5 75.87470861413128
80.0 76.45279729783726
82.5 77.02033345535855
85.0 77.51121752509275
87.5 77.97745711397495
90.0 78.44914714266112
92.5 78.85652173417161
95.0 79.24138815657739
97.5 79.65143297926296
100.0 80.09077131178962
103.0 80.51703747098607
106.0 81.05317904222694
109.0 81.62566902848147
112.0 82.09940888084154
115.0 82.49809392176462
118.0 82.74481589513222
122.0 82.78223030995645
125.0 82.68718691364589
128.0 82.531796196319
132.0 82.45802802225886
136.0 82.49480689223009
140.0 82.62170403313353
145.0 82.77728768094995
150.0 83.08699628510568
155.0 83.61472170747673
160.0 84.12482617129753
165.0 84.38712689663627
170.0 84.61998268754571
175.0 84.46740538680707
180.0 83.66975101819939
185.0 82.63524139727168
190.0 81.65820294168358
195.0 80.71942367460107
200.0 79.9428225713293
206.0 79.57816814987741
212.0 80.32599521251895
218.0 81.50676953169507
224.0 82.44553292009756
230.0 82.71470816626224
236.0 82.14486538199334
240.0 80.90360733842458
250.0 79.61140474905058
258.0 79.09967946582661
265.0 79.19370252570619
272.0 79.17681368163474
280.0 79.13243856832185
290.0 79.45989616275692
300.0 80.06333300528978
307.0 80.52253104166094
315.0 80.53424815659979
325.0 80.11244957673287
335.0 79.68500528502376
345.0 79.62021511021639
355.0 79.91755915888679
365.0 80.1438129975546
375.0 79.8447510085863
387.0 79.54043465523525
400.0 79.33278657237874
412.0 79.21962101582713
425.0 79.60899049960405
437.0 80.11805535167123
450.0 80.53314684691141
462.0 80.27432299754578
475.0 79.94091490045317
487.0 79.81915737718147
500.0 79.57084412986097
515.0 79.22314007893041
530.0 79.29963565611801
545.0 79.1394341189295
560.0 78.91614502575909
580.0 78.14719365923305
600.0 78.247336185695
615.0 78.6885671068183
630.0 78.62776314551186
650.0 78.00331614895906
670.0 77.53642511517391
690.0 77.56077266733136
710.0 77.85054627776927
730.0 78.29494616716138
750.0 78.19508085307919
775.0 77.8712540555762
800.0 77.67641015287685
825.0 77.74130438659698
850.0 78.16763945449942
875.0 78.26108685849564
900.0 79.23474714632944
925.0 79.2630063238533
950.0 79.05457207475779
975.0 79.45511267066826
1000.0 79.74169891701523
1030.0 80.08401914577762
1060.0 80.50832580057677
1090.0 80.59824367486908
1120.0 80.29061385377206
1150.0 79.7357061082676
1180.0 80.05792457362294
1220.0 80.23694431851321
1250.0 79.74428695780766
1280.0 78.93575918708508
1320.0 79.60690397415999
1360.0 79.13006783911155
1400.0 79.10947703887149
1450.0 78.84093099350248
1500.0 78.16918365203274
1550.0 77.42814535416407
1600.0 77.4918995611593
1650.0 77.7325274934026
1700.0 77.60797480353388
1750.0 78.01717966190795
1800.0 77.21088146479936
1850.0 77.002456941629
1900.0 78.06694438243788
1950.0 79.05114223946286
2000.0 79.72718544616188
2060.0 80.0734024781869
2120.0 79.91965320076532
2180.0 80.52936227527287
2240.0 80.29328990061289
2300.0 79.85245148221513
2360.0 79.7124070142839
2400.0 79.1157540462443
2500.0 78.87869812390782
2580.0 78.60332256439
2650.0 78.14519622579438
2720.0 78.48648551220235
2800.0 78.209661119289
2900.0 78.2019540168746
3000.0 77.52514517309969
3070.0 77.47217404208793
3150.0 77.61378430564082
3250.0 77.5726151007732
3350.0 77.59088366205131
3450.0 77.6585589459139
3550.0 77.64999548758996
3650.0 77.7428485706099
3750.0 77.38786193250834
3870.0 77.49161332428638
4000.0 77.07597981930891
4120.0 77.16113477824463
4250.0 77.35897966537651
4370.0 77.68408409302792
4500.0 77.69380985276304
4620.0 77.40868312669814
4750.0 77.31867531535109
4870.0 77.38762362959541
5000.0 77.4817672294587
5150.0 76.91458820993421
5300.0 75.56260885178685
5450.0 75.6492374400253
5600.0 75.47802182023884
5800.0 75.77301032466639
6000.0 76.46685534963446
6150.0 76.54299344481588
6300.0 76.10550731589248
6500.0 75.90224262814905
6700.0 77.51810628704558
6900.0 78.18066322843627
7100.0 78.349965450734
7300.0 77.85020076590969
7500.0 77.39155738933239
7750.0 77.21589743411838
8000.0 77.09338385573179
8250.0 77.93871444642308
8500.0 77.68233367972557
8750.0 77.23772058103869
9000.0 76.68447242001355
9250.0 78.13689389749892
9500.0 78.15247249564086
9750.0 76.09598996795255
10000.0 75.4254164826721
10300.0 75.95147941687513
10600.0 76.04853212182493
