Freq "Side Wall Bounce"
22.4 54.567008824605864
23.0 55.20572280009371
23.6 55.82516172384173
24.0 56.925161723841725
25.0 61.66700882460586
25.8 64.5057228000937
26.5 66.32516172384172
27.2 68.4057228000937
28.0 71.26700882460584
29.0 73.14637654912615
30.0 74.66700882460586
30.7 76.8057228000937
31.5 78.50572280009371
32.5 80.06700882460585
33.5 83.3270325621842
34.5 85.52703256218419
35.5 87.28707719543836
36.5 89.32703256218419
37.5 90.80847841806643
38.7 92.16700882460586
40.0 93.40847841806642
41.2 94.30847841806643
42.5 95.00847841806643
43.7 95.52929109360254
45.0 95.58850892431344
46.2 95.52929109360254
47.5 95.68850892431344
48.7 95.88850892431344
50.0 95.95097826370282
51.5 95.95097826370282
53.0 96.05097826370282
54.5 96.15097826370284
56.0 96.05097826370282
58.0 96.13294724692612
60.0 96.45511966137346
61.5 96.89404174542501
63.0 97.21398587294735
65.0 97.29865233810004
67.0 97.65741589219132
69.0 97.97997628762582
71.0 98.13982229686361
73.0 98.26247403311116
75.0 98.58553173428551
77.5 98.80694055526962
80.0 98.75007290836987
82.5 98.45007290836986
85.0 97.91338852298396
87.5 97.99520043528447
90.0 97.73433300395891
92.5 98.14422442853476
95.0 98.10825373106769
97.5 97.99045943374396
100.0 97.8991723270914
103.0 97.58364575194122
106.0 97.8464528810475
109.0 97.51379767635247
112.0 97.59867624544442
115.0 97.14705748921791
118.0 97.37808704891384
122.0 97.1272922322089
125.0 97.3272922322089
128.0 97.32350664008787
132.0 97.40974868596204
136.0 97.26034842742826
140.0 97.3470178697117
145.0 97.29834945956124
150.0 96.86949713027916
155.0 96.6710108737537
160.0 96.70471198637397
165.0 96.89496942730769
170.0 97.25844322965241
175.0 96.76041920757737
180.0 96.09698156618902
185.0 95.8888778459985
190.0 95.14619092561446
195.0 94.57893094697953
200.0 94.50461693525016
206.0 94.17350842054233
212.0 93.4716988226764
218.0 92.7367025264352
224.0 91.9519527145258
230.0 91.15723698918386
236.0 90.48030860652081
240.0 89.41219825144748
250.0 88.50522060664993
258.0 88.40607550104394
265.0 88.68399677960666
272.0 88.63398990198864
280.0 88.3876653312052
290.0 88.41373117990638
300.0 88.72490678672185
307.0 88.96049187809629
315.0 89.20917381330622
325.0 89.86908239112103
335.0 90.76869808994019
345.0 91.59910036975728
355.0 91.87822843746642
365.0 91.05146046370575
375.0 89.47546380060105
387.0 87.97472599382986
400.0 86.54611401835554
412.0 84.89901010933106
425.0 82.5753570759904
437.0 80.10265375788028
450.0 78.52055630435596
462.0 78.13947305801314
475.0 78.16061845275865
487.0 78.24553144877157
500.0 78.22357525628668
515.0 78.35991488403293
530.0 78.44051965495102
545.0 78.22453836716805
560.0 77.80592215593165
580.0 77.67177239613794
600.0 77.67431246563874
615.0 77.62398794744844
630.0 77.51037745970613
650.0 77.14319248344444
670.0 76.72227398491684
690.0 76.06063009237762
710.0 75.30113606132927
730.0 74.42298394467178
750.0 73.16098087414082
775.0 71.46432674654876
800.0 69.9914428901748
825.0 68.87609402432301
850.0 67.32036914848784
875.0 66.0172593079402
900.0 65.35049726900634
925.0 64.04595891909307
950.0 62.78542810645348
975.0 61.60931508760022
1000.0 60.26684381694467
1030.0 58.840032580203584
1060.0 57.42671401933866
1090.0 55.88853804215391
1120.0 54.84332076106014
1150.0 54.300279819901405
1180.0 53.38408404465753
1220.0 52.39446036372277
1250.0 52.09117532291579
1280.0 51.85000198955848
1320.0 51.70560590063528
1360.0 52.26477804557992
1400.0 52.523042778509506
1450.0 52.91425616712715
1500.0 53.28357843671064
1550.0 53.29460924318788
1600.0 53.60021891772459
1650.0 54.0697434813473
1700.0 55.410891908149196
1750.0 56.87875120375736
1800.0 56.492707847964
1850.0 52.35008165327443
1900.0 46.85343191838483
1950.0 44.234654892665574
2000.0 45.7742283493299
2060.0 49.47658698493511
2120.0 52.742911390410924
2180.0 52.46942203747348
2240.0 49.612741566352625
2300.0 45.840209135123686
2360.0 41.13203493889158
2400.0 38.51638182926969
2500.0 41.439699118089365
2580.0 44.12172104200765
2650.0 43.065926021398084
2720.0 38.95567088612141
2800.0 35.75149562060254
2900.0 35.831286206791006
3000.0 37.140986474060966
3070.0 38.696322510642105
3150.0 36.85128727244593
3250.0 33.85390300102601
3350.0 32.30863471410346
3450.0 31.85922100293108
3550.0 31.660662457387517
3650.0 31.29235306257287
3750.0 30.494621030243692
3870.0 31.577156080498057
4000.0 32.71679575459113
4120.0 32.5495552685601
4250.0 29.28030929465227
4370.0 26.33165726491329
4500.0 26.973088626218058
4620.0 25.988020515490675
4750.0 22.386650487286957
4870.0 19.469244960185264
5000.0 17.533950359678116
5150.0 16.968741573610927
5300.0 17.509572797060443
5450.0 16.705317860379566
5600.0 17.019884154386872
5800.0 16.978436234862656
6000.0 12.657242236936824
6150.0 12.304147642224208
6300.0 14.151658165438434
6500.0 13.70430879758645
6700.0 13.05417170487543
6900.0 13.698364734512595
7100.0 13.508555421352398
7300.0 12.187126374599998
7500.0 14.81293818091497
7750.0 16.715457088834867
8000.0 15.115343778759168
8250.0 14.405813134236595
8500.0 12.342788877101086
8750.0 12.201165506014249
9000.0 12.8603670808604
9250.0 11.689467348285902
9500.0 12.161783957102429
9750.0 11.381012811122119
10000.0 9.978854149593431
10300.0 10.537455565939766
10600.0 10.956134645414394
10900.0 11.246543545864753
11200.0 10.22046690896245
11500.0 10.484429416314171
11800.0 11.64886976573085
12200.0 10.312680672966238
12500.0 11.108877877735821
12800.0 10.81531129624129
13200.0 11.289646678290282
13600.0 9.834812501080691
14000.0 9.298129924625513
14500.0 10.096465006207879
15000.0 9.867984156280968
15500.0 8.097585935547428
16000.0 8.120375487376677
16500.0 6.780960899593694
17000.0 9.609688862115704
17500.0 7.654042215106315
18000.0 7.627760920726857
18500.0 7.7247759657268915
19000.0 8.061293641361189
19500.0 8.499528938516661
