Freq "Front Wall Bounce"
22.4 16.266467787473573
23.0 17.138611086148728
23.6 18.28923713972455
24.0 21.142923417560496
25.0 23.185066515228186
25.8 24.959148281374894
26.5 26.492673695997837
27.2 27.79938476809781
28.0 28.90728157490736
29.0 29.928877070551295
30.0 31.384852322347598
30.7 33.71737267630638
31.5 35.74960721053054
32.5 37.43990243154687
33.5 38.8890773130702
34.5 40.132250670932706
35.5 41.48685871337133
36.5 43.862630757735076
37.5 45.93130179034486
38.7 47.604918867483036
40.0 49.02210816557184
41.2 50.41782156510041
42.5 52.356208121681675
43.7 54.27490881461691
45.0 55.862787966803126
46.2 57.22452059938033
47.5 58.62511408761608
48.7 60.53294379245918
50.0 62.226055730049396
51.5 63.72054759743341
53.0 65.06312414442016
54.5 66.57749740349004
56.0 68.10508182769254
58.0 69.59136007300357
60.0 70.90813926172166
61.5 72.29516780709301
63.0 73.53177296770092
65.0 74.66857503611888
67.0 75.91610619057604
69.0 77.13919677256939
71.0 78.20654457249833
73.0 79.08446913395753
75.0 79.89708258179763
77.5 80.57138781953385
80.0 81.06802955154092
82.5 81.60901146190865
85.0 82.16740376827168
87.5 82.5347426663089
90.0 82.82102997367146
92.5 82.97592915877935
95.0 83.06033010132779
97.5 83.27216832382875
100.0 83.51596542945305
103.0 83.65655572798036
106.0 83.74193439921136
109.0 83.99704397710663
112.0 84.16733848858846
115.0 84.26733848858845
118.0 84.27971387558672
122.0 84.36582604618724
125.0 84.38003683600668
128.0 84.3064655550663
132.0 84.3064655550663
136.0 84.34831996303517
140.0 84.305545668495
145.0 84.27555996882539
150.0 84.24831996303517
155.0 84.21930726201515
160.0 84.20421566537271
165.0 84.20421566537271
170.0 84.20421566537271
175.0 84.16100258868943
180.0 84.1762292462144
185.0 84.21930726201515
190.0 84.21930726201515
195.0 84.24866059688951
200.0 84.29234112187346
206.0 84.34866059688952
212.0 84.39234112187347
218.0 84.40679400853944
224.0 84.45123594680452
230.0 84.4639461441736
236.0 84.49234112187347
240.0 84.47849367747152
250.0 84.3929926436339
258.0 84.33467294907281
265.0 84.26491864863073
272.0 84.16491864863073
280.0 84.06491864863072
290.0 83.9516115040177
300.0 83.88074803729255
307.0 83.7959212612557
315.0 83.70879413841813
325.0 83.66880906606747
335.0 83.64079992330714
345.0 83.67137249920609
355.0 83.7154979248582
365.0 83.83090043163742
375.0 83.9075115000665
387.0 84.0229423069199
400.0 84.0229423069199
412.0 84.06896449293784
425.0 84.06896449293784
437.0 83.942554167251
450.0 83.89868243354556
462.0 83.79868243354557
475.0 83.74080766568801
487.0 83.64080766568802
500.0 83.67932296839601
515.0 83.76722858209214
530.0 83.86722858209214
545.0 83.87932296839601
560.0 83.87960428183132
580.0 83.79166430064716
600.0 83.64837646835873
615.0 83.5340615308163
630.0 83.4605233952975
650.0 83.4605233952975
670.0 83.56052339529752
690.0 83.6761217597335
710.0 83.74947180163382
730.0 83.80929861759883
750.0 83.66860119866446
775.0 83.46061531058594
800.0 83.43711447456059
825.0 83.46261624584557
850.0 83.52617120987003
875.0 83.42099790986985
900.0 83.22494028495969
925.0 83.12099631968599
950.0 83.17493678940164
975.0 83.28559812912854
1000.0 83.36711684878038
1030.0 82.97794411044606
1060.0 82.60607448281135
1090.0 82.98252711606219
1120.0 83.39249032829167
1150.0 83.43981902623904
1180.0 83.25720040060088
1220.0 83.135895005989
1250.0 82.89451920596102
1280.0 82.48793812218858
1320.0 82.10242112660333
