Freq "Rear Wall Bounce"
22.4 76.13191169239575
23.0 75.98122388767173
23.6 75.84623163965762
24.0 75.70854263300757
25.0 75.57329114844588
25.8 75.47523721780306
26.5 75.36805008262913
27.2 75.2642737029709
28.0 75.14531817018208
29.0 75.07420773837318
30.0 74.94650434622943
30.7 74.961946694942
31.5 75.04338506931452
32.5 75.18327687975521
33.5 75.33383887950997
34.5 75.57146320176703
35.5 75.97065179561666
36.5 76.60426505638942
37.5 77.525964652128
38.7 78.96096561491004
40.0 80.8579100138319
41.2 83.12743994950439
42.5 84.53897637770929
43.7 83.89417496424313
45.0 82.11199021624498
46.2 80.45909813068721
47.5 79.19328753873738
48.7 78.23499377427872
50.0 77.53160143516159
51.5 76.99290218483829
53.0 76.58826386249855
54.5 76.30144575944396
56.0 76.05914291850966
58.0 75.88367445554067
60.0 75.74404824334788
61.5 75.67658248617039
63.0 75.64104558554777
65.0 75.62803309211499
67.0 75.65287129488713
69.0 75.72202380648707
71.0 75.77557885536517
73.0 75.8696448308297
75.0 75.94860090689345
77.5 76.04270844577015
80.0 76.12748884003675
82.5 76.19062995686886
85.0 76.2518809062429
87.5 76.2899809793183
90.0 76.25295403202938
92.5 76.23090810283378
95.0 76.15533313230965
97.5 76.026462460285
100.0 75.89937963676682
103.0 75.71210810275669
106.0 75.54754918190888
109.0 75.35817046815241
112.0 75.22507272151945
115.0 75.09761963209198
118.0 74.9711212355805
122.0 74.8660679513744
125.0 74.79700697069366
128.0 74.73936779525313
132.0 74.70228054162418
136.0 74.66668499262808
140.0 74.71484304825744
145.0 74.77489581435786
150.0 74.9019215913455
155.0 75.06878444677652
160.0 75.26314257433695
165.0 75.46912764772792
170.0 75.65824775220958
175.0 75.85131040442617
180.0 75.92279769440303
185.0 75.94815435034802
190.0 75.83247469118409
195.0 75.57823276402995
200.0 75.22515365532865
206.0 74.81695139628644
212.0 74.38098042265577
218.0 73.92145832217177
224.0 73.42975811340804
230.0 72.7316606227196
236.0 71.74555546750268
240.0 70.73926865834623
250.0 70.01488976741545
258.0 69.88725393901251
265.0 70.46304670717338
272.0 72.04048795890996
280.0 74.15697855510213
290.0 73.1619077346092
300.0 72.33626213921315
307.0 72.44575462649455
315.0 72.72035064059995
325.0 72.89082428448884
335.0 73.00143347099902
345.0 73.22146189440457
355.0 73.06422682215978
365.0 71.87250322928627
375.0 70.09792543685434
387.0 68.45056171498528
400.0 67.3447735723529
412.0 67.50258365665529
