Freq "Side Wall Bounce"
22.4 -15.789218624659028
23.0 -13.111049630384045
23.6 -10.02265436845731
24.0 -7.209082834863935
25.0 -5.080799945672467
25.8 -3.253120644062861
26.5 -1.6153962082310471
27.2 0.29548803821440117
28.0 1.8289287214297332
29.0 2.6173947913456317
30.0 1.921011273590537
30.7 2.977615030905028
31.5 4.838251624908892
32.5 7.478489382144218
33.5 9.232294569103189
34.5 10.61699133134222
35.5 12.327709410783385
36.5 14.005062908309455
37.5 15.388661137766647
38.7 16.904116889457455
40.0 19.95384589653038
41.2 24.332176257085067
42.5 26.005697596807536
43.7 25.454846573758388
45.0 26.641586387025356
46.2 30.0301411637234
47.5 34.4665063198717
48.7 37.858072868380205
50.0 40.16779695143522
51.5 42.374073360194004
53.0 43.73416265327121
54.5 44.20527263965876
56.0 46.19397695490083
58.0 49.56512311306291
60.0 52.41376364464115
61.5 55.2692147455473
63.0 57.9124680931361
65.0 59.99191740640369
67.0 61.171680372049266
69.0 62.310512466162606
71.0 63.65214086596889
73.0 65.02428858746597
75.0 66.44210173162692
77.5 67.78018335884987
80.0 69.0023023206405
82.5 70.44396845048443
85.0 71.84530504353961
87.5 73.20598456990744
90.0 74.426141893916
92.5 75.58751894170379
95.0 76.4467367724147
97.5 77.1667062661677
100.0 77.58751894170378
103.0 77.98849735609959
106.0 78.16670626616768
109.0 78.38526041028544
112.0 78.56395064819496
115.0 78.76395064819495
118.0 78.86395064819496
122.0 79.0023023206405
125.0 79.06119474234183
128.0 79.1023023206405
132.0 79.16119474234182
136.0 79.24119983124486
140.0 79.28156054014522
145.0 79.28156054014522
150.0 79.34119983124485
155.0 79.36119474234184
160.0 79.48156054014521
165.0 79.52064343308079
170.0 79.52064343308079
175.0 79.54073299106128
180.0 79.52064343308079
185.0 79.46027588070906
190.0 79.36073004666429
195.0 79.34073299106127
200.0 79.24073299106128
206.0 79.14073299106128
212.0 79.16119474234182
218.0 79.18156054014521
224.0 79.18338957194298
230.0 79.18338957194298
236.0 79.2023023206405
240.0 79.16395064819497
250.0 79.20598456990744
258.0 79.18751894170379
265.0 79.18751894170379
272.0 79.24530504353962
280.0 79.38156054014522
290.0 79.46119474234183
300.0 79.44073299106127
307.0 79.36119474234184
315.0 79.08338957194297
325.0 78.73247987557606
335.0 78.5182442438724
345.0 78.30352961026536
355.0 78.08505351870535
365.0 77.85678912644873
375.0 77.76244965331124
387.0 77.55970573251852
400.0 77.43688464551714
412.0 77.35432193465898
425.0 77.17940338926876
437.0 77.02753601492294
450.0 76.96781203523977
462.0 77.01039079867913
475.0 77.01039079867913
487.0 76.9363148970151
500.0 76.93530083796757
515.0 76.8321751148644
530.0 76.42783218957028
545.0 76.07082123630394
560.0 75.87630939472108
580.0 75.87549553632897
600.0 76.03198139148385
615.0 76.39835792959106
630.0 76.62377280070079
650.0 76.53866358448705
670.0 76.23541273030081
690.0 76.1513379801391
710.0 75.59475482481282
730.0 74.82740535925373
750.0 74.83267433614358
775.0 75.20977195281321
800.0 75.56218698176038
825.0 75.93264359841825
850.0 76.24094278560848
875.0 76.22894080802659
900.0 75.78137893191945
925.0 75.2406055089243
950.0 74.74550555733447
975.0 74.77045027902224
1000.0 74.64067405640324
1030.0 75.26995250819809
1060.0 75.14446129141604
1090.0 74.56707349370244
1120.0 74.14074829450918
1150.0 74.00927757690448
1180.0 74.52896771569594
1220.0 74.72732863276231
1250.0 74.8528223080379
1280.0 74.15608061536109
1320.0 73.90606673141455
1360.0 74.84159019355113
1400.0 74.73617194119402
1450.0 74.7611941771854
1500.0 74.26437724164701
1550.0 74.0633082595983
1600.0 74.78692726094629
1650.0 74.9771749471354
1700.0 74.59685633464885
1750.0 74.20797717857114
1800.0 74.70248855662238
1850.0 74.83368746259889
1900.0 75.02058753321369
1950.0 75.7373045750618
2000.0 76.05416742925819
2060.0 75.26233847999387
2120.0 75.90370205416926
2180.0 76.62747453875681
2240.0 76.15317182109659
2300.0 75.89859274437644
2360.0 76.41108640216747
2400.0 75.76146683268773
2500.0 75.47683933153843
2580.0 75.22337181627573
2650.0 74.29090919444302
2720.0 74.53271054108664
2800.0 73.26417008508417
2900.0 73.45979553011404
3000.0 72.9225861944325
3070.0 72.89978529566704
3150.0 73.25219489413927
3250.0 73.87961530408465
3350.0 73.79304267788739
3450.0 73.74966301771049
