Freq,On Axis,Listening Window,Sound Power,Early Reflections,Early Reflections DI,Sound Power DI,DI offset
22.4,46.892405063291164,49.759536026362184,47.81247819092971,49.21788016450506,50.54165586185712,51.947057835432474,50
23.0,47.19240506329115,50.39066998667835,48.58606896010863,49.86527335041117,50.525396636267175,51.80460102656971,50
23.6,47.69240506329115,51.06180063378852,49.44117664023449,50.52536912306391,50.53643151072461,51.620623993554034,50
24.0,48.29240506329114,51.67502713097247,50.33342801116905,51.13210151542711,50.54292561554536,51.34159911980342,50
25.0,48.79240506329114,51.92929416215415,51.08617171562369,51.48688355467095,50.4424106074832,50.84312244653046,50
25.8,49.29240506329114,51.760716083475785,51.58556500390765,51.60739458727531,50.153321496200476,50.17515107956814,50
26.5,49.99240506329113,51.3960790102183,52.015242553255405,51.70134940123353,49.69472960898477,49.380836456962896,50
27.2,50.69240506329115,50.99547692471103,52.351100974203746,51.80648405777015,49.18899286694088,48.64437595050728,50
28.0,51.79240506329114,50.97730651795803,52.896888319714435,52.21309806647932,48.76420845147871,48.08041819824359,50
29.0,52.79240506329114,51.28175705677245,53.46186892761119,52.74361692465689,48.53814013211556,47.81988812916126,50
30.0,53.59240506329115,51.7551317409733,53.88831361462667,53.210356296405536,48.54477544456776,47.86681812634663,50
30.7,54.392405063291164,52.43192145820447,54.40071463478017,53.78629868371158,48.64562277449289,48.0312068234243,50
31.5,55.392405063291164,53.491366755765796,55.03926987574101,54.55326473432743,48.93810202143837,48.45209688002478,50
32.5,56.49240506329113,54.77330170782909,55.747117886655616,55.43801152053419,49.3352901872949,49.026183821173476,50
33.5,57.59240506329115,56.07979164675055,56.46664326293521,56.357898883654485,49.721892763096065,49.61314838381534,50
34.5,58.59240506329115,57.40845684458577,57.21388478560729,57.30949328645957,50.0989635581262,50.19457205897848,50
35.5,59.79240506329114,58.71328988024439,58.03261033287984,58.33570715197152,50.37758272827287,50.68067954736455,50
36.5,60.892405063291164,59.997350537097105,58.90788407775071,59.39581601214226,50.60153452495484,51.0894664593464,50
37.5,61.99240506329113,61.258875978538896,59.83441331696733,60.475905394204716,50.78297058433418,51.42446266157157,50
38.7,63.09240506329115,62.466975152167834,60.86838622234754,61.61966209856041,50.84731305360742,51.598588929820295,50
40.0,64.29240506329114,63.81506000185976,62.019810248349074,62.86879150206914,50.94626849979062,51.79524975351069,50
41.2,65.59240506329115,65.18711407582035,63.320992712009286,64.23247567870865,50.954638397111694,51.86612136381106,50
42.5,66.69240506329115,66.3279807038029,64.45013611647698,65.3693294216477,50.95865128215519,51.87784458732591,50
43.7,67.79240506329114,67.56911214503529,65.70020669879995,66.62309829817664,50.94601384685865,51.868905446235345,50
45.0,68.89240506329115,68.64482703577417,66.8459784723928,67.73939936079788,50.905427674976295,51.79884856338137,50
46.2,69.89240506329115,69.75439864272883,67.96742482552494,68.85416119198399,50.90023745074484,51.78697381720389,50
47.5,71.09240506329115,70.93058708781498,69.21859103399761,70.07099653492799,50.859590552887,51.71199605381737,50
48.7,72.19240506329115,72.0409726378211,70.40189666614943,71.22482841512632,50.816144222694774,51.63907597167167,50
50.0,73.19240506329115,73.08521835849962,71.4808414356276,72.28039797885428,50.804820379645335,51.60437692287202,50
51.5,74.09240506329115,73.99571283852899,72.45047086368392,73.21533207518286,50.78038076334613,51.54524197484507,50
53.0,74.89240506329115,74.82958379380179,73.35011960021565,74.08513355463384,50.744450239167946,51.47946419358614,50
54.5,75.69240506329115,75.65131042651504,74.20942265768093,74.92600086133966,50.72530956517538,51.44188776883411,50
56.0,76.49240506329114,76.49496312201126,75.0785655692129,75.76635625215471,50.72860686985655,51.41639755279836,50
58.0,77.39240506329115,77.39496312201126,76.05341973191626,76.71535326097808,50.679609861033185,51.341543390095,50
60.0,78.39240506329114,78.34926662882157,77.05388398922427,77.68947595319065,50.659790675630916,51.29538263959729,50
61.5,79.29240506329114,79.22752974347307,77.96249816132726,78.5797802956655,50.64774944780757,51.26503158214581,50
63.0,80.19240506329115,80.16009440890727,78.90134544160934,79.49939064131947,50.660703767587805,51.25874896729793,50
65.0,81.29240506329114,81.27089526042026,80.05605820294326,80.63595515124629,50.63494010917397,51.214837057477,50
67.0,82.39240506329115,82.32650262621326,81.16027381306537,81.71554467925424,50.61095794695902,51.16622881314788,50
69.0,83.39240506329114,83.38191995871799,82.2535513280944,82.79243074210328,50.58948921661471,51.128368630623584,50
71.0,84.39240506329116,84.38191995871797,83.26635571908014,83.7956614447402,50.58625851397777,51.115564239637834,50
73.0,85.19240506329115,85.12599489017113,84.05314907318568,84.56314360733805,50.56285128283308,51.07284581698545,50
75.0,85.79240506329114,85.79291674133162,84.73015458057165,85.23272838853832,50.560188352793304,51.06276216075997,50
77.5,86.79240506329114,86.704140920407,85.63602891751356,86.14467239855497,50.559468521852025,51.06811200289344,50
80.0,87.59240506329115,87.57089526042026,86.49395264166316,87.0043891229065,50.566506137513755,51.0769426187571,50
82.5,88.39240506329114,88.2821764236882,87.13453181344916,87.66864957408252,50.61352684960568,51.14764461023904,50
85.0,88.79240506329114,88.68217642368822,87.47042445086464,88.03671077295466,50.645465650733556,51.21175197282358,50
87.5,88.89240506329115,88.79342835909421,87.56662582406008,88.15302456836847,50.64040379072574,51.226802535034125,50
90.0,89.49240506329113,89.31610554600618,88.00928791335544,88.62722996634423,50.68887557966195,51.30681763265075,50
92.5,90.19240506329115,90.07191193341083,88.6513734523135,89.31016550114312,50.761746432267714,51.420538481097324,50
95.0,90.89240506329114,90.77191193341083,89.31299556430659,89.99283705420656,50.77907487920427,51.458916369104244,50
97.5,91.49240506329114,91.37191193341084,89.87830265574829,90.5789311503126,50.792980783098244,51.49360927766256,50
100.0,92.29240506329114,92.1061820203615,90.54912706896766,91.27440377524378,50.83177824511772,51.55705495139384,50
103.0,92.89240506329115,92.7061820203615,91.07978935913151,91.84533073985932,50.860851280502175,51.626392661229985,50
106.0,93.29240506329114,93.1061820203615,91.4390404910037,92.2286309453718,50.8775510749897,51.66714152935781,50
109.0,93.49240506329114,93.30618202036149,91.63831705425787,92.43997358687925,50.86620843348224,51.66786496610362,50
112.0,93.79240506329114,93.59496312201125,91.90221908726825,92.7152017214897,50.879761400521545,51.692744034743,50
115.0,93.89240506329115,93.66237888935484,91.98144497810645,92.79270961658459,50.86966927277025,51.68093391124839,50
118.0,93.89240506329115,93.68521835849961,91.99274720918109,92.80018330272893,50.885035055770686,51.69247114931852,50
122.0,93.89240506329115,93.68521835849961,92.00730450073104,92.80761276701207,50.87760559148754,51.67791385776857,50
