Freq "Sound Power"
20.5078 64.92150866997424
21.2402 64.2283554239775
21.9727 65.70103980218856
22.7051 66.39657601678182
23.4375 66.6302522489701
24.1699 67.25127600484774
25.6348 68.58521407696
26.3672 69.30120908395689
27.0996 69.7737378411243
27.832 70.30019806580712
29.2969 71.37543303274167
30.0293 71.83160775575466
31.4941 72.8172828428176
32.2266 73.27224725359305
33.6914 74.07340178492235
34.4238 74.45834882052655
35.8887 75.23094941566139
37.3535 75.91884415007597
38.8184 76.56169367751754
39.5508 76.86596495029136
41.0156 77.44920867542572
42.4805 78.02572166964823
43.9453 78.48603295232442
45.4102 79.02015706772472
47.6074 79.83405047939713
49.0723 80.31667254005781
50.5371 80.75600700074514
52.7344 81.37778198672262
54.1992 81.79132214773914
56.3965 82.38171830953668
58.5938 82.92665198780803
60.0586 83.24601414968684
62.2559 83.75050635636623
64.4531 84.15890676605206
66.6504 84.57650608602447
69.5801 84.93870036787254
71.7773 85.15293661667145
73.9746 85.37087298234579
76.9043 85.58757365546892
79.834 85.73940449774462
82.7637 85.81836631647452
85.6934 85.89526329176586
88.623 85.96464483507391
91.5527 85.90417414938771
94.4824 85.77886113322025
98.1445 85.66548364740477
101.807 85.49321564326192
105.469 85.31277998088967
109.131 85.11750578730557
112.793 84.86525174359113
116.455 84.61040372372334
120.85 84.41779711397034
125.244 84.32622579610322
129.639 84.17475288009474
134.033 83.92556665824175
138.428 83.66030434820826
143.555 83.40387023071203
148.682 83.5127669892302
153.809 83.32373781240548
159.668 82.85565475450659
164.795 82.62581863605666
170.654 82.67144671287555
176.514 82.64398567077664
183.105 82.39982988596022
189.697 82.0429832014703
196.289 81.73882797026842
202.881 81.42290432361114
210.205 81.27503182544343
217.529 81.12533255869202
225.586 80.82778909629512
232.91 80.3968308811529
241.699 79.98117224446688
249.756 79.96157103965811
258.545 80.82963719918232
268.066 80.27223459507232
277.588 80.07147095008426
287.109 79.60018043908434
297.363 79.90130649996662
307.617 79.88091321575487
318.604 79.61774317106536
329.59 80.01080921229257
341.309 79.62518243838129
353.76 79.1835032283587
366.211 79.01214766669271
378.662 79.01415414977768
392.578 79.32633496627922
405.762 78.90047477121907
420.41 79.04635115372521
435.059 78.68226971663687
450.439 78.04559530926537
466.553 78.1838285613786
482.666 77.74356605298415
500.244 78.01538414511917
517.822 77.65877829676809
536.133 77.30987957472645
554.443 76.79817549830194
574.219 76.37417932024987
594.727 76.26234653928356
615.234 76.63464021673444
637.207 76.88821718642664
659.912 77.79953590863771
683.35 78.23694714538799
706.787 78.26763193505192
731.689 78.54972317171253
758.057 78.3259343186996
784.424 78.30787925077655
812.256 77.95884472079754
840.82 78.37143510167911
870.85 78.48050507744831
901.611 78.25082502532047
933.105 78.68663740353603
966.064 78.90981248530366
999.756 79.01736670016545
1034.91 79.83402461338822
1071.53 80.17432141713896
1109.62 80.04389469695815
1148.44 80.65089959406585
1189.45 80.28519862876043
1231.2 80.20831607146214
1274.41 79.51839316510492
1319.82 80.00573718016014
1365.97 80.21925726539234
1414.31 80.16068876422027
1464.11 79.96728130929186
1515.38 80.26783955928066
1568.85 80.2084551137561
1624.51 79.85221967718627
1681.64 79.39054027737953
1740.97 78.59425472679261
1802.49 77.42611541785206
1866.21 76.87609219199285
1932.13 76.95115514242521
2000.24 76.8818753786411
2070.56 76.26133849883941
2143.8 76.39389252333525
2219.24 76.86771132628976
2297.61 76.90476025044528
2378.17 76.4416352227734
2462.4 76.2941693919361
2548.83 76.29923404501794
2638.92 75.88849813167229
2731.93 76.17587308320535
2828.61 76.66139415025725
2928.22 76.83110387586643
3031.49 77.14171391670885
3138.43 77.94925525853428
3249.02 78.81821130213852
3363.28 78.96533447930841
3481.93 78.97139754946761
3604.98 78.82734160277107
3732.42 78.47272842560668
3863.53 77.87709176422695
3999.76 77.41444812034031
4141.11 77.1467369259732
4286.87 76.72515230459594
4438.48 76.41784492760785
4594.48 76.19374304415628
4757.08 76.03908436588883
4924.8 76.01072561845044
5098.39 75.98316105974097
5277.83 75.82225030118225
5463.87 75.6630560562814
5656.49 75.81717970448771
5856.45 75.5961837575622
6062.99 75.83858615672702
6276.86 75.74369022228537
6498.05 76.01311861418212
6727.29 75.63287886763572
6964.6 75.88731148997866
7209.96 75.28534286946184
7464.11 75.26143844665664
7727.78 74.84934702828762
8000.24 74.66382021462464
8282.23 74.98709153379414
8574.46 75.13791273238563
8876.22 74.45702465145762
9189.7 71.57360022256708
9513.43 73.83005168428467
9848.88 74.95786248127256
10196.8 75.4093394550068
10556.4 75.1802554128508
10928.5 74.37664876560618
11313.7 73.71005250482796
11712.9 73.2209203003441
12126.0 72.56182221846213
12553.7 72.74504688954589
12996.1 73.03716912445022
13454.6 72.7024507593592
13928.5 71.60975601809109
14419.9 70.03999761201514
14928.2 69.70092987397685
15454.8 69.59682329143907
15999.8 69.00139794111747
16564.5 69.26393781558389
17148.2 69.01433655304491
17753.2 71.0789501314084
18379.4 72.92231424309242
19027.6 70.68885707555206
19698.5 68.61692477273128
19999.5 66.80054496065947
