Freq "Sound Power DI"
20.5078 43.12879541865772
21.9727 43.41811260171224
23.4375 43.28870343807378
24.9023 43.44194193257968
26.3672 43.67770575532316
27.832 43.99309469112927
29.2969 43.89844466635793
30.7617 43.4854299039215
32.2266 42.389738685677884
33.6914 41.35848198786056
35.1562 40.74728098952937
36.6211 40.14750544418261
38.0859 39.99976062345797
39.5508 39.949725874413616
41.0156 39.78004798443659
42.4805 39.89616563570581
43.9453 39.87707521012693
45.4102 39.896456817102944
46.875 39.90933463835529
48.3398 39.92672273919159
51.2695 39.964805780382136
52.7344 39.99086192201119
54.1992 39.975429913882095
55.6641 40.08266387219818
58.5938 40.07888672435705
60.0586 40.10416044345854
62.9883 40.138568419035124
64.4531 40.15639506506156
67.3828 40.12763681220977
68.8477 40.1111809060873
71.7773 40.158380534945096
74.707 40.16793021710825
77.6367 40.19521650936123
79.1016 40.22060403408193
82.0312 40.237785846142714
84.9609 40.22336177043549
87.8906 40.09211162763938
90.8203 40.561640013577005
95.2148 40.198896400529605
98.1445 40.31070216777516
101.074 40.19999269623719
105.469 40.39029033171326
108.398 40.39883914758016
112.793 40.45398702079687
117.188 40.64762939163852
120.117 40.69642816437258
124.512 40.56386324895247
128.906 40.418831402470616
133.301 40.517821456331276
139.16 40.54643911370542
143.555 40.54647319532556
147.949 40.61671634347137
153.809 40.71316429294323
159.668 40.659316979822165
165.527 40.6204884024245
171.387 40.77057019721802
177.246 40.93001969207131
183.105 40.83177064093488
188.965 40.862390523617364
196.289 41.04986473482491
203.613 41.19802439407154
210.938 41.15436778672861
218.262 41.08982930163715
225.586 41.24845459389205
232.91 41.40233309072593
241.699 41.491554536598684
250.488 41.70638913181078
259.277 41.63210754926716
268.066 41.836394780696324
276.855 41.73799515462224
287.109 41.57454328534864
297.363 42.05738804750203
307.617 42.01123737926787
319.336 42.13399658355726
329.59 42.01217057569424
341.309 42.061483216806565
353.027 42.176540467005765
366.211 42.398659288734535
379.395 42.255571518443375
392.578 42.07559281513281
405.762 42.30338097632264
420.41 42.191706296189565
435.059 42.33401710885087
451.172 42.984480925087084
465.82 42.76153890347214
483.398 42.2124382534179
499.512 42.79815464413167
517.09 43.04384790256654
536.133 44.165368329162064
555.176 43.05377057290619
574.219 42.80654884853668
594.727 43.46172551889755
615.234 42.88623874383441
637.207 43.23407917855374
659.18 43.813843594608386
682.617 44.018689950953615
707.52 43.95163325384104
732.422 44.169540640357326
757.324 44.314667014168236
785.156 45.21464416241288
811.523 43.90674219055035
840.82 44.473651400533114
870.117 44.77633696307052
900.879 44.06662800019775
933.105 45.40116164158168
965.332 43.417735654710896
1000.49 45.120045238596546
1035.64 44.90772905439874
1072.27 44.22391649343636
1108.89 45.05948137139481
1148.44 44.234290140119796
1189.45 45.39474838526053
1230.47 45.26719525918301
1274.41 44.42806303987024
1319.82 45.40987373901886
1366.7 45.240703894915825
1413.57 46.07851626667423
1463.38 46.24325602224603
1516.11 45.119818327445074
1568.85 45.6267387190188
1624.51 46.27939332915477
1681.64 46.764856673988035
1741.7 46.32353176460947
1803.22 46.36266120332952
1866.21 45.93532793482581
1932.13 45.690243941848195
1999.51 46.418058065492886
2069.82 46.907291762433886
2143.07 47.052259616668024
2219.24 46.84686498328696
2296.88 46.50293922275864
2378.91 46.59362943257595
2462.4 47.25375121195573
2548.83 46.95564451016884
2639.65 46.35477954269943
2731.93 46.50226799651925
2828.61 46.90933575261013
2928.22 47.266095445986124
3030.76 47.420386244289986
3137.7 47.4421577353165
3249.02 47.430620166435446
3363.28 47.5360282625079
3481.93 47.297041881614035
3604.98 46.528350551126564
3732.42 46.235131149952196
3864.26 45.72000233712559
4000.49 45.682748640676266
4141.11 45.76401698995275
4287.6 45.73310829067057
4438.48 46.024042094356204
4595.21 46.616073840033465
4756.35 46.95112787019593
4924.8 46.950989180483305
5097.66 46.85519416084706
5277.83 46.685025530228984
5463.87 46.32546171870767
5657.23 46.73001752342317
5856.45 46.55982599843669
6062.99 47.057986376250355
6276.86 46.96101977701157
6498.05 47.23448861325883
6726.56 47.51181255468205
6963.87 47.84022571968595
7209.96 47.83247680656538
7464.84 48.22255333659541
7727.05 48.36456472854046
7999.51 48.33607697197151
8282.23 48.686757024003725
8573.73 48.90921513775845
8876.95 48.9793479470292
9188.96 49.16545588841538
9514.16 49.40988752034741
9849.61 49.60304007159074
10196.8 49.6020385598337
10555.7 49.75403822748778
10927.7 49.90619376915997
11313.0 50.00401092129445
11712.9 50.15443641660501
12126.0 50.2154774709646
12553.7 50.320191789289396
12996.1 50.216617227012776
13454.6 50.28659331470229
13929.2 50.44702122886834
14419.9 50.48724869060456
14928.2 50.5854850212435
15455.6 50.771742476959574
16000.5 51.203896219594554
16564.5 51.580092127427434
17148.9 51.660104557256034
17752.4 51.74828016999646
18379.4 51.854609769312844
19026.9 52.142543537178526
19697.8 52.40066431577773
19999.5 52.526808874458524
