Freq "Rear Wall Bounce"
22.4 36.568560596883955
23.0 38.48469356176305
23.6 40.45805249732051
24.0 42.50772370029553
25.0 44.64862369529153
25.8 46.8466486326014
26.5 49.11156881919662
27.2 51.24821795159225
28.0 53.91666536955104
29.0 56.86652983743106
30.0 58.96661817459575
30.7 60.59141614383198
31.5 62.13740535584249
32.5 64.00399576993657
33.5 66.07707642198739
34.5 67.53034616458919
35.5 68.92529404109007
36.5 70.4954339619312
37.5 71.83716554969826
38.7 73.07048418977858
40.0 74.15018207563975
41.2 75.1250801121614
42.5 76.01541379136567
43.7 77.0383692153144
45.0 78.00750702615882
46.2 78.79270100490565
47.5 79.76294149621579
48.7 80.90848632557392
50.0 81.77716687437547
51.5 82.77968833051924
53.0 83.80977998166038
54.5 84.55548566188351
56.0 85.11291833867567
58.0 85.75451690448027
60.0 86.43315445052498
61.5 86.93315445052497
63.0 87.25942100174059
65.0 87.61589682445158
67.0 87.98344161661129
69.0 88.30380983364203
71.0 88.56613068798428
73.0 88.78658006329452
75.0 89.0022092919774
77.5 89.32320225621275
80.0 89.71283929654014
82.5 90.01259761725606
85.0 90.10171909161333
87.5 90.09589142355715
90.0 89.98521980439686
92.5 89.82233854598752
95.0 89.67999306445846
97.5 89.51235612275532
100.0 89.23982143082414
103.0 88.92036261552514
106.0 88.6195830831008
109.0 88.23871533414211
112.0 87.89590052966561
115.0 87.55461002063258
118.0 87.19654909022124
122.0 86.79117869533432
125.0 86.27591167489392
128.0 85.63235449784946
132.0 84.91074162884829
136.0 84.15335710019433
140.0 83.43310610273345
145.0 82.8510698074392
150.0 82.4233285244873
155.0 82.18543532722985
160.0 82.09642237536906
165.0 82.15281235276576
170.0 82.31370917505886
175.0 82.51975301150433
180.0 82.75516661046908
185.0 82.95084223155304
190.0 83.13113986111328
195.0 83.29405759297457
200.0 83.36395033564669
206.0 83.33068853082133
212.0 83.08935944464126
218.0 82.58713821147508
224.0 82.00174293515039
230.0 81.42887636730391
236.0 80.9887074446399
240.0 80.65072143421044
250.0 80.25392438031275
258.0 79.84987790448959
265.0 79.64093069433886
272.0 79.75510196828927
280.0 80.11365457058393
290.0 80.62926479482435
300.0 81.15434446215856
307.0 81.58903618756477
315.0 81.89913096186176
325.0 82.11939353883308
335.0 82.21990080144273
345.0 82.112983304394
355.0 81.81868865237088
365.0 81.36527196147183
375.0 80.83618294814444
387.0 80.30821630189824
400.0 79.74170858272095
412.0 79.13270298563573
425.0 78.61218003064057
437.0 78.12079516484354
450.0 77.71654644853115
462.0 77.30665969784069
475.0 76.89540665355977
487.0 76.53312511244712
500.0 75.91118460760242
515.0 74.94068883052459
530.0 73.9156231399319
545.0 73.0020219696595
560.0 72.79440427145458
580.0 73.39741048627234
600.0 74.34284344646078
615.0 75.31858206884944
630.0 76.13942290702718
650.0 76.54677701457724
670.0 76.75437523358511
690.0 76.81039261462509
710.0 76.505553314348
730.0 75.79594712503754
750.0 74.63778325391786
775.0 73.2129047794128
