Freq "Rear Wall Bounce"
22.4 2.8346789508936467
23.0 3.44309242164681
23.6 4.049410805647284
24.0 4.70106873961646
25.0 5.349814212225169
25.8 5.906640152937598
26.5 6.878604863238621
27.2 10.588009087830102
28.0 13.309928557699607
29.0 15.321111498327724
30.0 17.322881907315633
30.7 19.594024264441686
31.5 21.402526885718743
32.5 22.933735744795683
33.5 24.7015528598009
34.5 26.23432126369866
35.5 27.647585660623406
36.5 29.470972186817818
37.5 31.03139888794493
38.7 32.62206415340867
40.0 34.61662261484565
41.2 36.22998134821867
42.5 38.11838619629307
43.7 39.85269055663568
45.0 41.469152337276995
46.2 43.150628832403726
47.5 44.61817478191253
48.7 46.14291427212025
50.0 47.49857668435109
51.5 48.93022335388474
53.0 50.23900719838281
54.5 51.64864697167867
56.0 52.94220458781933
58.0 54.42817235389249
60.0 55.69809683865766
61.5 56.84002987049476
63.0 58.02072114228457
65.0 59.19619224339942
67.0 60.338838125247165
69.0 61.414386476814414
71.0 62.42879571450533
73.0 63.37279220073029
75.0 64.22503213270403
77.5 64.98532161402098
80.0 65.59660933715415
82.5 66.08754525517774
85.0 66.36137631160916
87.5 66.52358639352786
90.0 66.57444429782844
92.5 66.62258415134148
95.0 66.60624389056181
97.5 66.53484064618323
100.0 66.44885177745368
103.0 66.38824377379183
106.0 66.28148760263936
109.0 66.244179380003
112.0 66.32149327554436
115.0 66.37821570582945
118.0 66.26619124803406
122.0 66.14965955883947
125.0 66.35947317933919
128.0 66.83297812334527
132.0 67.12263849197689
136.0 67.12263849197689
140.0 67.30139484853458
145.0 67.68409401412148
150.0 68.0047066974163
155.0 68.25288162243277
160.0 68.40470669741629
165.0 68.50470669741628
170.0 68.51002189650497
175.0 68.27411935162195
180.0 67.93050134239397
185.0 68.0881724142107
190.0 67.78295489682166
195.0 67.61418877222715
200.0 68.41418877222715
206.0 68.39843912627464
212.0 68.28825435652729
218.0 68.31452614278867
224.0 67.825142539112
230.0 67.5415028477817
236.0 67.35253306528693
240.0 67.42774494039847
250.0 67.58806128026096
258.0 67.57862305531299
265.0 67.1485536881346
272.0 67.32096708791886
280.0 67.05451374100441
290.0 67.89566027022512
300.0 68.40816558264285
307.0 67.72814719269991
315.0 67.74763600843082
325.0 67.73186942203088
335.0 67.38650117874732
345.0 67.35427813604838
355.0 67.38283572079312
365.0 67.32343825958418
375.0 67.3962557948933
387.0 67.2853630889784
400.0 67.18748576845252
412.0 67.3760393526711
425.0 67.11649029168323
437.0 66.96458368523913
450.0 66.10222333111028
462.0 65.40424792744064
475.0 64.11489445654416
487.0 62.567120902105344
500.0 62.036986889940465
515.0 61.59984512117542
530.0 60.754346509536816
545.0 59.83778768470607
560.0 59.42882159980337
580.0 59.599377434125785
600.0 60.255241268749614
615.0 60.92999390174458
630.0 61.475568788754686
650.0 61.62083502133859
670.0 61.29995176138712
690.0 60.23789446124334
710.0 58.21172561474711
730.0 56.89026927582654
750.0 58.43489248665611
775.0 60.446500028172366
800.0 61.36337611016654
825.0 61.536955971921046
850.0 61.307617058613246
875.0 60.68989080444325
900.0 59.832094049393945
925.0 59.016524766338875
950.0 58.156677729961984
975.0 57.16640866947358
1000.0 56.66896931781031
1030.0 57.1909291560801
1060.0 58.378573840110136
1090.0 59.257232915405936
1120.0 59.50088521145389
1150.0 59.39483424934804
1180.0 58.92671534404428
