Freq "Floor Bounce"
22.4 -144.3423187217805
23.0 -144.07650314934023
23.6 -143.70514294116828
24.0 -143.3423187217805
25.0 -143.07650314934023
25.8 -142.8051429411683
26.5 -142.60514294116825
27.2 -142.3423187217805
28.0 -142.14231872178044
29.0 -141.90514294116832
30.0 -141.4423187217805
30.7 -140.8051429411683
31.5 -140.3051429411683
32.5 -139.8051429411683
33.5 -139.04231872178048
34.5 -138.0051429411683
35.5 -136.87650314934024
36.5 -135.77650314934021
37.5 -134.74231872178046
38.7 -133.64231872178044
40.0 -132.6134335368875
41.2 -131.57650314934023
42.5 -130.6134335368875
43.7 -129.71343353688752
45.0 -128.71343353688752
46.2 -127.7423187217805
47.5 -126.81343353688753
48.7 -126.01343353688752
50.0 -125.31343353688753
51.5 -124.61343353688748
53.0 -124.04982924787429
54.5 -123.54982924787429
56.0 -123.01343353688752
58.0 -122.52022254209434
60.0 -122.0840730777329
61.5 -121.74982924787433
63.0 -121.52022254209429
65.0 -121.24982924787433
67.0 -120.88569362137717
69.0 79.67977745790569
71.0 80.0797774579057
73.0 80.47977745790568
75.0 80.87977745790569
77.5 81.34415774934853
80.0 81.51430637862282
82.5 81.57977745790568
85.0 81.84415774934853
87.5 82.24415774934852
90.0 82.44415774934852
92.5 82.47977745790568
95.0 82.71430637862282
97.5 83.17977745790569
100.0 83.41592692226705
103.0 83.57977745790569
106.0 83.7797774579057
109.0 84.05017075212572
112.0 84.41592692226708
115.0 84.71592692226706
118.0 84.6501707521257
122.0 84.31592692226707
125.0 84.18656646311247
128.0 84.15260953202218
132.0 83.98656646311248
136.0 83.7234968506598
140.0 83.68656646311247
145.0 83.82349685065981
150.0 83.92349685065979
155.0 83.92349685065979
160.0 83.79485705883171
165.0 83.6234968506598
170.0 83.79485705883171
175.0 84.19485705883172
180.0 84.36668552790022
185.0 84.26668552790022
190.0 83.96668552790022
195.0 83.73897757455804
200.0 83.46668552790022
206.0 83.33897757455803
212.0 83.50464502318535
218.0 83.73897757455804
224.0 83.71172846437379
230.0 83.4117284643738
236.0 83.01172846437379
240.0 82.71172846437378
250.0 82.48493341531498
258.0 82.284933415315
265.0 81.65858760124325
272.0 81.03268615537793
280.0 81.00722417372364
