Freq "Ceiling Bounce"
22.4 -158.49493670886073
23.0 -158.29493670886075
23.6 -158.09493670886076
24.0 -157.92801485770025
25.0 -157.76134688198073
25.8 -157.62801485770024
26.5 -157.49493670886073
27.2 -157.39493670886083
28.0 -157.29493670886075
29.0 -157.16134688198076
30.0 -157.09493670886076
30.7 -156.99493670886073
31.5 -156.89493670886077
32.5 -156.82801485770023
33.5 -156.7949367088608
34.5 -156.72801485770026
35.5 -156.69493670886072
36.5 -156.62801485770018
37.5 47.978526366219626
38.7 49.872241836558885
40.0 51.35302772843221
41.2 52.47455328134703
42.5 53.37789922470972
43.7 54.10127481845947
45.0 54.68216795122774
46.2 55.31468403868763
47.5 55.7826427957464
48.7 56.26506290858916
50.0 56.707717794542646
51.5 57.06701196677693
53.0 57.454046882647674
54.5 57.814695857955456
56.0 58.1040377424485
58.0 58.46602843351107
60.0 58.75767282316143
61.5 59.05767282316144
63.0 59.320990213406304
65.0 59.58484074904494
67.0 59.88484074904494
69.0 60.114929577862554
71.0 60.37955680144363
73.0 60.61038135880395
75.0 60.94470861089928
77.5 61.87351412919358
80.0 62.7727585041922
82.5 63.57351412919357
85.0 64.24169904781112
87.5 64.87578061609335
90.0 65.41038135880395
92.5 65.91038135880395
95.0 66.37955680144363
97.5 66.77955680144363
100.0 67.17955680144362
103.0 67.57955680144363
106.0 67.91492957786255
109.0 68.24922104048778
112.0 68.61492957786254
115.0 69.31492957786256
118.0 70.01492957786253
122.0 70.61492957786255
125.0 71.18115504563146
128.0 71.68115504563146
132.0 72.18115504563147
136.0 72.58115504563146
140.0 73.01196830149384
145.0 73.38115504563146
150.0 73.747893595859
155.0 74.21196830149384
160.0 74.71196830149384
165.0 75.14789359585899
170.0 75.547893595859
175.0 75.947893595859
180.0 76.31733507429543
185.0 76.64789359585899
190.0 76.98435061721358
195.0 77.21733507429543
200.0 77.51733507429545
206.0 77.75404843993476
212.0 78.02423034616679
218.0 78.22423034616679
224.0 78.46173585043975
230.0 78.56173585043975
236.0 78.63265048397518
240.0 78.70403774244849
250.0 78.77589299398223
258.0 78.84821155223361
265.0 78.91469585795545
272.0 78.88726141903982
280.0 78.98726141903978
290.0 78.98726141903978
300.0 79.02098867993908
307.0 79.22098867993907
315.0 79.43763547160484
325.0 79.66602843351107
335.0 79.85767282316144
345.0 80.15083048552395
355.0 80.44550497059416
365.0 80.74550497059417
375.0 80.94169904781111
387.0 81.00813286218178
400.0 81.04019388291908
412.0 81.04019388291908
425.0 80.77507817371402
437.0 80.34327459002667
450.0 79.81514128894217
462.0 79.22908816139947
475.0 78.4891401041287
487.0 77.68264279574637
500.0 77.73108781470616
515.0 77.88604819664604
530.0 78.29686144791333
545.0 78.88090936641072
560.0 79.32260132353859
580.0 79.3337557448172
600.0 79.26028298422304
615.0 78.86028298422303
630.0 78.3872614190398
650.0 78.12686067802821
670.0 77.93440406555581
690.0 78.24898053975562
710.0 78.59744227923726
730.0 78.92338873298897
750.0 79.11964224867233
775.0 78.87448315480654
800.0 78.46468363314035
825.0 77.84427490428388
850.0 77.49763340527534
875.0 77.30012787149755
900.0 77.3169845586728
925.0 77.62201724723182
950.0 78.15653872186732
975.0 78.54559830291747
1000.0 78.17784003602611
1030.0 77.18849790143477
1060.0 75.9309137346585
1090.0 75.34265298003419
1120.0 76.29686144791333
1150.0 77.71964224867236
1180.0 78.11964224867235
1220.0 77.61901981202199
1250.0 77.1535834457273
1280.0 77.3777547443652
1320.0 78.40769679652695
1360.0 79.20171110407158
1400.0 79.245730110711
1450.0 78.47784003602611
1500.0 76.96828833899527
1550.0 75.7637878685622
1600.0 75.73117938280934
1650.0 76.69726376265497
1700.0 76.90200033495813
1750.0 78.15683250218152
1800.0 81.52098867993908
1850.0 82.47384363110716
1900.0 79.67751578321571
1950.0 75.53716249062299
2000.0 76.937162490623
2060.0 76.9934227593608
2120.0 73.14801968390827
2180.0 72.36465714725858
2240.0 73.84242863507109
2300.0 72.43163427621012
2360.0 72.4606333997895
2400.0 73.68730957390937
2500.0 71.86585350265962
2580.0 71.60286599279222
2650.0 71.54279590160502
2720.0 69.7702915163894
2800.0 67.83553419486732
2900.0 68.0605141258643
3000.0 66.51716737853737
3070.0 68.39160543173935
3150.0 71.60062171950872
3250.0 70.36433676334471
3350.0 71.8840331863404
3450.0 69.55470307233682
3550.0 68.48466450547386
3650.0 66.92588223667981
3750.0 66.75744129852006
3870.0 66.25404843993476
4000.0 69.1649250177266
4120.0 70.70377709878926
4250.0 72.03719151966679
4370.0 70.95683620010709
4500.0 68.6408072289118
4620.0 66.41652267214246
4750.0 65.60471768391105
4870.0 63.86789946115461
5000.0 63.405322272040465
5150.0 63.899765477349504
5300.0 64.39854428921109
5450.0 63.91499956014219
5600.0 62.22061090122179
5800.0 59.69662493408245
6000.0 60.39937073658591
6150.0 64.20803800956915
6300.0 68.42320233263081
6500.0 69.12558466339408
6700.0 68.15332060249327
6900.0 68.129343491269
7100.0 67.5794786685214
7300.0 66.7470335167141
7500.0 66.48557389384
7750.0 65.16440600420655
8000.0 62.62135343196054
8250.0 61.78909459723391
8500.0 59.78028589560016
8750.0 58.13349672457056
9000.0 56.31360361823059
9250.0 56.06560382267526
9500.0 59.58026151320122
9750.0 63.008293519337826
10000.0 64.04403366103168
10300.0 67.13271855240596
10600.0 66.51462460144795
10900.0 65.61025523741269
11200.0 63.616315461095894
11500.0 61.828818601719604
11800.0 65.28439695623914
12200.0 66.38929508719085
12500.0 64.84204090966958
12800.0 60.06603888268728
13200.0 60.52094929005753
13600.0 60.52227688203399
14000.0 65.07823109196545
14500.0 62.998486671948456
15000.0 65.42011782233882
15500.0 65.75683766648665
16000.0 59.905427052913666
16500.0 62.668042444554885
17000.0 64.65056784803446
17500.0 61.354774015023395
18000.0 64.18596325047314
18500.0 65.79545309796458
19000.0 65.79131437329212
19500.0 67.4420043807656
