Freq,Floor Bounce,Ceiling Bounce,Front Wall Bounce,Side Wall Bounce,Rear Wall Bounce,Total Early Reflection
22.4,-146.56486940822018,-148.29834028308036,-145.05051852887024,-142.74413295043328,-143.483038726332,-144.78567775376146
23.0,-141.365662119093,-147.9327297855892,-148.84109433328533,-147.57417554301688,-146.46029062048805,-145.4592414486742
23.6,-142.17195445352834,-137.79535497681465,-141.30762856663947,-140.27673566065184,-141.05896212443767,-140.24134634356946
24.0,-140.13585806155848,-142.85147857946637,-143.9929466802681,-144.27274778554457,-141.8599105282705,-142.34764430116306
25.0,-137.0603388693025,-143.94647834973009,-145.88554089651254,-147.26171069143922,-144.49038593754196,-141.9761894041895
25.8,-134.43659743648564,-145.81543756585293,-144.0366434512479,-142.462203345959,-142.36669274862598,-139.66230907337015
26.5,-131.6893413562223,-138.6676279172535,-139.47570060330165,-141.44994031913868,-138.24864003067373,-136.39116276948604
27.2,-131.42210920549442,-134.77098769887417,-133.5899312027208,-136.47678345588784,-135.17196778816574,-133.934767977525
28.0,-128.41935938338835,-128.64351686585175,-128.54456123165855,-131.10843022954325,-129.29937673582012,-129.09843660124713
29.0,-126.37300212302276,-134.75465604233105,-128.36896799032795,-127.07854642992086,-126.73258527752566,-127.86373564675878
30.0,-120.92899387988516,-127.6505736333581,-122.52583633758124,-123.17518999486904,-122.42688305000391,-122.8542596215677
30.7,-123.08404799667667,-126.73054002020714,-124.57430834722598,-123.3927635398139,-123.0596340974378,-123.96882468401881
31.5,-120.94823078895772,-120.07795253591635,-122.44814190724625,-123.15739531115028,-121.0292968028082,-121.39362913243085
32.5,-120.65397078961988,-125.13950808084141,-122.29466943492073,-121.15227548428075,-121.39893376108031,-121.87410393411054
33.5,-118.26778195420624,-122.87570263408477,-118.05828651740606,-119.08054869090901,-118.88336412367423,-119.13739131947912
34.5,-115.10401925136816,-112.18676425596865,-114.97183953351956,-117.18718960571928,-114.93618072429908,-114.57561668550724
35.5,-114.21133509969164,-110.36482999848059,-114.44228097786143,-114.69131698754578,-113.44035674399802,-113.0970325069853
36.5,-112.65088688767347,-109.23429723829352,-105.77905709875952,-105.92087530403688,-106.02076263657443,-107.24140385241785
37.5,-109.3392649383903,-111.88516476366524,-112.44413132208288,-112.58231826323251,-110.57717231386547,-111.18142473750405
38.7,-108.2333129517364,-110.95321280350149,-108.00362087916065,-109.94445257137752,-108.81560917258267,-109.05535882000848
40.0,-106.92730854677401,-103.18288909371253,-100.94255970748577,-101.97495431068555,-101.14682051376869,-102.37944820686974
41.2,-102.77542327415503,-106.3707346911643,-103.2540757576345,-106.85166672750594,-105.39523501403247,-104.61851869846558
42.5,-102.72302788041733,-103.33411153940315,-100.11850743555732,-101.73763419143529,-99.10176459914024,-101.11105579021631
43.7,-100.8503162212397,-97.09589083361399,-95.11713495008988,-95.83485885897622,-95.80159364444756,-96.54017176971175
45.0,-97.64196477849737,-95.08718651791531,-99.01063156937059,-98.02509794036027,-97.95303845504489,-97.32628860197596
46.2,-95.23506964658907,-98.26194447912908,-94.81574797106762,-94.57533541828883,-95.3157138190818,-95.46229788960488
47.5,-94.01111452844995,-99.352131707757,-97.55584318005816,-98.39880955957673,-97.06680072563219,-96.86218037462766
48.7,-91.97977839383702,-88.55608275138363,-84.49923914677305,-84.78043520483942,-83.06150987745002,-85.57685751857804
50.0,-90.02784335106315,-87.19717809385145,-84.12829371984665,-83.02029673249552,-84.11364915823614,-85.04948672574048
51.5,-87.53773955594525,-90.63011137017656,-86.96204988681973,-86.22999815434417,-86.21278470875853,-87.2516281625008
53.0,-85.26919933806508,-78.08661123211044,-82.67050496314036,-83.21521827028764,-83.1661562401882,-81.73816050744534
54.5,-84.68109019858304,-88.24765817574925,-85.407705150076,-85.24520733740914,-85.11106293814092,-85.57510766951268
56.0,-83.88095550214658,-80.33716382998463,-81.13378661086907,-80.1289021061068,-80.81547978613438,-81.0743080824513
58.0,-80.40112183363036,-76.73805302680438,-79.71771902376642,-80.70295099703762,-79.27605556435213,-79.11495658054494
60.0,-78.62337201746098,-78.49669134440012,-74.50438723439319,-75.58911250366859,-74.49489398109921,-75.97065219473512
61.5,-75.92390824550776,-79.14594906546924,-82.09625163645742,-80.73900771409981,-80.45872420775189,-79.11224667170674
63.0,-75.48807873246645,-72.5111113646135,-73.93775395714985,-72.38844324275124,-72.56771100009476,-73.22760583324882
65.0,-70.95147857946634,-70.89079074773059,-72.75763021676585,-71.52484926671625,-71.9954244238798,-71.5698034499805
67.0,-71.83506964658903,-68.07746666117339,-73.26417869757307,-74.0090762007546,-73.33545860118628,-71.49345165282065
69.0,-70.66336424332812,-71.74762199261917,-69.96475254197529,-69.43409629713165,-70.1964227674805,-70.33373845900957
71.0,-67.61347935833206,-68.67787638069035,-66.49920356089419,-67.23074139384642,-66.80495099023798,-67.30191287411796
73.0,-66.13496062409249,-66.11017143326526,-67.58255176349613,-68.74337059117985,-67.29594702916788,-67.06497105785763
75.0,-63.507429885863935,-63.60761437783896,-61.10364450702651,-62.415775775814275,-61.70674541969701,-62.357260529947816
77.5,-62.42356382174791,-61.14072652779456,-63.87220182629725,-63.812670139623215,-62.32175134526302,-62.59182569063112
80.0,-59.141277822715274,-57.550280940026916,-60.39072024884562,-61.56391632612591,-59.60754428552773,-59.444243919349994
82.5,-57.69017144443243,-52.41892672617124,-57.118018044760454,-58.81323514019417,-56.889493574077086,-55.93999431752952
85.0,-55.41273215238571,-58.327889742006654,-58.79764083843734,-59.55629718183443,-58.769349707005354,-57.90519141578458
87.5,-54.609621159522796,-54.78847673695035,-50.599243516343826,-51.78380768100036,-51.03085506923177,-52.21709513654756
90.0,-51.853885968601254,-53.48992200219707,-53.73459722690561,-53.67044088554045,-53.0828161994252,-53.10748712060832
92.5,-50.14949281475706,-48.91111622036539,-49.88526786229205,-50.81311951245997,-50.73733808746247,-50.042773509148596
95.0,-48.199232505544394,-51.378973850364964,-50.37836489899954,-51.405324786471546,-50.795539642425446,-50.25533185594583
97.5,-46.58340937307219,-43.195356411652035,-40.844980992680355,-43.75174174375935,-41.23659317736659,-42.683001799507714
100.0,-44.73805270815914,-43.67597512973976,-39.51896686748416,-38.91965172461034,-39.10948610522352,-40.56309559388999
103.0,-42.42067116528677,-43.010404714387995,-45.43088623334854,-44.67118292166035,-44.42027873526511,-43.84777928656508
106.0,-41.25064922618947,-36.29526469881424,-38.73377832371944,-38.68013564012703,-38.73241690616414,-38.45931736343619
109.0,-39.29296752971943,-41.8203987856654,-42.265716383547364,-41.114426626712635,-40.70314004163698,-40.91289296007211
112.0,-37.869728152681525,-38.29013371327674,-35.388492764398485,-34.799658606092386,-34.737045403747864,-35.95900676028797
115.0,-34.85036021880243,-40.083409373072165,-38.122479632776084,-37.32857501225727,-38.01732577970632,-37.34079340167404
118.0,-32.94594906546926,-32.677140971062364,-31.941446385936707,-31.64731908102329,-30.55676066475511,-31.869712138235833
122.0,-30.4834418082283,-35.59771538603983,-33.97837964779607,-32.469060229957826,-32.42752644547438,-32.66243841062249
125.0,-29.38109019858303,-27.299470389455145,-30.966211636563266,-30.977992753545756,-29.687384900722755,-29.43933297050635
128.0,-28.114612895341004,-27.146190256405568,-28.785147160735256,-29.673844148964584,-28.013255112648558,-28.26600492983156
132.0,-26.010171433265306,-24.88372059916359,-25.389040051376732,-25.32444971441405,-24.365521543808633,-25.159913187298493
136.0,-23.770909158427465,-24.36919933806508,-25.01108728878544,-24.554735472349456,-23.768671009346725,-24.268934577855227
140.0,-22.10514294116826,-21.206067405436677,-19.5030868906263,-19.198786312766806,-18.989121027902918,-20.03550637484708
