Freq "Estimated In-Room Response"
22.4 42.320284454450274
23.0 42.898691926267645
23.6 43.4616240584366
24.0 43.88613843056913
25.0 44.43436785857935
25.8 45.00986207057173
26.5 45.62582339270514
27.2 46.437113391278274
28.0 47.07014037665144
29.0 47.701940420073555
30.0 48.315568748235734
30.7 48.852379958366214
31.5 49.38045399470883
32.5 50.021723016828986
33.5 50.75998270099274
34.5 51.571634110712694
35.5 52.21332076105486
36.5 52.877189242481535
37.5 53.39749872493999
38.7 54.01111662955523
40.0 54.810082190930885
41.2 55.53345465546283
42.5 56.16793811885407
43.7 56.79373263595535
45.0 57.282090119269554
46.2 58.05695820032402
47.5 58.679960487305365
48.7 59.26504338325421
50.0 59.82954964419817
51.5 60.37594152788826
53.0 60.9618164860602
54.5 61.50925669483122
56.0 62.0244920992387
58.0 62.56767642372276
60.0 62.99087469815326
61.5 63.46307999312859
63.0 63.89880617364814
65.0 64.35539338684961
67.0 64.71936683681355
69.0 65.10608671974558
71.0 65.48848289967694
73.0 65.77867372039036
75.0 66.12594437454611
77.5 66.42973714286157
80.0 66.64793389852724
82.5 66.9127314340055
85.0 67.15156432750643
87.5 67.34105335185149
90.0 67.56875428765116
92.5 67.74761309015065
95.0 67.97564250992477
97.5 68.21408133921904
100.0 68.48059095206798
103.0 68.8115987621944
106.0 69.21517550210913
109.0 69.67058286133165
112.0 70.19439553336849
115.0 70.74872620742367
118.0 71.35061015967842
122.0 71.9462485309153
125.0 72.57848573012907
128.0 73.17015319812114
132.0 73.71636338950043
136.0 74.24759048874614
140.0 74.6794534509036
145.0 75.0460176893835
150.0 75.34737075721591
155.0 75.52965893483848
160.0 75.65390145342596
165.0 75.69637291220074
170.0 75.70018488692818
175.0 75.6719864378885
180.0 75.6439586603428
185.0 75.64944973798565
190.0 75.69990303241211
195.0 75.803001211923
200.0 75.91132904657108
206.0 76.00338261581014
212.0 76.0591698196101
218.0 76.03515952168289
224.0 75.96908638257216
230.0 75.83731590543269
236.0 75.67049053102485
240.0 75.49172828599922
250.0 75.3051392268531
258.0 75.08574345942367
265.0 74.88019764789611
272.0 74.72275526595052
280.0 74.57181078901101
290.0 74.42671379706026
300.0 74.22173484439482
307.0 73.96131926356568
315.0 73.67581547335342
325.0 73.43067001447528
335.0 73.25703203612318
345.0 73.15083334025279
355.0 73.0653113088782
365.0 72.99701467552167
375.0 72.94703616304574
387.0 72.95265420323088
400.0 73.03424320574364
412.0 73.10525482642748
425.0 73.02322218548608
437.0 72.8100211151735
450.0 72.58962672332561
462.0 72.43708544393778
475.0 72.34359824005489
487.0 72.19954106635275
500.0 72.03166362446638
515.0 71.86782392472273
530.0 71.77365744108431
545.0 71.77381914508649
560.0 71.82892188526314
580.0 71.88722968512428
600.0 71.88207087800174
615.0 71.83985897724352
630.0 71.76435452445278
650.0 71.56103005020846
670.0 71.29643120534358
690.0 71.15954785002984
710.0 71.0236728020743
730.0 70.76284846297472
750.0 70.51292414263158
775.0 70.22385745477987
800.0 69.88811064375027
825.0 69.7296331693033
850.0 69.63088127855308
875.0 69.39793160361864
900.0 69.12538408081478
925.0 68.87365737644443
950.0 68.5913652790658
975.0 68.35665925461761
1000.0 68.20756380604672
1030.0 68.0655205658862
1060.0 67.92429569967484
1090.0 67.85706127620968
1120.0 67.81555772947675
1150.0 67.8708362693616
1180.0 68.03694007852619
1220.0 68.26904060720977
1250.0 68.49320274957464
1280.0 68.8162515612743
1320.0 69.07899831981226
1360.0 69.28355583770589
1400.0 69.38395880884596
1450.0 69.37290735577596
1500.0 69.1987539068826
1550.0 68.97475434947481
1600.0 68.68376088933401
1650.0 68.34878844226077
1700.0 67.98974602543586
1750.0 67.66488472335598
1800.0 67.38475969221872
1850.0 67.24905976753402
1900.0 67.1766806335514
1950.0 67.28971651294734
2000.0 67.46288465878854
2060.0 67.66278144731527
2120.0 67.84957331409775
2180.0 68.0713249069628
2240.0 68.35114717268415
2300.0 68.61221337644349
2360.0 68.8661822133539
2400.0 69.07480242616361
2500.0 69.26069088063235
2580.0 69.46637669564967
2650.0 69.63063700605824
2720.0 69.71931200095653
2800.0 69.80698947528047
2900.0 69.8417933063885
3000.0 69.94175489448591
3070.0 70.00181969419656
3150.0 70.01248348100921
3250.0 70.09890966561525
3350.0 70.2092914771836
3450.0 70.42636369955241
3550.0 70.73231962628113
3650.0 71.01370218075733
3750.0 71.12766909328205
3870.0 71.16744716233819
4000.0 71.17336887861349
4120.0 71.11360084878865
4250.0 71.11768118747456
4370.0 71.13689574399572
4500.0 71.30359740830052
4620.0 71.54934583046045
4750.0 71.96881879080586
4870.0 72.3765789325877
5000.0 72.51138522226549
5150.0 72.54429470233482
5300.0 72.53565893117323
5450.0 72.38891969984208
5600.0 71.98961127313495
5800.0 71.41694464985318
6000.0 70.61686384784306
6150.0 69.66556273834128
6300.0 68.92646789778877
6500.0 68.34269872491238
6700.0 67.69719137317004
6900.0 66.91811532167247
7100.0 66.17072632912836
7300.0 65.66469285938636
7500.0 65.28583777177656
7750.0 65.21569296894843
8000.0 65.21695846216804
8250.0 65.3885906525142
8500.0 66.08325871047155
8750.0 66.8098811205754
9000.0 67.43960676163272
9250.0 67.90104242426122
9500.0 68.35453048030074
9750.0 68.60943879435783
10000.0 68.83054644685429
10300.0 68.72324706553492
10600.0 68.31253977429455
10900.0 68.17501560295588
11200.0 68.06612160854905
11500.0 67.60231871434819
11800.0 66.80210395046885
12200.0 66.09949989413073
12500.0 66.34801202318982
12800.0 67.3947995956498
13200.0 68.18312504980686
13600.0 68.28033797876209
14000.0 67.91983064189375
14500.0 67.84032474867865
15000.0 67.7999200544004
15500.0 67.56854335988473
16000.0 66.8056412661095
16500.0 65.04599291557406
17000.0 63.324987012047444
17500.0 62.132075592787984
18000.0 61.76243100537353
18500.0 61.75216717063584
19000.0 61.524248894483335
19500.0 61.839180759406844
