Freq,On Axis,Listening Window,Sound Power,Early Reflections,Early Reflections DI,Sound Power DI,DI offset
22.4,39.10000000000001,39.07823306508389,37.959541893504834,38.48792654142396,30.590306523659933,31.11869117157906,30
23.0,40.10000000000001,40.07823306508389,38.952137719740065,39.473312913405934,30.60492015167796,31.126095345343828,30
23.6,41.10000000000001,41.05660314969002,39.937039367613934,40.466930876419,30.58967227327102,31.119563782076085,30
24.0,42.10000000000001,42.034357321335605,40.92323454484175,41.45670553345634,30.57765178787926,31.111122776493858,30
25.0,43.10000000000001,43.034357321335605,41.89012339186492,42.42918781848864,30.605169502846962,31.144233929470687,30
25.8,44.10000000000001,44.034357321335605,42.88467503975686,43.42525822823252,30.609099093103083,31.149682281578748,30
26.5,45.10000000000001,45.03435732133558,43.87382244366408,44.407601289554336,30.62675603178124,31.160534877671495,30
27.2,46.10000000000001,46.034357321335605,44.86979363778791,45.40326366267611,30.631093658659495,31.164563683547698,30
28.0,47.10000000000001,47.023446013621665,45.85493869327708,46.39696995429297,30.626476059328695,31.168507320344588,30
29.0,48.10000000000001,48.023446013621665,46.86024469868387,47.39837777904263,30.625068234579032,31.163201314937794,30
30.0,49.10000000000001,49.023446013621665,47.848506845214885,48.3931229288702,30.630323084751467,31.17493916840678,30
30.7,50.10000000000001,50.023446013621665,48.842903307946514,49.3931229288702,30.630323084751467,31.18054270567515,30
31.5,51.10000000000001,51.023446013621665,49.841160328997645,50.39312292887023,30.63032308475144,31.18228568462402,30
32.5,52.10000000000001,52.00102925400232,50.83097312404128,51.38231475505019,30.61871449895213,31.17005612996104,30
33.5,53.10000000000001,53.00102925400232,51.796418704107666,52.356893805093094,30.644135448909225,31.204610549894653,30
34.5,54.000000000000014,53.956603149690025,52.763991347596786,53.33225961704353,30.624343532646492,31.19261180209324,30
35.5,55.000000000000014,54.92344601362167,53.72067715866744,54.28529537257462,30.638150641047048,31.20276885495423,30
36.5,56.000000000000014,55.889514895426814,54.67832208906911,55.24381111403652,30.645703781390296,31.2111928063577,30
37.5,56.89999999999999,56.82344601362166,55.59051677811719,56.15664137818108,30.666804635440585,31.23292923550447,30
38.7,57.8,57.723446013621654,56.49698846082161,57.07820521753298,30.64524079608867,31.226457552800042,30
40.0,58.7,58.62344601362166,57.37432769066288,57.94981768444953,30.673628329172132,31.24911832295878,30
41.2,59.60000000000001,59.523446013621665,58.23688451624405,58.836547487429755,30.68689852619191,31.28656149737762,30
42.5,60.39999999999999,60.32344601362166,59.03561913664316,59.63654748742974,30.686898526191925,31.2878268769785,30
43.7,61.2,61.12344601362166,59.833399141656514,60.436547487429735,30.686898526191925,31.290046871965146,30
45.0,62.0,61.867941235565,60.57123929200496,61.18922203766857,30.678719197896427,31.296701943560038,30
46.2,62.7,62.5795128579111,61.263296899649916,61.882865760236584,30.696647097674514,31.316215958261182,30
47.5,63.39999999999999,63.24575355685862,61.91139020634685,62.539002049168374,30.706751507690242,31.334363350511765,30
48.7,64.00000000000001,63.879512857911095,62.50684313468504,63.141239257908296,30.7382736000028,31.372669723226053,30
50.0,64.5,64.43435732133558,63.06149783472485,63.71908942131377,30.715267900021814,31.372859486610736,30
51.5,65.0,64.9460186532139,63.5529695553663,64.22005668351417,30.725961969699725,31.393049097847594,30
53.0,65.49999999999999,65.4020406649343,63.984690234981386,64.65578209181558,30.746258573118723,31.41735042995292,30
54.5,65.9,65.8130058166541,64.36488462344765,65.04709113082482,30.765914685829273,31.448121193206447,30
56.0,66.3,66.17951285791109,64.70208779661293,65.39785440217577,30.781658455735325,31.477425061298163,30
58.0,66.59999999999998,66.5020406649343,64.99092987886611,65.70329576541066,30.79874489952364,31.511110786068187,30
60.0,66.89999999999999,66.75738436946538,65.25643732114098,65.97093526657939,30.786449102885996,31.500947048324406,30
61.5,67.1,67.03435732133558,65.49347459686531,66.20957551905418,30.824781802281393,31.540882724470265,30
63.0,67.4,67.3020406649343,65.75758960513049,66.48676916550521,30.815271499429087,31.544451059803805,30
65.0,67.7,67.60204066493431,66.04623727549244,66.76988613441868,30.832154530515623,31.555803389441863,30
67.0,67.99999999999999,67.91300581665409,66.35918585333341,67.10127403730905,30.81173177934504,31.553819963320677,30
69.0,68.4,68.3130058166541,66.74373255192634,67.48864972902565,30.824356087628445,31.569273264727755,30
71.0,68.9,68.77951285791112,67.17929293573815,67.931913822861,30.84759903505011,31.60021992217297,30
73.0,69.39999999999999,69.2457535568586,67.66409569541108,68.40837686106987,30.837376695788734,31.581657861447525,30
75.0,69.9,69.81300581665408,68.19604251615173,68.95756465454771,30.855441162106374,31.61696330050235,30
77.5,70.40000000000002,70.3343573213356,68.70743637236009,69.46965952067596,30.86469780065964,31.62692094897551,30
80.0,70.9,70.8130058166541,69.19401100192825,69.96151842972125,30.851487386932845,31.618994814725852,30
82.5,71.4,71.30204066493431,69.63610414560715,70.4223854396975,30.879655225236803,31.66593651932716,30
85.0,71.8,71.7130058166541,70.03615985593011,70.8408579453023,30.8721478713518,31.676845960723995,30
87.5,72.2,72.1130058166541,70.40483833101398,71.22744531500558,30.885560501648513,31.708167485640118,30
90.0,72.60000000000001,72.5130058166541,70.77844943485051,71.6147834659482,30.898222350705908,31.734556381803586,30
92.5,73.1,72.94575355685862,71.17401703832819,72.03305177565218,30.912701781206437,31.77173651853043,30
95.0,73.6,73.42445814420117,71.63366394159253,72.50657617583575,30.91788196836542,31.790794202608637,30
97.5,74.09999999999998,73.97950687011968,72.12155887209836,73.01441365442618,30.9650932156935,31.857947998021316,30
100.0,74.6,74.5015232095018,72.59298007313076,73.50499879387172,30.996524415630077,31.908543136371037,30
103.0,75.0,74.9130058166541,72.97890316340802,73.90746568176687,31.00554013488724,31.934102653246086,30
106.0,75.40000000000002,75.24727259632452,73.27293620971342,74.22457035063648,31.022702245688038,31.9743363866111,30
109.0,75.6,75.49203842311861,73.46726572216878,74.43914415948488,31.052894263633732,32.02477270094984,30
112.0,75.8,75.65837672536982,73.60095559930923,74.5950803370354,31.06329638833442,32.05742112606059,30
115.0,76.0,75.82445814420117,73.72383968575984,74.74192836999448,31.08252977420669,32.10061845844133,30
118.0,76.2,76.04727259632452,73.882039813283,74.93497074102712,31.112301855297403,32.16523278304152,30
122.0,76.50000000000001,76.30354610191523,74.10410930984541,75.16358564993716,31.13996045197807,32.19943679206982,30
125.0,76.8,76.64727259632453,74.37437861960274,75.47021415010254,31.17705844622199,32.27289397672179,30
128.0,77.1,76.95837672536982,74.6246582382501,75.75223418081882,31.206142544551,32.33371848711971,30
132.0,77.4,77.25837672536981,74.86446821555823,76.02719291776721,31.231183807602605,32.39390850981158,30
136.0,77.7,77.50354610191523,75.06408019241617,76.26111298997056,31.242433111944678,32.43946590949906,30
140.0,77.99999999999999,77.80354610191523,75.29187878374924,76.52126613171596,31.28227997019927,32.51166731816599,30
145.0,78.3,78.11476245148907,75.51332421630123,76.78640345167504,31.32835899981403,32.60143823518784,30
150.0,78.6,78.43762776013772,75.75009873308069,77.06995197689766,31.36767578324006,32.687529027057025,30
155.0,78.9,78.66090170960878,75.93049698024919,77.28535104372286,31.375550665885925,32.73040472935959,30
160.0,79.09999999999998,78.93762776013772,76.06560550875511,77.48404955344209,31.453578206695624,32.8720222513826,30
165.0,79.3,79.09428176701228,76.1479427062496,77.61640364893884,31.477878118073434,32.94633906076268,30
170.0,79.39999999999999,79.19428176701228,76.1542778147792,77.67509113725635,31.51919062975594,33.04000395223308,30
175.0,79.39999999999999,79.16063752019828,76.02584030784054,77.60321576076663,31.557421759431648,33.13479721235774,30
180.0,79.39999999999999,79.14928032556396,75.900930756971,77.53887121017947,31.6104091153845,33.24834956859297,30
185.0,79.3,79.06063752019828,75.73788998964665,77.43365765954599,31.6269798606523,33.32274753055164,30
190.0,79.2,78.98274948127022,75.57326390977666,77.3244675168203,31.658281964449912,33.40948557149356,30
195.0,79.09999999999998,78.84928032556395,75.35988842215642,77.16104660953413,31.688233716029828,33.48939190340754,30
200.0,78.9,78.70604496832918,75.1650163005624,77.00006172386286,31.705983244466324,33.54102866776678,30
206.0,78.8,78.58301232902811,75.01166066594267,76.86783369010415,31.71517863892396,33.57135166308544,30
