Freq "Early Reflections"
20.5078 55.97711961352573
21.2402 56.89354552444931
21.9727 57.55561254123046
22.7051 58.33633215331221
23.4375 57.93129323564429
24.1699 58.86632956829993
25.6348 60.2651849695726
26.3672 60.71651602144058
27.0996 61.49707062560097
27.832 62.21961933642237
29.2969 63.62847387865173
30.0293 64.20107315503446
31.4941 65.64385499277076
32.2266 66.34227304816878
33.6914 67.87502863769491
34.4238 68.60761196780521
35.8887 70.02374779624563
37.3535 71.54563679841247
38.8184 73.14473194407266
39.5508 73.81762104649047
41.0156 75.32541636947846
42.4805 76.82499311629817
43.9453 78.1611893895012
45.4102 79.46343352906786
47.6074 81.13969908747526
49.0723 82.19792054755442
50.5371 83.18691172496588
52.7344 84.32184125707451
54.1992 84.82236547640896
56.3965 85.31681996085808
58.5938 85.62379460779394
60.0586 85.72185044733378
62.2559 85.77522500856958
64.4531 85.7529401851168
66.6504 85.85045590300415
69.5801 85.80240887260706
71.7773 85.84515112623689
73.9746 85.87595288470881
76.9043 85.89585123323819
79.834 85.90952923569105
82.7637 85.91441144567526
85.6934 85.89051938548376
88.623 85.92475839259237
91.5527 86.00523324629323
94.4824 85.94822470615063
98.1445 85.83459109994153
101.807 85.70857857923221
105.469 85.5771382699563
109.131 85.488115166909
112.793 85.41296688597158
116.455 85.2356011173364
120.85 85.08083422732346
125.244 85.20798648702397
129.639 85.17324058075435
134.033 85.04069219564178
138.428 85.03567821677558
143.555 85.04788973773586
148.682 85.4907857794753
153.809 85.47314476535009
159.668 85.29505379279419
164.795 85.17684196914419
170.654 85.53418891866019
176.514 85.77507833771483
183.105 85.42939994475702
189.697 85.34140486267854
196.289 85.10790589885156
202.881 84.65892711758607
210.205 84.7886133331316
217.529 84.76534241647177
225.586 84.60092399860126
232.91 84.49849881556514
241.699 84.5974081698529
249.756 85.05318795507227
258.545 85.50679868379581
268.066 85.23618124095722
277.588 84.9258879614116
287.109 84.52911303457019
297.363 84.72239176952752
307.617 85.0406598381683
318.604 84.67854120226184
329.59 84.31966411581233
341.309 83.7351617891795
353.76 83.11807681054927
366.211 83.3280086680735
378.662 83.55851554643986
392.578 83.95481381459736
405.762 83.37399496238386
420.41 84.09488652127041
435.059 83.05589620340436
450.439 82.41337620913252
466.553 82.9333219398602
482.666 82.56704944986967
500.244 82.69599464464821
517.822 83.6983547179022
536.133 83.9372240888627
554.443 84.16581697538535
574.219 84.13295922246918
594.727 83.95353312505038
615.234 83.26991492878678
637.207 83.7009179216557
659.912 84.58486374228605
683.35 83.63753294612906
706.787 82.93908446196188
731.689 83.66169339101448
758.057 84.09553741624157
784.424 84.76893437140643
812.256 83.7269281631491
840.82 84.25907223295576
870.85 84.97516590510838
901.611 84.61514950000829
933.105 84.46174961519901
966.064 84.36439045855967
999.756 84.03388114137282
1034.91 83.87751990051237
1071.53 83.58335541041944
1109.62 83.62483052182002
1148.44 83.69374571801958
1189.45 82.90867275142334
1231.2 83.38963598745448
1274.41 83.19944569232891
1319.82 83.35282839793155
1365.97 83.55038919399799
1414.31 83.73904136931192
1464.11 83.61426056515836
1515.38 83.20842657982833
1568.85 82.99646525990642
1624.51 82.52480804383569
1681.64 82.55928157288172
1740.97 82.34898655020133
1802.49 82.46050373966767
1866.21 82.30084851423129
1932.13 82.04038512624119
2000.24 82.55900209385769
2070.56 82.79052626169764
2143.8 81.82174757407083
2219.24 82.05094616936094
2297.61 82.81127744584865
2378.17 83.00892548864354
2462.4 82.48142504266997
2548.83 82.81885120703056
2638.92 82.80564997512273
2731.93 82.35581719750765
2828.61 82.21040605350834
2928.22 82.19684094716186
3031.49 82.60559812612411
3138.43 82.63789029401083
3249.02 83.08696301461526
3363.28 82.51843113251755
3481.93 81.86496034310377
3604.98 80.8929041888471
3732.42 80.36002597481053
3863.53 80.03651141067652
3999.76 80.80819787630281
4141.11 81.71005938193846
4286.87 81.98704086190747
4438.48 82.64402069924958
4594.48 82.88426921279982
4757.08 83.04984357569903
4924.8 82.66158716897064
5098.39 82.3444599572736
5277.83 81.72864656083962
5463.87 80.69918257248649
5656.49 80.53197475016668
5856.45 80.409760767724
6062.99 80.21433925684332
6276.86 80.35475445717992
6498.05 81.05496957820151
6727.29 81.14500462635255
6964.6 81.00020897035958
7209.96 81.1392864216586
7464.11 81.28964810516351
7727.78 80.9749753531128
8000.24 80.85961995804132
8282.23 80.87600223774186
8574.46 80.8331098270049
8876.22 80.70446159417737
9189.7 80.57247192110647
9513.43 80.23745002868255
9848.88 80.25367313151881
10196.8 79.87687672674451
10556.4 79.89078060808811
10928.5 79.90195073662396
11313.7 79.87507848645893
11712.9 79.90899273551743
12126.0 79.77840975059588
12553.7 79.5793478762155
12996.1 79.49263949373926
13454.6 79.12580444425936
13928.5 78.98967209772987
14419.9 79.29625242388931
14928.2 79.50393171698772
15454.8 78.9468287128105
15999.8 78.39059863405274
16564.5 78.1516406374315
17148.2 78.58323747928809
17753.2 78.68347329644999
18379.4 78.83544109981283
19027.6 78.9396409366645
19698.5 78.74223435878292
19999.5 78.26157106427108
