Freq "Rear Wall Bounce"
20.5078 54.82698687254768
21.9727 55.53661493814201
23.4375 56.20163367888725
24.9023 56.94131467491505
26.3672 58.06651071208614
27.832 58.791035868830505
29.2969 59.4229775044403
30.7617 60.0175185890665
32.2266 60.94678506068203
33.6914 61.51244039783501
35.1562 62.17551838129174
36.6211 62.9115202891804
38.0859 63.63462796277304
39.5508 64.0627826076871
41.0156 64.79963060464172
42.4805 65.20988142136869
43.9453 65.77821695713183
45.4102 66.23857638392059
46.875 66.65717676414823
48.3398 67.2435561151872
51.2695 68.13710775351694
52.7344 68.63916848366631
54.1992 69.00647201607923
55.6641 69.3046059646968
58.5938 70.44527362328782
60.0586 70.94634891601159
62.9883 71.83980478485661
64.4531 72.26746131836602
67.3828 73.10178905458531
68.8477 73.50509982873622
71.7773 74.28566099554808
74.707 75.05165170051825
77.6367 75.78584531910803
79.1016 76.07034735481774
82.0312 76.49025322446727
84.9609 76.83759961590268
87.8906 77.03239808381672
90.8203 76.98760552011834
95.2148 76.64381240931499
98.1445 76.19006220360684
101.074 75.61748207629192
105.469 75.57165522223258
108.398 76.602449089127
112.793 77.6586141406636
117.188 77.17544828651708
120.117 77.08736170053953
124.512 77.29978872016855
128.906 77.64399651999653
133.301 77.35098338919485
139.16 76.8688545020231
143.555 76.57111998762754
147.949 76.27765936898412
153.809 76.1340567741955
159.668 76.06752085960534
165.527 75.93806819077196
171.387 75.8515140553087
177.246 75.59976411653759
183.105 75.05745358604725
188.965 74.57570481290465
196.289 74.51748686678087
203.613 74.45614036411854
210.938 75.23343225430762
218.262 76.24355240629615
225.586 76.93711249324106
232.91 76.90084047281951
241.699 76.75633947978892
250.488 76.63047268211281
259.277 75.78931001474515
268.066 76.36548735923569
276.855 75.93673288740374
287.109 75.6650588971415
297.363 75.36424793432131
307.617 75.55414311075855
319.336 75.62244758677427
329.59 76.01147800176973
341.309 76.07347749325729
353.027 76.12646732516257
366.211 77.57820806803109
379.395 77.25473325622195
392.578 77.5182893751456
405.762 77.93483470165437
420.41 76.96033048009008
435.059 76.63522526879672
451.172 76.80942473183198
465.82 76.7502268433943
483.398 76.82388189132126
499.512 77.18179712791218
517.09 76.12301578547898
536.133 75.91168274106067
555.176 75.93202353016257
574.219 76.18105028123253
594.727 75.25840235495
615.234 76.29273069246156
637.207 76.16988491266457
659.18 74.9798635133944
682.617 76.6860977762954
707.52 74.48958468376867
732.422 74.77756594855865
757.324 75.30476080733868
785.156 74.1907817974093
811.523 74.3328665478259
840.82 74.02542815831292
870.117 72.63335237994107
900.879 74.00553485225605
933.105 72.64967265010063
965.332 73.13021277704692
1000.49 73.48407030895478
1035.64 75.23042105868778
1072.27 72.7602520689039
1108.89 73.41318303004431
1148.44 73.23094239913299
1189.45 74.43825134043185
1230.47 75.39516940088777
1274.41 76.04194200883309
1319.82 75.0938649532361
1366.7 74.72770388813319
1413.57 73.61831786974645
1463.38 76.6973358152135
1516.11 74.81586027423552
1568.85 72.84495434006053
1624.51 73.13566007331158
1681.64 69.87136760348845
1741.7 71.4330141124459
1803.22 72.81976016934048
1866.21 71.58637955425138
1932.13 70.65316488524073
1999.51 70.07193580547249
2069.82 71.38663420254223
2143.07 71.96323332241788
2219.24 71.74581111434141
2296.88 71.87727509402517
2378.91 72.65424670833113
2462.4 72.01636585383253
2548.83 72.25451722530065
2639.65 71.3796871046683
2731.93 71.00084173212366
2828.61 70.01404466851231
2928.22 68.97134760381259
3030.76 68.75621736633357
3137.7 69.71552462994671
3249.02 70.22734878028277
3363.28 69.59089754541249
3481.93 71.56615315207404
3604.98 72.27676686369585
3732.42 71.59359465024696
3864.26 71.26394563155712
4000.49 69.79098285023267
4141.11 69.63971296764302
4287.6 70.05729108051013
4438.48 70.51713352188011
4595.21 71.7324677172108
4756.35 72.05005464628698
4924.8 70.78028994104328
5097.66 68.55978219133607
5277.83 66.99540345066595
5463.87 67.94267923196168
5657.23 69.83506819004161
5856.45 69.27147011001057
6062.99 69.48980564021565
6276.86 67.5298352665888
6498.05 65.58842695831794
6726.56 66.37371505252239
6963.87 68.16389663871703
7209.96 67.62207292758589
7464.84 66.64332174000887
7727.05 64.67394035546741
7999.51 66.41506681323969
8282.23 67.11928016724067
8573.73 63.77450161482355
8876.95 61.26523355588489
9188.96 63.73468553463741
9514.16 64.12336833124607
9849.61 61.2384611359746
10196.8 63.34151602662169
10555.7 64.06011725001747
10927.7 59.305661583733325
11313.0 60.61907768123481
11712.9 62.61948290254827
12126.0 58.59453090389519
12553.7 59.39617542500292
12996.1 59.2882756267702
13454.6 58.234186056016995
13929.2 60.84034570847584
14419.9 57.943307516630256
14928.2 61.22208541479969
15455.6 57.598351428376105
16000.5 57.93360055550502
16564.5 52.914152121857086
17148.9 56.217843343001476
17752.4 53.14188211956221
18379.4 54.80075710867979
19026.9 48.17206493502948
19697.8 49.12378331036288
19999.5 46.66882245032565
