Freq,Floor Bounce,Ceiling Bounce,Front Wall Bounce,Side Wall Bounce,Rear Wall Bounce,Total Early Reflection
20.5078,51.938889812439115,51.58143042774442,51.77131322264502,51.79824364337104,51.784009369333646,51.776268163776635
21.9727,64.5389735117217,63.30799651877685,63.88900933296999,64.15440532423257,64.7279326196559,64.15215348592803
23.4375,66.57717703246463,65.18359131613472,66.01634532546824,65.91727703739365,65.68782289862234,65.90010777017461
24.9023,69.66027908780013,68.4405586403918,69.18039331708862,69.07691869842976,68.82279578006137,69.05492446256704
26.3672,73.20029713846331,72.17419516890826,72.7825579958501,72.73428521486449,72.57701069964105,72.70630256778443
27.832,75.69282067476796,74.62574556280184,75.28242785547464,75.14426952269118,74.77934698879302,75.12147032397327
29.2969,78.83715995562217,77.75141614129019,78.39534049289756,78.33299529506806,78.24882558443754,78.32693305828212
30.7617,81.39983976193658,80.36803817722034,80.99537257531294,80.90637572010017,80.68871905671762,80.88510467588894
32.2266,83.79761975576905,82.68707607360149,83.39135935410987,83.21673396909686,82.76260011981951,83.19063144106903
33.6914,86.11929815906838,85.40060217152414,85.8731545652771,85.71019666284194,85.24403643042989,85.68094086073917
35.1562,87.15641092220022,86.06730646060144,86.70954101868718,86.66962448977648,86.59522395113225,86.65340089478265
36.6211,89.02703910648077,87.98540923452639,88.61802628822278,88.53650563881395,88.35584609994751,88.5178822346776
38.0859,90.62639189862682,89.6460168923436,90.26865350140712,90.13566983579959,89.78373150346738,90.1062598615686
39.5508,91.54313854737487,90.71951235495159,91.23799445649883,91.11373034465745,90.79315838354215,91.09198231421428
41.0156,91.99762127658262,91.16290486520998,91.67083959458857,91.59123225369268,91.42321258795786,91.57794346400753
42.4805,92.5219317363307,91.62319664696746,92.18812655773999,92.06983792587056,91.79983233514353,92.051831050744
43.9453,92.76346851050836,91.91188829521882,92.45084311122139,92.32613538861419,92.0405901606046,92.30913448456236
45.4102,92.99533281278202,92.13184526475351,92.68510971180145,92.54385235906744,92.20397684299994,92.52368122063952
46.875,93.12800348645875,92.29010160133281,92.83143342247594,92.68405381562721,92.33040202827148,92.66422755101044
48.3398,93.19680148179029,92.32756200253256,92.89897481338538,92.7332925975967,92.34292157692597,92.71271086836026
51.2695,93.00519841039305,92.23094170648386,92.7572301364823,92.55463981244282,92.0407306479983,92.5316898401647
52.7344,92.99143477934102,92.22630054471486,92.73169438992728,92.57250519629615,92.18385278005537,92.55193835672085
54.1992,93.17038719992333,92.40785459973752,92.91999028039798,92.73909611229334,92.29110901986546,92.71775722959713
