Freq,On Axis,Listening Window,Sound Power,Early Reflections,Early Reflections DI,Sound Power DI,DI offset
22.4,-144.3,-144.32243691865312,-144.79895386746375,-144.57427177467628,30.25183485602315,30.476516948810627,30
23.0,-143.40000000000003,-143.4595513405555,-143.85100505650837,-143.66667947016055,30.207128129605053,30.391453715952878,30
23.6,-142.30000000000007,-142.29694789158424,-142.5556152979998,-142.457317661815,30.160369770230773,30.258667406415555,30
24.0,-141.39999999999998,-141.3852023117139,-141.63987040232405,-141.5425507568031,30.157348445089212,30.254668090610153,30
25.0,-140.4000000000001,-140.37375470212953,-140.60928808048845,-140.5280083903778,30.154253688248275,30.235533378358923,30
25.8,-139.5,-139.50793823530432,-139.78422859585737,-139.67983568681814,30.171897451513814,30.27629036055305,30
26.5,-138.8,-138.80793823530433,-139.09954475442925,-138.9905060294426,30.182567794138265,30.29160651912491,30
27.2,-138.0,-138.00793823530432,-138.27796164998938,-138.17411726570242,30.166179030398098,30.270023414685056,30
28.0,-137.0,-137.04238078847413,-137.31438921710713,-137.23143135802763,30.1890505695535,30.272008428633,30
29.0,-135.79999999999995,-135.8966922247622,-136.1575331485633,-136.0597484390567,30.1630562142945,30.260840923801084,30
30.0,-134.90000000000003,-134.9413822049225,-135.23396976471753,-135.14280607857597,30.201423873653482,30.292587559795038,30
30.7,-134.0,-134.07479591002243,-134.36084980205283,-134.25143684530076,30.17664093527833,30.286053892030395,30
31.5,-133.2,-133.1859852900593,-133.4931683989314,-133.38224809705997,30.196262807000664,30.307183108872096,30
32.5,-132.2,-132.229785747088,-132.56351013655495,-132.43732108413514,30.207535337047148,30.333724389466965,30
33.5,-131.3,-131.31822017147636,-131.63113069780076,-131.51097487477944,30.19275470330308,30.3129105263244,30
34.5,-130.5,-130.54036059900778,-130.87930238192024,-130.74831718382393,30.207956584816145,30.338941782912457,30
35.5,-129.8,-129.8182201714763,-130.1638864963972,-130.0291227420975,30.210902570621215,30.3456663249209,30
36.5,-129.0,-129.01822017147634,-129.38341888414652,-129.2365452474723,30.21832507599595,30.36519871267018,30
37.5,-128.10000000000002,-128.12876686508991,-128.50799779315997,-128.36073396544737,30.23196710035745,30.379230928070058,30
38.7,-127.3,-127.3388628448751,-127.72192245204751,-127.56617807092896,30.22731522605386,30.383059607172413,30
40.0,-126.70000000000003,-126.73886284487507,-127.13651307844496,-126.98095822446776,30.242095379592683,30.39765023356989,30
41.2,-126.20000000000003,-126.28146358355205,-126.69921478793519,-126.5417517076762,30.260288124124145,30.417751204383137,30
42.5,-125.8,-125.80443599955395,-126.23493698511702,-126.06372568890622,30.259289689352272,30.43050098556307,30
43.7,-125.20000000000003,-125.28146358355205,-125.7616283515943,-125.57009014141134,30.28862655785929,30.480164768042243,30
45.0,-124.70000000000003,-124.76109130781172,-125.2577834837221,-125.04830220870683,30.287210900895104,30.49669217591037,30
46.2,-124.20000000000003,-124.28146358355211,-124.79934701848929,-124.58218645574628,30.30072287219417,30.517883434937175,30
47.5,-123.8,-123.88146358355208,-124.46573131787328,-124.2132793513674,30.33181576781533,30.5842677343212,30
48.7,-123.60000000000001,-123.60245433052386,-124.22700986620946,-123.95405779617924,30.351603465655387,30.6245555356856,30
50.0,-123.3,-123.37921951418518,-124.06539167601271,-123.76550736640307,30.38628785221789,30.68617216182753,30
51.5,-122.99999999999999,-123.12324503607316,-123.83282530691444,-123.52213918563739,30.398894149564228,30.709580270841286,30
53.0,-122.8,-122.83313165901113,-123.57760163695228,-123.253669392145,30.42053773313387,30.74446997794115,30
54.5,-122.49999999999999,-122.55558397573951,-123.29417122356368,-122.9762129285729,30.420628952833397,30.73858724782417,30
56.0,-122.3,-122.33313165901113,-123.09866238636606,-122.77496616485938,30.44183450584825,30.76553072735493,30
58.0,-122.10000000000001,-122.22182030590083,-123.04565430086403,-122.68729635316042,30.465476047259585,30.823833994963195,30
60.0,-121.99999999999999,-122.11104547997631,-123.02699894756562,-122.61605910709652,30.505013627120206,30.915953467589304,30
61.5,-121.90000000000002,-121.97524459202371,-123.03280173339861,-122.55424593435019,30.579001342326478,31.0575571413749,30
63.0,-121.70000000000003,-121.85269066676618,-122.99792874378788,-122.4676410904713,30.614950423705125,31.145238077021702,30
65.0,-121.49999999999999,-121.65269066676619,-122.8884966174471,-122.30043830482525,30.64774763805906,31.235805950680913,30
67.0,-121.40000000000002,-121.50527796453683,-122.81026119952763,-122.19993007121967,30.694652106682838,31.3049832349908,30
69.0,76.7,76.57492361407189,75.32211224802612,75.90283240560312,30.67209120846877,31.252811366045776,30
71.0,76.8,76.68522177592867,75.35662539920891,75.96490036648578,30.72032140944289,31.32859637671976,30
73.0,76.9,76.77492361407191,75.41757302310675,76.04418063781087,30.73074297626104,31.357350590965154,30
75.0,77.00000000000001,76.88522177592867,75.53266688696866,76.16577490823634,30.719446867692326,31.352554888960015,30
77.5,77.2,77.04256494484767,75.60335214033553,76.26213802191059,30.78042692293708,31.439212804512138,30
80.0,77.3,77.16529073122916,75.64267552565235,76.34687176291713,30.81841896831203,31.522615205576813,30
82.5,77.5,77.33308109441168,75.65188325447936,76.45339076729506,30.87969032711662,31.681197839932324,30
85.0,77.6,77.44422152134983,75.62290395296557,76.49958140678687,30.944640114562958,31.82131756838426,30
87.5,77.8,77.6114394746018,75.51586358706193,76.53070541616174,31.080734058440058,32.095575887539866,30
90.0,77.9,77.73282125965154,75.24851209188061,76.51315456333195,31.219666696319592,32.48430916777093,30
92.5,78.0,77.79111225839088,74.92281732418712,76.45150867728672,31.339603581104157,32.86829493420376,30
95.0,78.0,77.81195574994402,74.8085578197187,76.44923390769182,31.3627218422522,33.00339793022532,30
97.5,77.9,77.75585643212283,75.06877222744396,76.51797187484748,31.23788455727535,32.68708420467887,30
100.0,77.9,77.74499907316803,75.6038637239058,76.70978001785666,31.035219055311373,32.14113534926223,30
103.0,78.0,77.86773017442243,76.01891582616527,76.9181924840811,30.94953769034133,31.848814348257164,30
106.0,78.40000000000002,78.20262238829626,76.15010797726856,77.14485988886248,31.057762499433778,32.0525144110277,30
109.0,78.8,78.60262238829627,76.14802625100693,77.35746067165691,31.24516171663936,32.45459613728934,30
112.0,79.2,79.00210500217472,76.26720815295421,77.6416505887027,31.360454413472013,32.734896849220505,30
115.0,79.50000000000001,79.34661704149046,76.45136673560903,77.92942935151197,31.41718768997849,32.89525030588143,30
118.0,79.8,79.64661704149046,76.63770309320229,78.19250064268402,31.454116398806434,33.00891394828817,30
122.0,80.0,79.86773017442242,76.79164619078216,78.40073301661702,31.466997157805395,33.07608398364026,30
125.0,80.2,80.03308109441167,76.9264158150415,78.57715272215302,31.455928372258654,33.106665279370176,30
128.0,80.3,80.14661704149047,77.00630121742698,78.66681276769246,31.47980427379801,33.14031582406349,30
132.0,80.4,80.22557578804793,77.05395879435112,78.73687462366688,31.488701164381055,33.171616993696816,30
136.0,80.60000000000001,80.36028456015812,77.10973490744254,78.82516282544623,31.535121734711893,33.25054965271558,30
140.0,80.60000000000001,80.4486615223398,77.15623039166421,78.91052552636829,31.538135995971516,33.292431130675595,30
145.0,80.7,80.49111225839087,77.2122631410176,78.95169029319976,31.53942196519111,33.27884911737327,30
150.0,80.7,80.48194764795964,77.25028607564641,78.95418754885529,31.527760099104356,33.23166157231323,30
155.0,80.7,80.44014256243636,77.2067591735681,78.86770705126538,31.57243551117098,33.23338338886826,30
160.0,80.7,80.42435898561496,77.04680688990904,78.74642237915101,31.677936606463945,33.37755209570592,30
165.0,80.8,80.47522246307156,76.84439688565195,78.65780162141554,31.817420841656016,33.630825577419614,30
170.0,80.99999999999999,80.6573750321669,76.72609187641622,78.72083412692152,31.93654090524538,33.93128315575068,30
175.0,81.2,80.9195870446409,76.69868748895797,78.88039539664072,32.039191648000184,34.220899555682934,30
180.0,81.4,81.15736718471841,76.75511163314034,79.09371975450351,32.0636474302149,34.402255551578065,30
185.0,81.6,81.2656928816412,76.82156108524703,79.22578800208413,32.03990487955707,34.444131796394174,30
190.0,81.6,81.3078475657222,76.86324645067371,79.28361205657212,32.024235509150074,34.444601115048485,30
195.0,81.5,81.29296358402281,76.8403523925862,79.24661528008451,32.0463483039383,34.45261119143662,30
200.0,81.5,81.28142779278365,76.76921789836472,79.16723841521663,32.114189377567016,34.51220989441893,30
