Freq "Total Early Reflection"
22.4 55.559457336949066
23.0 56.6573238775388
23.6 57.66357294058673
24.0 58.42612879313543
25.0 59.35136167922303
25.8 60.3174128029181
26.5 61.287864307314734
27.2 62.50375201329058
28.0 63.406306226477994
29.0 64.22408856690565
30.0 65.01397390523067
30.7 65.64369615820675
31.5 66.27329457816803
32.5 66.97709253667576
33.5 67.7539421262997
34.5 68.59647326283483
35.5 69.24126145477514
36.5 69.85859301883572
37.5 70.32610848371503
38.7 70.87283127443588
40.0 71.51133908213585
41.2 72.04263506593959
42.5 72.49593378613298
43.7 72.88824315877396
45.0 73.1512114677491
46.2 73.52949692137831
47.5 73.81798265892738
48.7 74.03441076533574
50.0 74.23419732146162
51.5 74.36404768375034
53.0 74.51121520221925
54.5 74.6427873602864
56.0 74.78638427083645
58.0 74.98058477605572
60.0 75.19589636177717
61.5 75.4599863409965
63.0 75.80159414064495
65.0 76.31592156946562
67.0 76.78198941594088
69.0 77.42242867175264
71.0 78.25894055904243
73.0 78.94389411174173
75.0 79.65947100137461
77.5 80.27844521599063
80.0 80.5923070432414
82.5 80.8226415367261
85.0 80.95778486496904
87.5 81.0821469052726
90.0 81.38553532465451
92.5 81.74483275187589
95.0 82.20495863419158
97.5 82.62865169711517
100.0 82.95236138345027
103.0 83.23785372635334
106.0 83.391808982105
109.0 83.56935879280536
112.0 83.7921669557034
115.0 83.95223912134432
118.0 84.00794095305383
122.0 83.9746548923597
125.0 83.97583086744454
128.0 83.94911319001407
132.0 83.96185796113133
136.0 84.00057907819253
140.0 83.99932729141068
145.0 83.84093464764035
150.0 83.6053804830033
155.0 83.46018141783705
160.0 83.36892119665495
165.0 83.36050422973071
170.0 83.41353965255641
175.0 83.40208042784666
180.0 83.33084814380776
185.0 83.2517399714024
190.0 83.15872289988124
195.0 82.9928110398044
200.0 82.76719132262077
206.0 82.56642939527177
212.0 82.33327201956996
218.0 82.14888482697214
224.0 82.18071082135143
230.0 82.34703588555332
236.0 82.40197708583104
240.0 82.31900617620084
250.0 82.17979757199186
258.0 81.97225211805596
265.0 81.71436793981286
272.0 81.47755401490079
280.0 81.03883979076701
290.0 80.44678496581858
300.0 80.00323457740171
307.0 79.72284082884364
315.0 79.55253858456551
325.0 79.39786949635621
335.0 79.17881829842541
345.0 78.77538503214413
355.0 78.3850094582088
365.0 78.21723374254479
375.0 78.26938438352525
387.0 78.19588802615753
400.0 77.98389022369244
412.0 77.87032748987791
425.0 78.1295711506692
437.0 78.45128575183885
450.0 78.6075240546637
462.0 78.6076393805622
475.0 78.64738680961071
487.0 78.6679119561254
500.0 78.69802789674073
515.0 78.7323873009019
530.0 78.63921752589026
545.0 78.39399926629801
560.0 78.10784495226196
580.0 77.86415403629768
600.0 77.59650199458467
615.0 77.23407234188423
630.0 76.94349206993626
650.0 76.72498636772075
670.0 76.6192360806331
690.0 76.77215194098217
710.0 77.08588103786809
730.0 77.21326090961361
