Freq "Early Reflections DI"
22.4 38.62485670064214
23.0 38.57364254851008
23.6 38.60563665302877
24.0 38.52565400237579
25.0 38.5819676293293
25.8 38.61130653049511
26.5 38.77323725088654
27.2 38.90320543158906
28.0 39.125149251935994
29.0 39.349977434044874
30.0 39.53320213449159
30.7 39.78151494074274
31.5 40.03185678216488
32.5 40.33672398783156
33.5 40.561414514882046
34.5 40.84502246896935
35.5 41.06132347198711
36.5 41.262234174503334
37.5 41.44774083936137
38.7 41.60661051414796
40.0 41.73013907927657
41.2 41.86462036700472
42.5 41.92403767052336
43.7 41.94939921278649
45.0 41.847776537971654
46.2 41.736871709996194
47.5 41.57023337647574
48.7 41.412809669084425
50.0 41.27934357780684
51.5 41.143101539698336
53.0 41.059988243317534
54.5 40.96548227033763
56.0 40.856221159494595
58.0 40.76935677152156
60.0 40.82017130335534
61.5 40.84206745339233
63.0 40.85379947628245
65.0 40.850090917114514
67.0 40.86185877897735
69.0 40.80872700001633
71.0 40.79487012060234
73.0 40.77094703317776
75.0 40.72890928054271
77.5 40.72770360104363
80.0 40.69761145191346
82.5 40.692538575717364
85.0 40.72057039385791
87.5 40.73455715947645
90.0 40.72651722949959
92.5 40.73351048126341
95.0 40.76114396866548
97.5 40.7494622414372
100.0 40.77031121941637
103.0 40.793828773093935
106.0 40.808675548747146
109.0 40.77956664583073
112.0 40.792871721004005
115.0 40.79080041511462
118.0 40.77241386185304
122.0 40.799352137908855
125.0 40.799377779052136
128.0 40.828940797560676
132.0 40.845661162006266
136.0 40.88152472198918
140.0 40.90821475822865
145.0 40.946716926993616
150.0 40.99856442613135
155.0 41.06149230755524
160.0 41.153399530733864
165.0 41.22047967069085
170.0 41.29359543769378
175.0 41.37831401935718
180.0 41.46315927695608
185.0 41.50556161510217
190.0 41.584928672783164
195.0 41.65330814525689
200.0 41.6822718555548
206.0 41.73735924433922
212.0 41.79577492960175
218.0 41.81633438243651
224.0 41.896443861882375
230.0 41.94094974488654
236.0 42.028607369118234
240.0 42.0965610667771
250.0 42.17941723176979
258.0 42.25139046824374
265.0 42.324135453916725
272.0 42.42185565218948
280.0 42.51400284842791
290.0 42.615917420706936
300.0 42.7051330274856
307.0 42.77136921223358
315.0 42.817753270012034
325.0 42.87562146721193
335.0 42.913670858557296
345.0 42.992787629733456
355.0 43.07435895105803
365.0 43.09126164194075
375.0 43.06622578792536
387.0 43.08214983424598
400.0 43.19996733020439
412.0 43.37380542527369
425.0 43.49583161356527
437.0 43.622862320104716
450.0 43.681931010958195
462.0 43.78208586825849
475.0 43.784698273336076
487.0 43.74831965921416
500.0 43.71969496720827
515.0 43.67515291476907
530.0 43.55243930240111
545.0 43.69303455087754
560.0 43.352881584585816
580.0 43.16346486271951
600.0 43.48093689243629
615.0 43.71570855419955
630.0 43.877973751130384
650.0 43.9983140356275
670.0 44.111696300489
690.0 44.16163999539805
710.0 44.09193067653732
730.0 44.091908344267054
750.0 44.018071111341555
775.0 43.8491271106774
800.0 43.666621914318156
825.0 43.507451544808504
850.0 43.15355280622596
875.0 42.985023296168265
900.0 43.01156645311549
925.0 43.31271158064543
950.0 43.62730683456384
975.0 43.88724396088111
1000.0 44.02990179741096
1030.0 44.05941817354173
1060.0 44.006156243198035
1090.0 43.90648074054971
1120.0 43.81505067429599
1150.0 43.72904527024967
1180.0 43.67619074040273
1220.0 43.602734196725066
1250.0 43.546594549040165
1280.0 43.578195439872616
1320.0 43.68562130301662
1360.0 43.93698123961505
1400.0 44.33895698662852
1450.0 44.721587021907695
1500.0 44.89651243378208
1550.0 44.83143714365349
1600.0 44.63573067552569
1650.0 44.5144857890639
1700.0 44.51211596187841
1750.0 44.68774455998508
1800.0 44.949671079986786
1850.0 44.85121208131588
1900.0 44.359708964428805
1950.0 43.96556757221583
2000.0 44.0506121678727
2060.0 44.31696689708291
2120.0 44.379996739551785
2180.0 44.332891901932044
2240.0 44.35718270391274
2300.0 44.48673665774072
2360.0 44.77053118389489
2400.0 45.01067908734602
2500.0 45.11486052079172
2580.0 45.19170136017847
2650.0 45.252094088340996
2720.0 45.166432159197555
2800.0 45.08995034685567
2900.0 45.03156079761982
3000.0 44.806279744288574
3070.0 44.61068842877273
3150.0 44.70879305474308
3250.0 44.96585600487673
3350.0 45.171674185040416
3450.0 45.29927136703006
3550.0 45.38228351206895
3650.0 45.44261278708811
3750.0 45.55652356097758
3870.0 45.58420050976453
4000.0 45.465013512445736
4120.0 45.275289660252696
4250.0 45.015635579995134
4370.0 45.16416967926011
4500.0 45.60410217374796
4620.0 45.85973479549865
4750.0 45.73981378054492
4870.0 45.359021979854404
5000.0 45.10968905727451
5150.0 45.31690337893467
5300.0 45.42286236967357
5450.0 45.3113865331113
5600.0 45.13884464319975
5800.0 45.10228540256324
6000.0 45.154732230519514
6150.0 45.32136374803329
6300.0 45.58804075846059
6500.0 45.38755821221969
6700.0 45.12391338755444
6900.0 45.382937786745714
7100.0 45.68057789924302
7300.0 45.47998574423731
7500.0 45.32252608504726
7750.0 45.117584002506874
8000.0 45.168583275714965
8250.0 45.84183856096088
8500.0 45.517889478969295
8750.0 44.18935682881008
9000.0 45.02672428861756
9250.0 44.99613836324299
9500.0 44.71743307975308
9750.0 44.86680401485957
10000.0 44.52265032888144
10300.0 45.13790166676907
10600.0 46.028528206470256
10900.0 45.16545632065984
11200.0 45.46479437706796
11500.0 44.50757228510669
11800.0 43.05987294698981
12200.0 44.524646710222555
12500.0 43.633139499083796
12800.0 43.25797619467177
13200.0 43.612098749046766
13600.0 43.87370821557593
14000.0 44.20617128748357
14500.0 44.358575836342226
15000.0 45.41785487470804
15500.0 45.13983407237119
16000.0 44.47956919147464
16500.0 44.25831304787408
17000.0 44.325078400080926
17500.0 45.80415022006798
18000.0 45.66713313629049
18500.0 44.67912242837518
19000.0 45.50842126382419
19500.0 45.401078608386854
