Freq "Floor Bounce"
22.4 -2.879932437538187
23.0 -1.27818051971785
23.6 0.4051070547325679
24.0 2.695174192343913
25.0 4.917316954876824
25.8 7.002418266475374
26.5 9.096362486424184
27.2 11.60761033071391
28.0 13.92214309103467
29.0 15.957405712753896
30.0 18.25788240330506
30.7 21.056605095703063
31.5 23.99317487506893
32.5 27.104739495505456
33.5 28.434137158512655
34.5 29.700760412697335
35.5 31.15426520679644
36.5 33.06974421031866
37.5 34.90289359939014
38.7 36.55961245511928
40.0 38.02022229981988
41.2 39.346809835208134
42.5 41.37035193787354
43.7 44.08854508842582
45.0 47.8833400099178
46.2 52.24654555240531
47.5 50.98691806020396
48.7 50.11592538879982
50.0 51.27717895989802
51.5 52.67383110211924
53.0 53.378578322151
54.5 55.03392832814568
56.0 56.55768127821953
58.0 57.56096514237183
60.0 58.70131827952113
61.5 60.00306957104253
63.0 61.13513059177983
65.0 62.23513059177982
67.0 63.402284613960205
69.0 64.43435140868502
71.0 65.26692185116049
73.0 65.83513059177984
75.0 66.43513059177982
77.5 66.90076749445562
80.0 67.30076749445563
82.5 67.73435140868501
85.0 67.96692185116049
87.5 68.03358982687996
90.0 68.2
92.5 68.30076749445563
95.0 68.4
97.5 68.53358982687998
100.0 68.53358982687998
103.0 68.5
106.0 68.50076749445562
109.0 68.43358982687998
112.0 68.33358982687997
115.0 68.13358982687998
118.0 67.90000000000002
122.0 67.53358982687998
125.0 67.33358982687999
128.0 66.96692185116049
132.0 66.63358982687997
136.0 66.33358982687999
140.0 66.1669218511605
145.0 65.9669218511605
150.0 65.86845083805433
155.0 65.8669218511605
160.0 65.73358982687998
165.0 65.56692185116049
170.0 65.30306957104251
175.0 64.97001488257477
180.0 64.80306957104251
185.0 64.73513059177982
190.0 64.60306957104251
195.0 64.57150800786938
200.0 64.37609175449222
206.0 64.30986628672329
212.0 64.21227178315618
218.0 64.14576719438469
224.0 63.81227178315618
230.0 63.2122717831562
236.0 62.24898514879551
240.0 61.052609532022174
250.0 60.51916705502754
258.0 61.48219967332305
265.0 62.84576719438469
272.0 64.24044167945492
280.0 65.00531806766472
290.0 65.5053180676647
300.0 65.30690501035458
307.0 64.7404416794549
315.0 64.03663575667186
325.0 64.0069050103546
335.0 64.77150800786937
345.0 65.44283030471973
355.0 66.05260953202217
365.0 66.4489851487955
375.0 66.41592692226706
387.0 66.15260953202217
400.0 65.78219967332303
412.0 65.55260953202217
425.0 65.28982856673473
437.0 65.26096514237182
450.0 65.61916705502753
462.0 65.55260953202217
475.0 65.78219967332303
487.0 65.91592692226708
500.0 66.0457671943847
515.0 65.98219967332304
530.0 65.64576719438469
545.0 65.04576719438471
560.0 64.58219967332303
580.0 64.81592692226708
600.0 65.11916705502753
615.0 64.71916705502754
630.0 64.15260953202218
650.0 64.48219967332305
670.0 64.49897445130925
690.0 63.748983591508406
710.0 62.44293979360191
730.0 61.600341129398274
750.0 60.40962251076208
775.0 58.84314826109433
800.0 60.106905010354595
825.0 62.62758719283593
850.0 62.80497668676807
875.0 63.60982855556756
900.0 63.94258273663014
925.0 63.68538710465897
950.0 63.0377673428554
975.0 62.71457895753311
1000.0 62.618325441849706
1030.0 61.03331023801674
1060.0 61.53746771551313
1090.0 63.04898359150842
1120.0 61.848983591508414
1150.0 65.06845083805432
1180.0 68.66668552790023
1220.0 67.44293979360191
1250.0 66.2183254418497
1280.0 65.3033038382893
1320.0 65.95177437534741
1360.0 65.3094224842602
1400.0 65.18161208533421
1450.0 64.55521969308379
1500.0 65.1429397936019
1550.0 65.55062128010364
1600.0 64.9094224842602
1650.0 62.944157749348534
1700.0 62.79897445130925
1750.0 62.4566725593005
1800.0 63.80265450340339
1850.0 63.962836170015365
1900.0 62.952609532022166
1950.0 64.60231994589775
2000.0 64.2012357262664
2060.0 64.6596203420011
2120.0 65.80464912211595
2180.0 65.19122190442486
2240.0 63.523892244245175
2300.0 65.64391724861636
2360.0 65.53027184731847
2400.0 67.50306957104253
2500.0 69.50306957104252
2580.0 68.40131827952113
2650.0 66.89430925610405
2720.0 67.08204905670955
2800.0 64.18272777407495
2900.0 65.62129830443602
3000.0 64.07168531355222
3070.0 66.09727311966743
3150.0 65.69040221489247
3250.0 65.51845254529692
3350.0 66.83753193576905
3450.0 67.2948466445546
3550.0 67.5083370471178
3650.0 67.83952019133505
3750.0 67.05860961172031
3870.0 64.79598074863182
4000.0 65.42286360876537
4120.0 65.47669651788682
4250.0 64.74412885328626
4370.0 64.53331023801674
4500.0 64.27150800786939
4620.0 64.05380974359446
4750.0 63.91192126753354
4870.0 62.72875610128314
5000.0 62.897499509661756
5150.0 63.74346704252159
5300.0 64.96526111339767
5450.0 64.46746466663843
5600.0 63.20764126961164
5800.0 63.83030964730348
6000.0 64.75160189257272
6150.0 65.83624153874318
6300.0 67.53991071577187
6500.0 67.4311382742918
6700.0 65.66562459081088
6900.0 65.1093740032145
7100.0 64.4079926521559
7300.0 63.55062128010364
7500.0 64.34852015458806
7750.0 64.57641629732152
8000.0 64.03821129888742
8250.0 61.40906430015984
8500.0 62.87789079450553
8750.0 62.678448060176905
9000.0 64.35433357106739
9250.0 65.90564687382879
9500.0 65.61456862909401
9750.0 64.25623495782837
