Freq "Side Wall Bounce"
20.5078 -21.238202289073968
21.9727 -19.699461534222763
23.4375 -19.477841843867694
24.9023 -17.474143523760816
26.3672 -16.540186115125763
27.832 -16.105780032666743
29.2969 -15.358855906300107
30.7617 -14.496368011064945
32.2266 -13.543755390355955
33.6914 -13.06058449603674
35.1562 -12.260119658053412
36.6211 -11.359251910685202
38.0859 -11.24222933973165
39.5508 -10.219742825627861
41.0156 -9.95791688718306
42.4805 -9.350998958911404
43.9453 -8.85065465457933
45.4102 -8.38199888945148
46.875 -7.793239840826942
48.3398 -7.252322935564294
51.2695 -6.30820345458757
52.7344 -5.9934570286113455
54.1992 -5.698911774647129
55.6641 -5.196238404424889
58.5938 -4.043946424232274
60.0586 -3.6324578132633007
62.9883 -2.9862656410798536
64.4531 -2.7741309018878013
67.3828 -2.140691258665072
68.8477 -1.9162146813793584
71.7773 -1.2617893114740752
74.707 -0.6198345194971466
77.6367 -0.1094022892114026
79.1016 0.17182910970099385
82.0312 0.8153331686773129
84.9609 1.2446463471723064
87.8906 1.6520456012717375
90.8203 2.087745868643637
95.2148 3.0432771296772643
98.1445 3.3050075126944876
101.074 3.5947263633289595
105.469 3.97871436454993
108.398 4.337167790446003
112.793 4.582054773092423
117.188 4.813071747542551
120.117 5.1608167784795285
124.512 5.311173416054231
128.906 5.4020675690582465
133.301 5.508474538555689
139.16 5.078615007654804
143.555 5.049712162753764
147.949 4.981842306862063
153.809 4.443825074194706
159.668 4.071597286265941
165.527 3.5824911451033614
171.387 2.965670766030115
177.246 2.348965600040046
183.105 1.978176842597918
188.965 1.3556469634703774
196.289 0.9103309329668718
203.613 0.42665268753799523
210.938 -0.12443476205558568
218.262 -0.6224959336991134
225.586 -0.8447065804462426
232.91 -1.09006947312038
241.699 -1.4357565282596454
250.488 -1.5027739144232726
259.277 -1.4694262585245355
268.066 -1.7105438192864142
276.855 -1.7691484212212885
287.109 -2.0805716131596625
297.363 -2.2557927889540963
307.617 -3.1962798669309223
319.336 -4.431185108004897
329.59 -3.0707534178677918
341.309 -3.2428838483114077
353.027 -2.953411952203595
366.211 -2.988364053950079
379.395 -2.717077945586027
392.578 -2.7966934473284937
405.762 -2.614917902584267
420.41 -1.9745469737952135
435.059 -2.090809067101219
451.172 -1.4795839723410893
465.82 -1.6636177546338473
483.398 -1.8877703583894032
499.512 -1.9950484521383913
517.09 -1.8303754125964815
536.133 -1.6937658782476603
555.176 -0.3362196343246069
574.219 0.06358552422859987
594.727 0.14728679729964256
615.234 0.38076470719957456
637.207 0.7236226201677454
659.18 0.6655865048941507
682.617 1.2197586816177477
707.52 0.6578142284117803
732.422 0.990892263990105
757.324 1.157832424885882
785.156 0.3851452871390677
811.523 0.6276388278256348
840.82 0.28751919797576875
870.117 0.06389528357377117
900.879 -0.3833062490613486
933.105 -1.0914373302813658
965.332 -0.667790049595979
1000.49 -1.8152770044463153
1035.64 -2.558403055979639
1072.27 -3.5076098803349254
1108.89 -4.655085593345575
1148.44 -2.498433522611464
1189.45 -0.5753787894346232
1230.47 -0.9297003590778417
1274.41 -2.774638425765602
1319.82 -4.744041113755088
1366.7 -5.515707485744599
1413.57 -5.824281966147055
1463.38 -6.520131720255037
1516.11 -7.5149841196583935
1568.85 -8.174749689888074
1624.51 -9.383678049299263
1681.64 -10.791578501532143
1741.7 -9.681123545657883
1803.22 -9.090411091015099
1866.21 -10.358298949641025
1932.13 -11.879614437213789
1999.51 -11.01147290070054
2069.82 -10.818478291023808
2143.07 -12.671188384744383
2219.24 -14.448338555836656
2296.88 -14.811278590413394
2378.91 -15.413623506894396
2462.4 -16.431521731116817
2548.83 -16.264433939270077
2639.65 -17.009787099147815
2731.93 -17.123473519503023
2828.61 -16.750540297447003
2928.22 -18.764231715216255
3030.76 -18.946319268111466
3137.7 -17.173954645845555
3249.02 -14.15545633209534
3363.28 -12.072888460957785
3481.93 -10.168809181348806
3604.98 -8.770835593621356
3732.42 -7.722885729289857
3864.26 -7.655669121438891
4000.49 -7.870585846432334
4141.11 -7.682798829000589
4287.6 -7.620994613877073
4438.48 -7.232289612529854
4595.21 -5.782539605603745
4756.35 -5.111654997437427
4924.8 -4.294410836679049
5097.66 -2.7731469668857187
5277.83 -2.8786641551835856
5463.87 -2.4833180442181657
5657.23 -2.601852179766624
5856.45 -4.097699922812467
6062.99 -5.8384094465675105
6276.86 -2.533532276590776
6498.05 -2.456384337010874
6726.56 -3.457279470405439
6963.87 -3.9301619591143577
7209.96 -3.0537806224561166
7464.84 -2.8943293230632605
7727.05 -3.155787722960582
7999.51 -3.560824363940668
8282.23 -3.404334010861419
8573.73 -3.2047541545006766
8876.95 -2.959370888491435
9188.96 -2.8906530828578525
9514.16 -3.445338131756671
9849.61 -4.4302913172926
10196.8 -4.921588566925465
10555.7 -5.17676322876504
10927.7 -4.8011834479434015
11313.0 -4.286126575115077
11712.9 -4.064093925737225
12126.0 -4.184658463893413
12553.7 -4.437263917354215
12996.1 -4.345295213161876
13454.6 -3.4873028042466245
13929.2 -2.5589064124513072
14419.9 -2.2971295335345445
14928.2 -1.7535176163541308
15455.6 -0.4193189571519724
16000.5 2.2507667516877063
16564.5 2.013680973322195
17148.9 -3.118562359883583
17752.4 -8.27108532363276
18379.4 -9.155698106769293
19026.9 -10.26279402415608
19697.8 -13.171229725519837
19999.5 -15.272102301460137
