Freq "Estimated In-Room Response"
22.4 26.884420621226766
23.0 27.897069147681933
23.6 28.962284237043164
24.0 28.120485600978682
25.0 30.311791806432907
25.8 33.01300994406343
26.5 32.22682175287589
27.2 35.67080985131865
28.0 36.52026500854903
29.0 37.88134121656218
30.0 39.129319920390415
30.7 38.149787012889234
31.5 40.77962913724467
32.5 44.70505577428138
33.5 48.88547781481422
34.5 50.81719508899799
35.5 53.12825386957722
36.5 57.09132367830769
37.5 58.74399881835633
38.7 59.238208350891924
40.0 61.6942616393754
41.2 63.14898766071913
42.5 64.69677581521962
43.7 66.02232137582166
45.0 67.25672188845607
46.2 68.69234324181484
47.5 70.42169938581384
48.7 71.34491287618796
50.0 73.32468621168287
51.5 74.98824952497779
53.0 76.61267841822756
54.5 78.19799614480986
56.0 79.26282040681774
58.0 80.9117237745651
60.0 82.37171527770131
61.5 83.681230160378
63.0 84.26880676808153
65.0 85.06412706582022
67.0 85.20039501470009
69.0 86.128163813021
71.0 86.28846400362302
73.0 86.81416438528863
75.0 87.26801417585902
77.5 87.33259522109167
80.0 87.14152703516717
82.5 87.72046836937321
85.0 87.75183688508855
87.5 87.59113372298269
90.0 87.92824643436226
92.5 88.14001987688711
95.0 87.84661456262164
97.5 88.12710076750562
100.0 88.02362111086826
103.0 87.84684774575945
106.0 88.18757543424562
109.0 88.15040000409155
112.0 88.01312158451398
115.0 87.97199759428223
118.0 87.8908041529838
122.0 87.76966915414833
125.0 87.75008836446291
128.0 87.65943763980601
132.0 87.73839473395144
136.0 87.68095524525903
140.0 87.74093483034945
145.0 87.89380712861885
150.0 88.15426222503744
155.0 88.255293224098
160.0 88.05108488506981
165.0 87.70526742951576
170.0 87.52835471151018
175.0 87.44134806726237
180.0 87.38511671359
185.0 87.5762992570432
190.0 87.33817446010548
195.0 87.40499378718867
200.0 87.24079895257792
206.0 87.07055816301343
212.0 86.98968907650297
218.0 86.72342703174829
224.0 86.49017305076357
230.0 86.35000775103858
236.0 86.34939519150936
240.0 86.45094713911199
250.0 86.57091584796194
258.0 86.47521232253212
265.0 86.3235685601724
272.0 85.9819115022595
280.0 85.6772558845553
290.0 85.66689229650316
300.0 85.90826689462581
307.0 86.26036229112742
315.0 86.68804974683157
325.0 87.1587756012623
335.0 87.12758122615942
345.0 86.9834362157878
355.0 86.8161991430178
365.0 86.47943781267789
375.0 86.13717643748136
387.0 85.98133869764243
400.0 85.9712356239799
412.0 86.19886934193592
425.0 86.09714704993318
437.0 85.87684840813631
450.0 85.92575609241389
462.0 85.86270795208212
475.0 85.75224399846671
487.0 85.87395572658497
500.0 85.77378476239048
515.0 85.07623012134435
530.0 83.56082258250282
545.0 82.32539670727748
560.0 82.59782970803356
580.0 82.90050904452274
600.0 82.89802704295313
615.0 83.34133869241109
630.0 83.64016956626189
650.0 83.85289024708854
670.0 84.47034339971331
690.0 84.86221169801496
710.0 85.38048910281377
730.0 85.08026386181535
750.0 84.46424582667034
775.0 84.1435686351634
800.0 84.70966848282674
825.0 85.64313103122736
850.0 85.54672966394914
875.0 85.31526744096357
900.0 84.87652343832184
925.0 84.74877221608453
950.0 84.1190686231368
975.0 83.3909031766293
1000.0 82.68997814299387
1030.0 82.04081608615851
1060.0 81.58564590152034
1090.0 81.96836808046744
1120.0 82.104107195394
1150.0 82.36774629248411
1180.0 82.87991303732848
1220.0 83.06656694947601
1250.0 83.6103634548244
1280.0 83.80938184672021
1320.0 83.9060621544949
1360.0 84.16393144945815
1400.0 83.87095140615237
1450.0 83.79861724268538
1500.0 83.66304341440753
1550.0 83.61975513006651
1600.0 83.2639295816734
1650.0 83.36619919873156
1700.0 84.0151908871527
1750.0 84.12095684345894
1800.0 84.24015787272687
1850.0 84.04486725181272
1900.0 83.92457593848998
1950.0 83.71606434939042
2000.0 83.26447725159159
2060.0 81.87716405256076
2120.0 81.69603115268156
2180.0 80.9590174445299
2240.0 81.37130403263804
2300.0 81.48940494300888
2360.0 81.4410533043219
2400.0 81.01874693517331
2500.0 80.85496576031791
2580.0 81.39197779410623
2650.0 83.85624485526381
2720.0 83.66569066834738
2800.0 83.48663992862743
2900.0 82.49746387294836
3000.0 81.54100562227156
3070.0 82.51363629524636
3150.0 85.65329694282549
3250.0 84.28339153069525
3350.0 85.5391420560106
3450.0 85.7534501805296
3550.0 83.644498309777
3650.0 83.47898005227024
3750.0 83.09177422615177
3870.0 83.8752620324661
4000.0 83.07491000988558
4120.0 82.10137395599989
4250.0 83.16836732083944
4370.0 80.87727058943189
4500.0 78.60492744221501
4620.0 80.93141815435858
4750.0 81.98255915262928
4870.0 81.52848722839634
5000.0 80.57275426465678
5150.0 80.3529065672122
5300.0 80.93274571232422
5450.0 82.52688225657651
5600.0 82.68083806999302
5800.0 82.64763451331761
6000.0 82.07580534437002
6150.0 81.94283955342814
6300.0 80.75937002254392
6500.0 80.3885087242481
6700.0 77.47542641437647
6900.0 75.49504607342494
7100.0 79.33267731937339
7300.0 81.44665162263946
7500.0 79.88634158618855
7750.0 79.27099825593788
8000.0 78.40384215709656
8250.0 80.19572633982324
8500.0 79.5706448386575
8750.0 80.50878136154033
9000.0 79.92639335488641
9250.0 79.04873625477748
9500.0 78.92559855386854
9750.0 79.85428372696404
10000.0 78.69798179373161
10300.0 77.42737685687193
10600.0 78.50244187370623
10900.0 79.37239170949738
11200.0 79.50284881086507
