Freq "Early Reflections DI"
22.4 30.182350313173515
23.0 30.180777193206723
23.6 30.51162819362918
24.0 31.08369083394291
25.0 31.50376208958525
25.8 31.674703637119308
26.5 31.622818923398626
27.2 31.313388715875362
28.0 30.968499625627004
29.0 30.818488323507438
30.0 30.70165094920651
30.7 30.66860380484809
31.5 30.721875953502092
32.5 30.70689213384972
33.5 30.678941698799235
34.5 30.683816973219933
35.5 30.65152060132486
36.5 30.64874003288837
37.5 30.714186284580165
38.7 30.656909792869243
40.0 30.601379362845606
41.2 30.559725343215447
42.5 30.48411767421038
43.7 30.473384317078057
45.0 30.42996614530452
46.2 30.45925797903297
47.5 30.548340283012877
48.7 30.62492606461926
50.0 30.631145169178808
51.5 30.652959272731053
53.0 30.64221949619477
54.5 30.672551468916893
56.0 30.643294519360822
58.0 30.634601435328022
60.0 30.679249918846466
61.5 30.68311512939181
63.0 30.69176436229756
65.0 30.694404193728232
67.0 30.72992785420088
69.0 30.77048219425788
71.0 30.753257442471195
73.0 30.79146972258765
75.0 30.810494682403856
77.5 30.824973851677996
80.0 30.865762345513403
82.5 30.87198748276745
85.0 30.84836666969875
87.5 30.870388847806126
90.0 30.87832625182719
92.5 30.9073068669546
95.0 30.934686254033835
97.5 30.96677474512269
100.0 31.024096255481197
103.0 31.02072325538893
106.0 31.05257673986
109.0 31.04893974256369
112.0 31.10494307606926
115.0 31.132987889581486
118.0 31.203862016656657
122.0 31.25469878273539
125.0 31.26985538982119
128.0 31.31210966344426
132.0 31.365641795475625
136.0 31.333710376046113
140.0 31.389615804480144
145.0 31.4178881443992
150.0 31.470296880485677
155.0 31.46850798788357
160.0 31.45457156046669
165.0 31.463320600437413
170.0 31.486015814693914
175.0 31.517844029750606
180.0 31.555896725999233
185.0 31.61602619788583
190.0 31.59694650864016
195.0 31.62838105347585
200.0 31.623155444557597
206.0 31.650737859173162
212.0 31.72186871290228
218.0 31.786150377405207
224.0 31.810230089910576
230.0 31.798083070208946
236.0 31.805188357055428
240.0 31.86634783861419
250.0 31.916644570663877
258.0 31.96589825543242
265.0 31.986150601582167
272.0 31.995490762640586
280.0 31.993347060161383
290.0 31.997107955659914
300.0 31.985302739802663
307.0 32.042821574874
315.0 32.12924784345958
325.0 32.18201169310818
335.0 32.27126631125341
345.0 32.351645381108696
355.0 32.45754634707137
365.0 32.62117913728653
375.0 32.77761037175263
387.0 32.88242923800935
400.0 32.923455606883934
412.0 32.87104280092541
425.0 32.88314774121679
437.0 32.893868110744904
450.0 32.8791360440397
462.0 32.923506857566636
475.0 32.986157949732814
487.0 33.10650166225538
500.0 33.22845454342486
515.0 33.26030629938097
530.0 33.24253619232496
545.0 33.19245249470312
560.0 33.174197322440676
580.0 33.222295859378406
600.0 33.28236518635383
615.0 33.38729486287829
