Freq "Early Reflections"
22.4 -145.94554378639634
23.0 -145.70899256746975
23.6 -145.36920343485446
24.0 -145.03956424499398
25.0 -144.7859643133594
25.8 -144.56778692858296
26.5 -144.38428481226936
27.2 -144.17152831513488
28.0 -144.00214882609555
29.0 -143.77542903495146
30.0 -143.35855230522503
30.7 -142.75631221508075
31.5 -142.29086092691892
32.5 -141.82427839180593
33.5 -141.09070002382566
34.5 -140.0820494814992
35.5 -138.99011827672894
36.5 -137.9287164890959
37.5 -136.89687232514302
38.7 -135.85269398005937
40.0 -134.8372455628661
41.2 -133.81412688990213
42.5 -132.8721531138683
43.7 -131.96745701634876
45.0 -130.9962149843443
46.2 -130.0124931270799
47.5 -129.10115786649152
48.7 -128.28301984861298
50.0 -127.55082517106008
51.5 -126.84193043059226
53.0 -126.24023729028927
54.5 -125.6979596360119
56.0 -125.15229049873263
58.0 -124.62517012776227
60.0 -124.1684511880136
61.5 -123.80020935375127
63.0 -123.53220517826078
65.0 -123.22496869442251
67.0 -122.79786224356168
69.0 77.13043108821451
71.0 77.56871955465554
73.0 77.96581970033053
75.0 78.42567973755862
77.5 78.87490848933129
80.0 79.06439000161004
82.5 79.11011984049954
85.0 79.3805697636373
87.5 79.7805697636373
90.0 79.9933728851108
92.5 80.05003694702562
95.0 80.27900124286428
97.5 80.72735904781452
100.0 80.99852990476799
103.0 81.13521503741597
106.0 81.32418649124925
109.0 81.60761629455779
112.0 81.97256629943362
115.0 82.27036613298937
118.0 82.1814012110391
122.0 81.85905484838328
125.0 81.67673472564015
128.0 81.63559950516026
132.0 81.44638729633687
136.0 81.18980927441864
140.0 81.11821975628253
145.0 81.25559063497668
150.0 81.35258622900325
155.0 81.33096372068795
160.0 81.14732963694564
165.0 80.97457090894395
170.0 81.11791084975177
175.0 81.48050728780471
180.0 81.62132434324688
185.0 81.49150197052317
190.0 81.17846551417452
195.0 80.88364567038629
200.0 80.62705532006679
206.0 80.43497882626708
212.0 80.56500519656039
218.0 80.7247642149713
224.0 80.66772615247247
230.0 80.2925046669995
236.0 79.81072177128767
240.0 79.42892715308834
250.0 79.14758734228428
258.0 78.84885985302869
265.0 78.13999499146492
272.0 77.38595764621557
280.0 77.30053045566915
290.0 77.7572417174925
300.0 77.893369352569
307.0 77.41377994698938
315.0 76.7570796437535
325.0 76.21494792872424
335.0 76.1123005636047
345.0 76.10902848178876
355.0 75.6715455682054
365.0 74.89651683211837
375.0 74.77348689056255
387.0 75.3589505711535
400.0 75.80494551458666
412.0 75.96824970531665
425.0 76.32561367204227
437.0 76.73526847372732
450.0 77.04433516467942
462.0 77.41314409412087
475.0 77.95042157326978
487.0 78.63567857229962
500.0 79.19785755336356
515.0 79.44243822445033
530.0 78.9625410069237
545.0 78.37289464849064
560.0 78.90592735982668
580.0 80.28375863607475
