Freq "Listening Window"
22.4 -8.534247890493106
23.0 -8.876940419462045
23.6 -9.19957764959429
24.0 -8.218165661663392
25.0 -7.02312627579164
25.8 -5.443514747797792
26.5 -2.8213975971522416
27.2 -3.83092548109596
28.0 -3.187784441322009
29.0 -1.9053988752858402
30.0 -0.15456735508541897
30.7 1.2569666770050674
31.5 2.5528473053061873
32.5 4.066164167648822
33.5 7.365576255370314
34.5 10.882322987490852
35.5 14.832350800338673
36.5 15.915055347937454
37.5 17.2569609099327
38.7 18.85399644836056
40.0 19.088908903582592
41.2 18.982503727782415
42.5 22.40616133156766
43.7 27.573033464876033
45.0 31.60453104871135
46.2 32.327019225241116
47.5 32.95431635442344
48.7 37.42839831594813
50.0 40.17200658359491
51.5 42.012892664323886
53.0 43.75276772563822
54.5 47.7175926018281
56.0 48.6234938692389
58.0 51.73882464453129
60.0 53.19804702051388
61.5 53.6341823987712
63.0 55.65567776645487
65.0 58.32079369896829
67.0 60.457796499476785
69.0 62.30669518575904
71.0 63.9398629107923
73.0 65.35489004480073
75.0 66.8744433192997
77.5 68.23174250237292
80.0 69.35817762346646
82.5 70.5594517157526
85.0 71.56899626128238
87.5 72.58030208071264
90.0 73.60327324930827
92.5 74.41276246912665
95.0 74.83384370232099
97.5 75.12420951107843
100.0 75.3905234232796
103.0 75.68976552271005
106.0 75.85583957685778
109.0 75.83358982687999
112.0 75.98048886705922
115.0 75.97874146142715
118.0 76.10128503993292
122.0 76.21174180063639
125.0 76.2669218511605
128.0 76.34523538608283
132.0 76.53409756292211
136.0 76.55583957685775
140.0 76.51173585711585
145.0 76.50076749445562
150.0 76.40255805872012
155.0 76.23358982687998
160.0 76.05583957685775
165.0 75.8005116780405
170.0 75.58900192004664
175.0 75.47797591781378
180.0 75.2340975629221
185.0 75.16692185116051
190.0 75.15686156553042
195.0 75.0784901971291
200.0 75.10255805872012
206.0 75.2157941512009
212.0 75.30458656127428
218.0 75.41377695707035
224.0 75.53789335294638
230.0 75.59334386593702
236.0 75.57152573752406
240.0 75.53052879031225
250.0 75.60708482926708
258.0 75.71476245148908
265.0 75.77899271118896
272.0 75.90076749445564
280.0 75.93358982687998
290.0 75.91122549985843
300.0 75.90076749445564
307.0 75.81148068598391
315.0 75.62267658830115
325.0 75.46717965375996
335.0 75.37899271118896
345.0 75.29052899113586
355.0 75.2381589295137
365.0 75.35686156553042
375.0 75.44727259632452
387.0 75.44727259632452
400.0 75.3815400411153
412.0 75.26090170960879
425.0 75.01165711849532
437.0 74.9116571184953
450.0 75.08000361795668
462.0 75.34410807713073
475.0 75.68703592431402
487.0 75.94928032556396
500.0 75.82445814420117
515.0 75.4130058166541
530.0 74.99027257090358
545.0 75.15583957685777
560.0 75.83384370232102
580.0 76.40228488204563
600.0 76.67051878801425
615.0 76.54653083445726
630.0 76.3053651501979
650.0 76.19609886982063
670.0 76.2672979666485
690.0 76.34962385695945
710.0 76.33039451355782
730.0 76.08902744977686
750.0 75.69266878282914
775.0 75.32073228252062
800.0 75.33472184783173
825.0 75.3538498428488
850.0 75.6838320393458
875.0 75.97232350333431
900.0 75.77785420940496
925.0 75.36774028217829
950.0 75.14340125457514
975.0 75.49987890724903
1000.0 76.0282695023742
1030.0 76.61664357585282
1060.0 76.47557703621922
1090.0 75.98799389748015
1120.0 76.23558982106125
1150.0 76.30201803991739
1180.0 76.21556699417468
1220.0 76.04178886324554
1250.0 75.90693581297894
1280.0 75.96090464053462
1320.0 76.0845760546693
1360.0 76.41946266769175
1400.0 76.22128596847162
1450.0 75.66425482249448
1500.0 75.18124083013566
1550.0 74.4731542734464
1600.0 74.13069572898547
1650.0 74.4578898118413
1700.0 75.2046528282676
1750.0 75.44939917013767
1800.0 75.71699750358017
1850.0 76.06843120416121
1900.0 76.26543414771626
1950.0 76.75254478458038
2000.0 76.74410218974586
2060.0 76.50116751420575
2120.0 76.30418430411459
2180.0 75.38940508009925
