Freq "Early Reflections DI"
20.0 40.0
20.290899 40.0
20.586 40.0
20.8855 40.0
21.189301 40.0
21.497499 40.0
21.8102 40.0
22.127399 40.0
22.4492 40.0
22.775801 40.0
23.1071 40.0
23.443199 40.0
23.7841 40.0
24.1301 40.0
24.4811 40.0
24.8372 40.0
25.1984 40.0
25.564899 40.0
25.9368 40.0
26.3141 40.0
26.6968 40.0
27.0851 40.0
27.479099 40.0
27.878799 40.0
28.2843 40.0
28.6957 40.0
29.1131 40.0
29.536501 40.0
29.966101 40.0
30.402 40.0
30.8442 40.0
31.2929 40.0
31.748 40.0
32.209801 40.0
32.678299 40.0
33.153599 40.0
33.635899 40.0
34.125099 40.0
34.621498 40.0
35.125 40.0
35.635899 40.0
36.154301 40.0
36.680199 40.0
37.213699 40.0
37.755 40.0
38.3041 40.0
38.861301 40.0
39.426498 40.0
40.0 40.0
40.581799 40.0
41.1721 40.0
41.771 40.0
42.378502 40.0
42.9949 40.0
43.6203 40.0
44.254799 40.0
44.898499 40.0
45.551498 40.0
46.2141 40.0
46.886299 40.0
47.568298 40.0
48.260201 40.0
48.962101 40.0
49.674301 40.0
50.396801 40.0
51.129902 40.0
51.8736 40.0
52.628101 40.0
53.3936 40.0
54.1702 40.0
54.958099 40.0
55.7575 40.0
56.568501 40.0
57.391399 40.0
58.226101 40.0
59.073 40.0
59.932301 40.0
60.804 40.0
61.6884 40.0
62.585701 40.0
63.496 40.0
64.419601 40.0
65.356598 40.0
66.307297 40.0
67.271698 40.0
68.250198 40.0
69.242897 40.0
70.250099 40.0
71.271896 40.0
72.308601 40.0
73.360298 40.0
74.427399 40.0
75.509903 40.0
76.608299 40.0
77.722603 40.0
78.853104 40.0
80.0 40.0
81.163597 40.0
82.3442 40.0
83.541901 40.0
84.757 40.0
85.989899 40.0
87.240601 40.0
88.509598 40.0
89.797 40.0
91.103104 40.0
92.4282 40.0
93.772598 40.0
95.136597 40.0
96.520401 40.0
97.924301 40.0
99.348602 40.0
100.794 40.0
102.26 40.0
103.747 40.0
105.256 40.0
106.787 40.0
108.34 40.0
109.916 40.0
111.515 40.0
113.137 40.0
114.783 40.0
116.452 40.0
118.146 40.0
119.865 40.0
121.608 40.0
123.377 40.0
125.171 40.0
126.992 40.0
128.839 40.0
130.713 40.0
132.615 40.0
134.543 40.0
136.5 40.0
138.486 40.0
140.5 40.0
142.544 40.0
144.617 40.0
146.721 40.0
148.855 40.0
151.02 40.0
153.217 40.0
155.445 40.0
157.706 40.0
160.0 40.0
162.327 40.0
164.688 40.0
167.084 40.0
169.514 40.0
171.98 40.0
174.481 40.0
177.019 40.0
179.594 40.0
182.206 40.0
184.856 40.0
187.545 40.0
190.273 40.0
193.041 40.0
195.849 40.0
198.697 40.0
201.587 40.0
204.52 40.0
207.494 40.0
210.512 40.0
213.574 40.0
216.681 40.0
219.833 40.0
223.03 40.0
226.274 40.0
229.565 40.0
232.905 40.0
236.292 40.0
239.729 40.0
243.216 40.0
246.754 40.0
250.343 40.0
253.984 40.0
257.678 40.0
261.426 40.0
265.229 40.0
269.087 40.0
273.001 40.0
276.972 40.0
281.0 40.0
285.088 40.0
289.234 40.0
293.441 40.0
297.709 40.0
302.04 40.021145436872615
306.433 40.042426655819185
310.89 40.06384805958868
315.412 40.08540902890017
320.0 40.10710882470396
324.655 40.12894658912968
329.377 40.150916713005586
334.168 40.173022814605616
339.028 40.19525912983222
343.959 40.217628969584936
348.962 40.24013089759795
354.038 40.26276336498751
359.188 40.285524711347904
364.412 40.308408804816395
369.713 40.33142252653707
375.09 40.3545552054039
380.546 40.37781335038137
386.081 40.401190438114256
391.697 40.42468832654009
397.394 40.44830036188455
403.175 40.47203220160961
409.039 40.49587290137913
414.989 40.51982775742066
421.025 40.543889749122116
427.149 40.56805976916563
433.362 40.592334565992516
439.665 40.61671079058533
446.06 40.64118880520222
452.548 40.66576494924011
459.131 40.69043919538025
465.809 40.71520388578243
472.584 40.74005872569185
479.458 40.7650031682914
486.432 40.7900328461305
493.507 40.81514330012014
500.686 40.84033695912959
507.968 40.86560204431079
515.357 40.89094405469477
522.853 40.91635444199578
530.458 40.94183138874567
538.174 40.96737282983314
546.002 40.99297320253976
553.943 41.01862685688789
562.001 41.04433756869693
570.175 41.07009289464919
578.469 41.09589608045255
586.883 41.12173760352917
595.419 41.14761403948161
604.08 41.17352469298005
612.866 41.19945967163622
621.78 41.22541783710214
630.824 41.25139479954127
640.0 41.27738593037671
649.309 41.30338359066812
658.753 41.32938279763741
668.335 41.35538102745333
678.056 41.381370057299165
687.919 41.40734682050591
697.925 41.43330271456588
708.077 41.45923413881543
718.376 41.485132120782225
728.825 41.51099253663905
739.426 41.536808471255796
750.181 41.56257279601154
761.093 41.58828050886399
772.163 41.61392165096572
783.394 41.63949073521772
794.789 41.66498192062895
806.349 41.690384662554436
818.078 41.71569480527725
829.977 41.740901403363466
842.05 41.76599967654208
854.298 41.79097830659306
866.724 41.81582993877433
879.33 41.84054497329723
892.12 41.86511747619724
905.097 41.88953920905492
918.262 41.91379801312411
931.618 41.93788534803399
945.169 41.96179416658421
958.917 41.98551361457527
972.864 42.00903276792363
987.015 42.03234552979386
1001.95 42.03234552979386
1007.81 42.057591180622154
1013.67 42.082759620403976
1019.53 42.107426019628775
1025.39 42.13151004536215
1031.25 42.15519039186826
1037.11 42.17796396867513
1042.97 42.199749142399796
1048.83 42.220522008188595
1054.69 42.24012472678152
1060.55 42.2587513717297
1066.41 42.27578333245782
1072.27 42.291177093593745
1078.12 42.30565591303184
1083.98 42.318193527747056
1089.84 42.329157275970815
1095.7 42.33863944086988
1101.56 42.34644799965156
1107.42 42.35286611573713
1113.28 42.35763300471888
1119.14 42.36069177170441
1125.0 42.362316832452365
1130.86 42.36235975850322
1136.72 42.361082085065135
1142.58 42.35846536844366
1148.44 42.35434785169805
1154.3 42.34972727953496
1160.16 42.34329659139783
1166.02 42.33595487296982
1171.88 42.32788160895208
1177.73 42.3187904996181
1183.59 42.308835219921264
1189.45 42.2981313788012
1195.31 42.287071852271026
1201.17 42.27510490538451
1207.03 42.26243908181495
1212.89 42.249481621985254
1218.75 42.23582593727643
1224.61 42.22173144414016
1230.47 42.2070594905049
1236.33 42.19181793349276
1242.19 42.1759896135909
1248.05 42.159524732919664
1253.91 42.14218660464367
1259.77 42.124460291762716
1265.62 42.105628103690364
1271.48 42.08592576167061
1277.34 42.0652425877055
1283.2 42.04349421885415
1289.06 42.020686874861326
1294.92 41.996516463044856
1300.78 41.971180451892465
1306.64 41.94458683485219
1312.5 41.9162236253684
1318.36 41.88648054808202
1324.22 41.855156679119446
1330.08 41.822010460805785
1335.94 41.787398309691085
1341.8 41.75114745942932
1347.66 41.71302908797851
1353.52 41.67344753690226
1359.38 41.63181314931066
1365.23 41.58892961817298
1371.09 41.54437110411537
1376.95 41.49827132590694
1382.81 41.45085995253879
1388.67 41.401902675105376
1394.53 41.35176859307785
1400.39 41.30021930925285
1406.25 41.24792629525247
1412.11 41.19417784154635
1417.97 41.139636517369794
1423.83 41.08399914330957
1429.69 41.02772609367197
1435.55 40.97082842179745
1441.41 40.913076817498805
1447.27 40.854938959859055
1453.12 40.79643982854792
1458.98 40.73764080196213
1464.84 40.67847770748672
1470.7 40.61925176154685
1476.56 40.56043534871429
1482.42 40.50172017182115
1488.28 40.443492977582025
1494.14 40.386169167276705
1500.0 40.329772294193916
1505.86 40.27484536217037
1511.72 40.22096770968571
1517.58 40.16966024233092
1523.44 40.120387753566874
1529.3 40.07350420169267
1535.16 40.02970754445849
1541.02 39.98905206314167
1546.88 39.951994435823835
1552.73 39.91852472569184
1558.59 39.88916471759116
1564.45 39.86395441613257
1570.31 39.8429820300705
1576.17 39.826445674018416
1582.03 39.81455540360412
1587.89 39.8074065769283
1593.75 39.80453189253808
1599.61 39.80668030296533
1605.47 39.8126874707913
1611.33 39.823483095478366
1617.19 39.838553494572
1623.05 39.857769122925106
1628.91 39.88064728388764
1634.77 39.90768835729871
1640.62 39.9382019161845
1646.48 39.97256498673522
1652.34 40.00944544272281
1658.2 40.04989081698601
1664.06 40.09323963447699
1669.92 40.13887110906036
1675.78 40.18765561556627
1681.64 40.23835537514556
1687.5 40.29108083867139
1693.36 40.345612344258114
1699.22 40.40218958211403
1705.08 40.460094551759624
1710.94 40.519575297204455
1716.8 40.5799109573951
1722.66 40.64154815594134
1728.52 40.70376537182335
1734.38 40.76629030565752
1740.23 40.82946054853301
1746.09 40.892877396581184
1751.95 40.95623011506399
1757.81 41.019073009034415
1763.67 41.08235797996167
1769.53 41.14495451748978
1775.39 41.20698908925846
1781.25 41.26804108959472
1787.11 41.32822156294699
1792.97 41.38760078087411
1798.83 41.446098476005105
1804.69 41.50321329592283
1810.55 41.559573749772866
