Freq "Early Reflections DI"
20.5078 41.18760891463603
21.9727 41.34058114971819
23.4375 38.71186968327336
24.9023 38.672221077653916
26.3672 38.70559925023865
27.832 38.860921667881684
29.2969 39.174521744937465
30.7617 39.35806274613566
32.2266 39.48444480754472
33.6914 39.5643098531051
35.1562 39.51799449966478
36.6211 39.670073710504866
38.0859 39.71422481500389
39.5508 39.73969519015165
41.0156 39.76018065791885
42.4805 39.770478287432724
43.9453 39.78082531159879
45.4102 39.77655013419458
46.875 39.77407979995297
48.3398 39.76780731141942
51.2695 39.794889828085786
52.7344 39.800459579468395
54.1992 39.80475450596282
55.6641 39.812714626965345
58.5938 39.84453359771807
60.0586 39.86879988315039
62.9883 39.92443135012951
64.4531 39.95293187527081
67.3828 39.96875722809432
68.8477 39.97496351372733
71.7773 39.9953303384638
74.707 40.012512946883746
77.6367 40.02758814712803
79.1016 40.03706031738258
82.0312 40.058716859886545
84.9609 40.065599807568745
87.8906 40.05438623658172
90.8203 40.0866341610416
95.2148 40.11773712707186
98.1445 40.13338045959628
101.074 40.16525263407783
105.469 40.18592309299464
108.398 40.17203029600148
112.793 40.17041211384122
117.188 40.228230366745834
120.117 40.23854019418194
124.512 40.23128218181226
128.906 40.2685629987684
133.301 40.30339226838869
139.16 40.29490734002573
143.555 40.3349363455159
147.949 40.345347591996045
153.809 40.37706017366081
159.668 40.37846983362468
165.527 40.45548345936824
171.387 40.459701328655356
177.246 40.452169285666656
183.105 40.46174798584602
188.965 40.48786667461603
196.289 40.48538959625108
203.613 40.669001581116135
210.938 40.71947595663033
218.262 40.59109175788636
225.586 40.61902674172626
232.91 40.7375053301226
241.699 40.851606801674805
250.488 40.88176165957695
259.277 40.94420992326873
268.066 40.62343508605029
276.855 40.7312938288795
287.109 40.889447074573624
297.363 41.282980563726625
307.617 40.988309356395035
319.336 41.188295819484665
329.59 41.222086896239446
341.309 41.264584070073596
353.027 41.492760246856975
366.211 41.343244067598036
379.395 41.37411198256159
392.578 41.381089362437024
405.762 41.34416566409469
420.41 41.558094035137145
435.059 41.50594685819581
451.172 41.514404763809026
465.82 41.43932469397541
483.398 41.54035413864989
499.512 41.47776688185846
517.09 41.72083545388581
536.133 41.70890084869917
555.176 41.726315098230245
574.219 41.93842222294252
594.727 41.48423225312192
615.234 42.02048476666502
637.207 42.06514858285337
659.18 41.83672925585675
682.617 42.34541700965556
707.52 42.321834660817814
732.422 42.252948983471725
757.324 42.88874106557894
785.156 42.732385539643985
811.523 42.91729251818066
840.82 43.169149317148765
870.117 43.078451658391955
900.879 43.12902851465553
933.105 43.32437415123721
965.332 43.44173547385304
1000.49 43.7359106004034
1035.64 43.883138252979194
1072.27 44.070700686110044
1108.89 44.184040103988025
1148.44 44.037988367240175
1189.45 44.269224129036644
1230.47 44.17614581355561
1274.41 44.3188104289009
1319.82 44.23681826157515
1366.7 44.18493060169192
1413.57 44.29379914154879
1463.38 44.51852643219436
1516.11 44.32718480412166
1568.85 44.020398548186236
1624.51 44.100570794473015
1681.64 43.31437285882504
1741.7 43.17239498325394
1803.22 43.48946270700799
1866.21 42.61504234950934
1932.13 43.237443525813845
1999.51 42.522710974782086
2069.82 42.78592694476589
2143.07 42.439722225247124
2219.24 42.32114895958851
2296.88 41.76750363196935
2378.91 41.89210825661466
2462.4 42.11123310578239
2548.83 41.744796125235666
2639.65 41.96215574558356
2731.93 42.27609439261899
2828.61 42.13620614245255
2928.22 42.08379338919961
3030.76 42.62381628967648
3137.7 42.50542574615267
3249.02 42.73397406032153
3363.28 42.93725950124838
3481.93 43.14477989147127
3604.98 43.207443888126136
3732.42 43.366338996829796
3864.26 43.36638302153273
4000.49 43.497008628581796
4141.11 43.853745423174445
4287.6 43.73344689229572
4438.48 43.78281719835127
4595.21 43.89355042658329
4756.35 43.8411664298727
4924.8 43.78035084478624
5097.66 43.72489774234231
5277.83 43.6051747731444
5463.87 43.736726189035366
5657.23 43.56052501108391
5856.45 43.53588722047073
6062.99 43.391655109940416
6276.86 43.250871241126745
6498.05 43.24539331893513
6726.56 43.278750131260665
6963.87 43.23091248447618
7209.96 43.38589810181729
7464.84 43.54545929877982
7727.05 43.45129795498917
7999.51 43.237982661066155
8282.23 42.886658760308066
8573.73 42.20560137662264
8876.95 40.7466718353884
9188.96 40.1592145908197
9514.16 42.4377877421456
9849.61 43.892071295607224
10196.8 44.440077350522955
10555.7 44.66944429329757
10927.7 44.72957669339836
11313.0 44.63823284452825
11712.9 44.6497092779435
12126.0 44.66633687436479
12553.7 44.59145307102581
12996.1 44.45827752190317
13454.6 44.53346344624329
13929.2 44.68643705357948
14419.9 44.91101954416189
14928.2 45.14143189412016
15455.6 45.08110678772141
16000.5 45.008013813685096
16564.5 44.93415598354275
17148.9 45.6498696076992
17752.4 46.1003624579146
18379.4 46.21990862960355
19026.9 46.42349028702726
19697.8 46.56076539022857
19999.5 46.56663106522184
