Freq "Estimated In-Room Response"
20.5078 67.01934723138449
21.2402 68.45640900457256
21.9727 69.34833620559617
22.7051 70.22493385380099
23.4375 71.18144860306425
24.1699 72.56038002531768
25.6348 74.07062252078961
26.3672 74.91039805450814
27.0996 75.55119426391569
27.832 76.7029932649214
29.2969 77.94439802820007
30.0293 78.73471818855461
31.4941 79.62721045349214
32.2266 80.34469621057474
33.6914 81.13441129690065
34.4238 81.53839427443758
35.8887 82.11707723907593
37.3535 82.88982830348202
38.8184 83.52501915929533
39.5508 83.77356748700983
41.0156 84.1954727338457
42.4805 84.73187412760676
43.9453 85.03395451511486
45.4102 85.33901205258017
47.6074 85.80397023905432
49.0723 86.12308008245935
50.5371 86.38927999772238
52.7344 86.73370767839171
54.1992 87.06790758422376
56.3965 87.48780750519578
58.5938 87.90918713241722
60.0586 88.1825194128926
62.2559 88.55363385161989
64.4531 88.79425993657541
66.6504 89.11259255119964
69.5801 89.4124370610577
71.7773 89.68498997724087
73.9746 90.00529877646265
76.9043 90.26331299240722
79.834 90.50029843779087
82.7637 90.70045563832342
85.6934 90.84886787113949
88.623 91.19254095285113
91.5527 91.48706035442649
94.4824 91.54556414890725
98.1445 91.48284035893012
101.807 91.53328786108727
105.469 91.77040514623535
109.131 91.72490703053167
112.793 91.24478945614638
116.455 91.16699803174454
120.85 91.45041173708329
125.244 91.79332521142352
129.639 91.5688749321099
134.033 91.48712973607647
138.428 91.2348764952542
143.555 91.04705466674449
148.682 91.28899638347154
153.809 91.2253493812266
159.668 90.79521183851098
164.795 90.6375515481523
170.654 90.76148347527102
176.514 90.8318749207813
183.105 90.50050329141843
189.697 90.33824877724376
196.289 90.30660107751162
202.881 90.49351997972524
210.205 90.25004100066214
217.529 90.17705991065849
225.586 89.6140103127335
232.91 89.9733573248623
241.699 89.88072905071735
249.756 90.8093305723286
258.545 90.95635635212719
268.066 90.86242362868111
277.588 89.78022631887148
287.109 89.66628451097388
297.363 88.68484941350339
307.617 88.34656217052536
318.604 88.13238154453389
329.59 88.13130278322781
341.309 87.27385960513216
353.76 86.99576355118752
366.211 86.54919228500013
378.662 86.98859457315211
392.578 86.71279097423235
405.762 86.42603565881186
420.41 86.66286771116826
435.059 86.67187580813373
450.439 86.25919445298835
466.553 86.27566207802973
482.666 86.18108980472739
500.244 86.42716154309052
517.822 85.91240797004637
536.133 85.82056533082063
554.443 85.62437553874045
574.219 86.29485461067813
594.727 86.76389730148284
615.234 86.6099188269468
637.207 86.780790331664
659.912 86.9780319674238
683.35 87.00893895007296
706.787 86.94391896944839
731.689 86.52423271150299
758.057 86.49505619906863
784.424 85.9185169437363
812.256 85.97917619237451
840.82 85.82774653381341
870.85 85.80217914502235
901.611 85.9600748626919
933.105 86.24979642882178
966.064 86.29024175993852
999.756 86.59074310112072
1034.91 86.61802372670925
1071.53 87.17077164838854
1109.62 87.48739583190086
1148.44 87.89041036279347
1189.45 87.74803358648111
1231.2 88.14117759226345
1274.41 88.47855552756609
1319.82 88.03410055520376
1365.97 88.15724875658908
1414.31 87.9381869046582
1464.11 88.78919819367151
1515.38 88.80450282004281
1568.85 88.63121151371153
1624.51 88.18831271424425
1681.64 87.95440244609144
1740.97 88.08339328368673
1802.49 88.39910254608168
1866.21 88.52843877438723
1932.13 88.78517340890016
2000.24 89.28398850492205
2070.56 89.56059205157726
2143.8 89.41116295504422
2219.24 89.07178976972662
2297.61 88.712209037024
2378.17 88.15019049838342
2462.4 87.50900068410492
2548.83 87.55187031687075
2638.92 87.38986794245736
2731.93 86.65922183141691
2828.61 86.22156390872188
2928.22 86.0542104366764
3031.49 85.82338028853387
3138.43 85.77855087935264
3249.02 85.59267724149656
3363.28 85.76715011306483
3481.93 85.96202947547921
3604.98 85.95268868481132
3732.42 86.28055282464577
3863.53 86.41049095994012
3999.76 86.9143658183287
4141.11 87.01067130922384
4286.87 87.49378223740547
4438.48 87.37212409765313
4594.48 87.49230832977055
4757.08 87.52695944344214
4924.8 87.52918536305734
5098.39 87.36374501871059
5277.83 87.10657324720201
5463.87 87.0318461324162
5656.49 87.16666233371586
5856.45 86.92759490763802
6062.99 87.14986346655361
6276.86 86.67560148823274
6498.05 86.73298583755437
6727.29 86.22685942561013
6964.6 86.2159838603619
7209.96 85.75178251589696
7464.11 85.31521299814823
7727.78 85.19419316345908
8000.24 84.80581313702639
8282.23 84.81210956559589
8574.46 84.87513136953665
8876.22 84.68256741393553
9189.7 84.44607644934456
9513.43 84.30441410474668
9848.88 84.08003708191475
10196.8 84.05270395212798
10556.4 84.20738613666776
10928.5 84.37748666081937
11313.7 84.27230035976582
11712.9 84.02136054522506
12126.0 83.85763314586559
12553.7 83.88332188906021
12996.1 84.19944338882749
13454.6 84.60094684824153
13928.5 84.56168115920939
14419.9 84.2585662382179
14928.2 84.15069367805478
15454.8 83.67857975921862
15999.8 83.43012595284243
16564.5 81.74781873768849
17148.2 80.26574940405735
17753.2 80.86079374962775
18379.4 82.57055551028648
19027.6 77.36118366977982
19698.5 82.34410732105952
19999.5 83.54634446046713
