Freq "Early Reflections DI"
22.4 50.763009419954614
23.0 50.758044429714204
23.6 50.73697687045495
24.0 50.75482418765597
25.0 50.771098290644545
25.8 50.775556212189
26.5 50.76135043231895
27.2 50.756901843431535
28.0 50.74112658362404
29.0 50.74067081836776
30.0 50.71489423950604
30.7 50.72815189319189
31.5 50.69160284327984
32.5 50.68263887951372
33.5 50.68076479581839
34.5 50.66761962447876
35.5 50.664840430267446
36.5 50.695808022383005
37.5 50.7346920706286
38.7 50.76085577522383
40.0 50.783999159692144
41.2 50.82923274376819
42.5 50.905526285901345
43.7 50.93868021361696
45.0 50.97062777625406
46.2 51.01457144297159
47.5 51.03872409038753
48.7 51.042189564410876
50.0 51.07856947803626
51.5 51.087052878530855
53.0 51.126633583004605
54.5 51.13888743405204
56.0 51.12866574480775
58.0 51.110306824233774
60.0 51.10730621148461
61.5 51.09764361349775
63.0 51.08956895815392
65.0 51.085428233365505
67.0 51.09900418963427
69.0 51.084371655512115
71.0 51.09363783446821
73.0 51.097169222438026
75.0 51.10397925238007
77.5 51.11988727116655
80.0 51.151125463567524
82.5 51.14912043415612
85.0 51.134037850105756
87.5 51.15868175072657
90.0 51.127922223395444
92.5 51.133583617802074
95.0 51.13821928840402
97.5 51.19229851708616
100.0 51.20704137613387
103.0 51.20730699924836
106.0 51.24632366814791
109.0 51.25225901967728
112.0 51.281302647282644
115.0 51.29292688851895
118.0 51.29780244459725
122.0 51.29268824117429
125.0 51.27397048618377
128.0 51.27826732703117
132.0 51.28964818829455
136.0 51.30329825246221
140.0 51.328054132828186
145.0 51.36384859988972
150.0 51.38924482853429
155.0 51.41282670906422
160.0 51.445861648443525
165.0 51.46132686491967
170.0 51.488255080961935
175.0 51.5710293794299
180.0 51.667714983499266
185.0 51.75340602588713
190.0 51.80738194205313
195.0 51.82011087431775
200.0 51.834620527488056
206.0 51.852499426978824
212.0 51.91178021269995
218.0 51.98235103798824
224.0 52.03302441774947
230.0 52.07207373703774
236.0 52.11611476471481
240.0 52.17854724251956
250.0 52.24421553554227
258.0 52.301317022646515
265.0 52.360975976633455
272.0 52.47040479825519
280.0 52.51653728955006
290.0 52.52650907476044
300.0 52.52388171157375
307.0 52.56999314574534
315.0 52.66150842832471
325.0 52.740710396004374
335.0 52.78806201501334
345.0 52.84174505982379
355.0 52.94308799051336
365.0 53.03120183721481
375.0 53.10993789940531
387.0 53.184345654060934
400.0 53.226170313551236
412.0 53.292402963197645
425.0 53.3997880997706
437.0 53.47608537476452
450.0 53.587474042539554
462.0 53.80541248278581
475.0 53.970698004648725
487.0 54.17517778770022
500.0 54.31753190104125
515.0 54.46076962006734
530.0 54.54995068639899
545.0 54.570528670343876
560.0 54.57116328162756
580.0 54.53224252022996
