Freq "Sound Power DI"
20.5078 20.0
21.9727 20.0
23.4375 20.0
24.9023 20.0
26.3672 20.0
27.832 20.0
29.2969 20.0
30.7617 20.0
32.2266 20.0
33.6914 20.0
35.1562 20.0
36.6211 20.0
38.0859 20.0
39.5508 20.0
41.0156 20.0
42.4805 20.0
43.9453 20.0
45.4102 20.0
46.875 20.0
48.3398 20.0
51.2695 20.0
52.7344 20.0
54.1992 20.0
55.6641 20.0
58.5938 20.0
60.0586 20.0
62.9883 20.0
64.4531 20.0
67.3828 20.0
68.8477 20.0
71.7773 20.0
74.707 20.0
77.6367 20.0
79.1016 20.0
82.0312 20.0
84.9609 20.0
87.8906 20.0
90.8203 20.0
95.2148 20.0
98.1445 20.0
101.074 20.0
105.469 20.0
108.398 20.0
112.793 20.0
117.188 20.0
120.117 20.0
124.512 20.0
128.906 20.0
133.301 20.0
139.16 20.0
143.555 20.0
147.949 20.0
153.809 20.0
159.668 20.0
165.527 20.0
171.387 20.0
177.246 20.0
183.105 20.0
188.965 20.0
196.289 20.0
203.613 20.0
210.938 20.0
218.262 20.0
225.586 20.0
232.91 20.0
241.699 20.0
250.488 20.0
259.277 20.0
268.066 20.0
276.855 20.0
287.109 20.0
297.363 20.0
400.0 21.652172921297918
412.0 21.714532524133418
425.0 21.785176935472634
437.0 21.85426964502271
450.0 21.934257655731543
462.0 22.013471375438115
475.0 22.105226475337076
487.0 22.19525343904509
500.0 22.29756748328286
515.0 22.41977010105586
530.0 22.543975912052986
545.0 22.666548576632096
560.0 22.784029930228144
580.0 22.927370561815664
600.0 23.05011465422018
615.0 23.127606810110052
630.0 23.192699565753145
650.0 23.263691369401727
670.0 23.32173134805582
690.0 23.37336325962535
710.0 23.42417658685848
730.0 23.477694630556755
750.0 23.53484570742407
775.0 23.60969088193356
800.0 23.682608376950114
825.0 23.747597696639303
850.0 23.802343203708688
875.0 23.850814661467894
900.0 23.90226523917758
925.0 23.967449220129268
950.0 24.05445144011607
975.0 24.164853250396163
1000.0 24.293444952672573
1030.0 24.458507382514526
1060.0 24.617736763728544
1090.0 24.758008738909766
1120.0 24.876477754830105
1150.0 24.978522170500142
1180.0 25.070513695246675
1220.0 25.1786183493914
1250.0 25.24316727258247
1280.0 25.290519398562935
1320.0 25.338400622100465
1360.0 25.406072269226172
1400.0 25.536571421369956
1450.0 25.802019036861637
1500.0 26.127651950499782
1550.0 26.450318037407456
1600.0 26.76031685544058
1650.0 27.085932836659524
1700.0 27.43086317842301
1750.0 27.759259825950892
1800.0 28.04036326531231
1850.0 28.28646614518607
1900.0 28.530969101042956
1950.0 28.754148585850544
2000.0 28.86535064541934
2060.0 28.78962256162319
2120.0 28.608426855729732
2180.0 28.450068911519736
2240.0 28.293784637861847
2300.0 28.091012062993457
2360.0 27.870993220048163
2430.0 27.684485437314876
2500.0 27.57038879334725
2580.0 27.383040558742564
2650.0 27.189723389864128
2720.0 27.102055182879454
2800.0 27.059218581121016
2900.0 26.876203734894148
3000.0 26.830814283604482
3070.0 26.79801661228882
3150.0 26.62698697505178
3250.0 26.489746803146986
3350.0 26.392714160357414
3450.0 26.392172054971624
3550.0 26.61678963848145
3650.0 26.470134851287412
3750.0 26.198717792209123
3870.0 26.014182929375735
4000.0 25.994104153352595
4120.0 26.143649520178542
4250.0 26.24700180857093
4370.0 26.35509007170208
4500.0 26.254221048616074
4620.0 26.13031372774485
4750.0 25.92142997070738
4870.0 25.752541734848833
5000.0 25.594937377386117
5150.0 25.5383043510912
5300.0 25.563547968239874
5450.0 25.56232919584683
5600.0 25.718351606407225
5800.0 25.93118338523638
6000.0 25.957562804289665
6150.0 26.21009327480364
6300.0 26.435357270772897
6500.0 26.832250063596845
6700.0 26.872697161209118
6900.0 26.715738904412987
7100.0 26.86096254333016
7300.0 27.128263286191938
7500.0 27.25445949418804
7750.0 27.26519862076897
8000.0 27.138058886175514
8250.0 26.967202687067626
8500.0 26.86044878145485
8750.0 27.083602128220775
9000.0 27.375195109208363
9250.0 27.698635075421137
9500.0 27.99856197202844
9750.0 28.264137257557778
10000.0 28.34782665727235
10300.0 28.36064654263558
10600.0 28.225643138669568
10900.0 28.179779103922826
11200.0 28.15334946833873
11500.0 28.409546599622615
11800.0 28.649928667924797
12200.0 29.58910991838441
12500.0 29.902583133387424
12800.0 29.86129208186408
13200.0 29.89426232887034
13600.0 30.138728210987395
14000.0 30.342444937082377
14500.0 30.57940451207429
15000.0 30.9373707526304
15500.0 31.345490153378307
16000.0 31.275941503881995
16500.0 31.132625806756067
17000.0 31.06806480236895
17500.0 30.98320868758603
18000.0 31.033118305377286
18500.0 31.231856877470022
19000.0 31.310146402403234
19500.0 31.446452394516925
