Freq "Estimated In-Room Response"
20.5078 -21.25326928401452
21.9727 -19.757518923824676
23.4375 -19.54840652873274
24.9023 -17.532644959248657
26.3672 -16.584313971110674
27.832 -16.148653014219065
29.2969 -15.398713257325554
30.7617 -14.543909917531408
32.2266 -13.578764713617176
33.6914 -13.11389523444663
35.1562 -12.288705729432195
36.6211 -11.404638251163135
38.0859 -11.302527140734227
39.5508 -10.240447633551156
41.0156 -9.993701541010424
42.4805 -9.388953743883235
43.9453 -8.869630069731471
45.4102 -8.401104221347367
46.875 -7.859871705637133
48.3398 -7.321816740084643
51.2695 -6.334263635660605
52.7344 -6.006484302972268
54.1992 -5.682696513861629
55.6641 -5.202249468392125
58.5938 -4.114648122943294
60.0586 -3.7259827503008722
62.9883 -3.0748470619094945
64.4531 -2.8489045849294428
67.3828 -2.17327169370256
68.8477 -1.9366516665882898
71.7773 -1.2920795911133496
74.707 -0.6546087473587647
77.6367 -0.1340720097605015
79.1016 0.15606244976352457
82.0312 0.7886431162202712
84.9609 1.2258748222408826
87.8906 1.6587335790633375
90.8203 2.1000007076585234
95.2148 2.959878843069319
98.1445 3.2620531920366886
101.074 3.558011996976461
105.469 3.953861971511799
108.398 4.318445926275729
112.793 4.567701442371998
117.188 4.89109347127966
120.117 5.179169711243816
124.512 5.257731768628858
128.906 5.3707322313887005
133.301 5.424546342961293
139.16 5.1659335952071075
143.555 5.138777586949587
147.949 4.952764147200085
153.809 4.431469773150411
159.668 4.085248901009649
165.527 3.5844110162012157
171.387 2.976581654525191
177.246 2.4112181453619996
183.105 2.0256563323674754
188.965 1.3962059715766628
196.289 1.0403353835885127
203.613 0.5092042320787016
210.938 0.00644118142241723
218.262 -0.4129737181063007
225.586 -0.6705403743008276
232.91 -0.9569518303945017
241.699 -1.4308622552524923
250.488 -1.4512448906086917
259.277 -1.4701677799644983
268.066 -1.8064853932661435
276.855 -1.81902099220693
287.109 -2.0607775433367834
297.363 -2.182173060428738
307.617 -2.828552687893918
319.336 -2.9836726292543716
329.59 -2.43039434691498
341.309 -2.8084728792146905
353.027 -2.806636903111027
366.211 -2.7516254465632812
379.395 -2.5665005118959527
392.578 -2.657082529997581
405.762 -2.4710016850285683
420.41 -2.109198487342354
435.059 -2.247927434117088
451.172 -1.769766378072461
465.82 -2.0247502010192733
483.398 -2.170344552425334
499.512 -1.9187949604684036
517.09 -2.222075081471715
536.133 -2.1130806457235707
555.176 -0.9884163378843738
574.219 -0.41465544015059663
594.727 -0.36037345369904017
615.234 -0.25796430978731166
637.207 -0.2167599368616493
659.18 -0.2780406726229643
682.617 0.43509668638036203
707.52 -0.27574130731949253
732.422 -0.1781375707521704
757.324 0.4405827767755852
785.156 0.03207251995635829
811.523 0.2084181175243316
840.82 0.022431939960199543
870.117 0.24138773412497017
900.879 -0.045242902870768376
933.105 -0.07921646828901885
965.332 -0.044314782730481284
1000.49 -0.5892219593192038
1035.64 -1.3046076884188835
1072.27 -2.074336428125406
1108.89 -2.422356124426855
1148.44 -0.4493031541137924
1189.45 0.685528467516562
1230.47 -0.09152021346478989
1274.41 -0.876841109904305
1319.82 -2.127868620309016
1366.7 -2.870107810529447
1413.57 -3.141173206302426
1463.38 -3.6339835393996793
1516.11 -4.366865095076733
1568.85 -4.9515799259941105
1624.51 -5.767026261142945
1681.64 -6.351603127301502
1741.7 -5.7241164816411185
1803.22 -5.622470492230406
1866.21 -6.047349217912995
1932.13 -6.2513273659324256
1999.51 -5.8571982322690275
2069.82 -5.589981734830218
2143.07 -5.960896473182359
2219.24 -6.256104599054041
2296.88 -6.292364192689149
2378.91 -6.225629800733188
2462.4 -6.541711735240739
2548.83 -6.616381676382659
2639.65 -6.643625565059352
2731.93 -6.803710805678108
2828.61 -6.629155498591771
2928.22 -6.983726395337214
3030.76 -7.2076636477086
3137.7 -7.075579824981716
3249.02 -6.6832535576234875
3363.28 -6.016859752505212
3481.93 -5.383900315096923
3604.98 -5.079063540472475
3732.42 -4.671213299079113
3864.26 -4.512610784448668
4000.49 -4.631470417455347
4141.11 -4.247988947581149
4287.6 -3.534670703072109
4438.48 -2.7736641519068286
4595.21 -2.5014255332426103
4756.35 -1.8660730352399781
4924.8 -1.7616087247939873
5097.66 -1.3773836172172764
5277.83 -1.6517280011939164
5463.87 -1.3724315704553902
5657.23 -1.795432584112774
5856.45 -3.1394636243585126
6062.99 -4.033846864947293
6276.86 -1.9443410352782564
6498.05 -2.6590659656210107
6726.56 -3.5063351551589506
6963.87 -3.499694616219159
7209.96 -2.887405351590999
7464.84 -2.773083206234304
7727.05 -2.918857329775733
7999.51 -3.238592704352044
8282.23 -3.25506243245016
8573.73 -3.1024872441715132
8876.95 -3.02696435159217
9188.96 -2.9931611852350386
9514.16 -3.388890274305851
9849.61 -3.6796058181466407
10196.8 -3.7308731390544665
10555.7 -3.7427373710933125
10927.7 -3.8337670352036213
11313.0 -3.650994148906875
11712.9 -3.4145895901583287
12126.0 -3.3055499177329892
12553.7 -3.068011281240558
12996.1 -2.770343570241053
13454.6 -2.095535556060156
13929.2 -1.5853462390475386
14419.9 -1.217105081974296
14928.2 -0.26621854577041404
15455.6 1.1678525721402195
16000.5 2.66751268150648
16564.5 1.7284528527275427
17148.9 -1.5406089899966702
17752.4 -2.732095287479865
18379.4 -3.2992033806555554
19026.9 -5.7114367333313965
19697.8 -8.900540219087588
19999.5 -10.795011641803058
