Freq "Ceiling Bounce"
22.4 61.30906430015982
23.0 61.166921851160495
23.6 60.40123572626639
24.0 60.293171640730876
25.0 60.61912930458361
25.8 60.909374003214495
26.5 61.10942248426019
27.2 61.648983591508426
28.0 62.31483523633479
29.0 63.084934924608476
30.0 63.40464502318535
30.7 62.44415774934852
31.5 61.47001488257477
32.5 60.57215664893681
33.5 61.230120659748096
34.5 62.557598821275405
35.5 64.47872996753789
36.5 65.66726558859611
37.5 66.60724699916734
38.7 67.33788730291391
40.0 66.83821129888743
41.2 66.28888547155003
42.5 64.31152326304965
43.7 61.67383110211922
45.0 60.321172437097886
46.2 62.40942248426019
47.5 64.19257011413609
48.7 62.521172437097874
50.0 60.699135369514366
51.5 61.81483523633479
53.0 63.1501707521257
54.5 64.47150800786939
56.0 64.77896989520116
58.0 64.01227178315618
60.0 63.67387961222816
61.5 63.76692185116049
63.0 63.668450838054326
65.0 63.67387961222816
67.0 64.37783080594569
69.0 64.67387961222818
71.0 64.40306957104252
73.0 64.63513059177983
75.0 64.7007674944556
77.5 64.63435140868502
80.0 64.6
82.5 64.63358982687997
85.0 64.63358982687997
87.5 64.46769521305295
90.0 64.20076749445562
92.5 64.20228461396019
95.0 64.16845083805433
97.5 64.06845083805433
100.0 63.83513059177983
103.0 64.00306957104252
106.0 63.83435140868502
109.0 63.70076749445562
112.0 63.335130591779816
115.0 63.500767494455616
118.0 63.83435140868502
122.0 63.90076749445561
125.0 64.16769521305294
128.0 64.13513059177983
132.0 64.20231994589774
136.0 64.50076749445562
140.0 64.43513059177984
145.0 64.40231994589776
150.0 64.63358982687997
155.0 64.3669218511605
160.0 64.4
165.0 64.30076749445563
170.0 64.06692185116049
175.0 63.76692185116049
180.0 64.1
185.0 64.2
190.0 64.3669218511605
195.0 64.50076749445562
200.0 64.73358982687996
206.0 64.66769521305294
212.0 64.2669218511605
218.0 64.16845083805433
224.0 63.90690501035458
230.0 63.83663575667187
236.0 64.37001488257476
240.0 64.30306957104253
250.0 64.23663575667187
258.0 64.17001488257476
265.0 63.93663575667186
272.0 63.80306957104251
280.0 63.80542400732661
290.0 63.83663575667187
300.0 63.534351408685026
307.0 63.40690501035459
315.0 63.473879612228174
325.0 63.97609175449222
335.0 64.31592692226707
345.0 64.7404416794549
355.0 65.07150800786937
365.0 65.13663575667186
375.0 64.66845083805431
387.0 64.14136150423586
400.0 64.10690501035458
412.0 64.3098662867233
425.0 64.43663575667186
437.0 64.4053180676647
450.0 64.47449351030438
462.0 63.940441679454906
475.0 63.63821129888741
487.0 63.13821129888743
500.0 63.445767194384686
515.0 63.64044167945491
530.0 64.3098662867233
545.0 64.53435140868503
560.0 64.03821129888743
580.0 63.40306957104252
600.0 63.63821129888741
615.0 64.00231994589775
630.0 64.03513059177983
650.0 63.23513059177982
670.0 62.66235742942078
690.0 63.10942248426019
710.0 63.148983591508426
730.0 62.99897445130925
750.0 62.86588846059688
775.0 61.93752777300027
800.0 61.509632566816194
825.0 60.989828566734715
850.0 60.95380974359446
875.0 62.162357429420794
900.0 62.494719291192055
925.0 61.56966078457043
950.0 60.540907536026324
975.0 59.74743899086734
1000.0 60.849934726018546
1030.0 62.05603736524559
1060.0 62.956038850029685
1090.0 62.603069571042525
1120.0 61.56845083805433
1150.0 60.602284613960194
1180.0 60.64283030471974
1220.0 59.79046060092038
1250.0 59.70034112939827
1280.0 60.66136837622766
1320.0 61.248983591508406
1360.0 59.95647994661606
1400.0 59.64852142053364
1450.0 58.38098490550681
1500.0 59.111249707217596
1550.0 60.84985150686697
1600.0 62.04805664755615
1650.0 62.92349685065979
1700.0 61.15521969308378
1750.0 60.88538710465899
1800.0 62.3429397936019
1850.0 63.61592538879982
1900.0 64.09897445130925
1950.0 62.47609175449223
2000.0 60.9778308059457
2060.0 60.9026335053877
2120.0 60.70265450340341
2180.0 58.91213611976862
2240.0 58.40982855556756
2300.0 59.437767342855395
2360.0 59.91406839527001
2400.0 59.38219967332304
2500.0 58.176627982539046
2580.0 56.87717895989803
2650.0 57.24898514879551
2720.0 55.96096514237182
2800.0 57.4596203420011
2900.0 58.88656646311246
3000.0 59.748983591508406
3070.0 60.344157749348525
3150.0 59.18042420054253
3250.0 60.89156164294319
3350.0 58.90690501035458
3450.0 61.142582736630146
3550.0 60.849357664782715
3650.0 57.89723682439924
3750.0 57.19664781293231
3870.0 58.10836933851773
4000.0 59.392378988098
4120.0 58.856038850029705
4250.0 57.301902354998504
4370.0 56.70076749445562
4500.0 56.70724699916735
4620.0 58.40967169524963
4750.0 60.214344814324704
4870.0 59.92545123408709
5000.0 61.48573603864206
5150.0 62.32812233674838
5300.0 61.53610707977349
5450.0 60.78959528561198
5600.0 60.4552233498861
5800.0 60.22875610128314
6000.0 60.05477168396807
6150.0 60.09257011413608
6300.0 60.581612085334214
6500.0 61.081612085334214
6700.0 61.192378988098014
6900.0 60.12643297742507
7100.0 60.407910755634504
7300.0 60.70937829065056
7500.0 60.57245249207645
7750.0 60.241719523309754
8000.0 60.23012177221655
8250.0 59.289159392922414
8500.0 58.58343461029553
8750.0 58.40473949550547
9000.0 58.02990957385144
9250.0 57.33155215291052
9500.0 56.6308800341432
9750.0 56.35147543072807
10000.0 55.901905658027104
10300.0 55.741719523309754
10600.0 55.23638088039145
10900.0 54.680984905506804
11200.0 54.46268190818897
11500.0 54.63212822852756
11800.0 54.8944886893229
12200.0 54.51904449785343
12500.0 54.04053501177823
12800.0 53.95840416724977
13200.0 52.35839266532989
13600.0 50.11837626972827
14000.0 47.92765241487277
14500.0 46.711232847445544
15000.0 45.98275550459125
15500.0 46.07033939633072
16000.0 46.10937829065057
16500.0 46.671918029065594
17000.0 46.6840546157494
17500.0 46.15810921016849
18000.0 45.738781572034455
18500.0 45.86054053153602
19000.0 45.57775058035541
19500.0 46.21123284744553
