Freq "Early Reflections"
20.5078 66.80954573287246
21.9727 66.67130014942092
23.4375 62.63291789066875
24.9023 61.426279884117406
26.3672 68.3637609989216
27.832 66.46668679535787
29.2969 70.97225092812828
30.7617 73.15980991787538
32.2266 73.76426549143979
33.6914 77.91126982039242
35.1562 78.83609824902791
36.6211 79.07991565222682
38.0859 79.44869475120105
39.5508 79.75937288234985
41.0156 80.20557030089347
42.4805 80.62736016912996
43.9453 81.08378809161857
45.4102 81.41676457179646
46.875 81.91621715935457
48.3398 82.34529572053381
51.2695 83.21830900629116
52.7344 83.59402467444401
54.1992 83.97048170734806
55.6641 84.31347556959182
58.5938 85.15071460097194
60.0586 85.71135881320187
62.9883 86.26168634006618
64.4531 86.55199734671767
67.3828 87.12775672782524
68.8477 87.52595494657497
71.7773 88.09072784371243
74.707 88.69055772986704
77.6367 89.22943286882243
79.1016 89.45859916876144
82.0312 89.88317773129154
84.9609 90.23259134405467
87.8906 90.59378513789926
90.8203 90.9549327269849
95.2148 91.3863554066278
98.1445 91.59685686057915
101.074 91.76207900927915
105.469 91.93506749872219
108.398 92.08689443947088
112.793 92.23961222208149
117.188 92.27215860355874
120.117 92.38557143860717
124.512 92.46997880222321
128.906 92.46536368088928
133.301 92.44531908427712
139.16 92.34253690548613
143.555 92.25459519959641
147.949 92.23497065186345
153.809 92.13719691556837
159.668 91.9373120189606
165.527 91.01809688474408
171.387 91.67944546319478
177.246 91.62049798801905
183.105 91.22027401692469
188.965 91.10706911567212
196.289 91.19310647774624
203.613 90.9423676154278
210.938 90.79836478125029
218.262 90.56613145079267
225.586 90.62237090553612
232.91 90.56348265294899
241.699 90.37500397511667
250.488 90.16836841982862
259.277 89.84962045910486
268.066 89.60611972524696
276.855 90.49441848922643
287.109 90.17309387174845
297.363 89.9020738478275
307.617 89.77087638340296
319.336 89.42563750551433
329.59 89.18522523120723
341.309 89.09471320558147
353.027 88.76647297965366
366.211 88.82605871741035
379.395 88.64374719539353
392.578 88.97588437303766
405.762 88.60264095914891
420.41 88.14813879628535
435.059 87.92985909789391
451.172 87.82290531630588
465.82 87.65531814050347
483.398 88.03420486081697
499.512 88.179644771893
517.09 88.3020923066355
536.133 87.8964101044496
555.176 87.67801158927163
574.219 87.41683500295912
594.727 87.43129950694691
615.234 87.43889857414727
637.207 87.0382397935127
659.18 87.10567430788757
682.617 87.03020264498268
707.52 86.60142465785789
732.422 87.06428312260043
757.324 86.98032429453042
785.156 86.60291595401297
811.523 86.83155590332625
840.82 86.88475932369693
870.117 87.16395680183973
900.879 87.56099346605725
933.105 87.59182124267878
965.332 87.86574594273202
1000.49 87.70034363178262
1035.64 87.47454316321279
1072.27 87.39088028825489
1108.89 86.9917611496532
1148.44 86.77315262838977
1189.45 86.55669579348046
1230.47 86.95820199331138
1274.41 86.87882831617831
1319.82 86.73212048958482
1366.7 86.7386979085006
1413.57 86.66124080172152
1463.38 86.91059621441201
1516.11 86.7111076125457
1568.85 86.64460146699514
1624.51 86.65969874514353
1681.64 86.48171807609066
1741.7 86.40786730028387
1803.22 86.27248974477727
1866.21 86.21018925188785
1932.13 86.36378137535984
1999.51 86.16037769498247
2069.82 86.27366225808238
2143.07 86.10314943615585
2219.24 86.16457080440846
2296.88 86.11089422697383
2378.91 85.97265115495264
2462.4 85.54641386042938
2548.83 85.27647730950821
2639.65 85.2743305398412
2731.93 85.4852451470579
2828.61 85.73028848491978
2928.22 86.06431235230355
3030.76 86.34778157563309
3137.7 86.61965262784852
3249.02 86.69345970017164
3363.28 86.79210136253197
3481.93 86.75851204859313
3604.98 86.57778978219382
3732.42 86.33384562125667
3864.26 86.07032689983114
4000.49 86.16297432796486
4141.11 86.28002504877415
4287.6 86.53521723518067
4438.48 86.53387638355636
4595.21 86.58465081393737
4756.35 86.70434902536279
4924.8 86.75211256908355
5097.66 86.44017388470309
5277.83 85.76800540077356
5463.87 85.81217822972513
5657.23 86.03458105276339
5856.45 86.14824364420959
6062.99 86.52190228468277
6276.86 87.11240613662505
6498.05 87.50513988651299
6726.56 87.86918172314053
6963.87 87.95176922947368
7209.96 87.80503847392715
7464.84 87.92875789942109
7727.05 88.02031682022232
7999.51 87.73541497090221
8282.23 87.66459437649047
8573.73 87.65155986342023
8876.95 87.80005554246148
9188.96 87.91180442457792
9514.16 86.8852051426367
9849.61 85.59083587681631
10196.8 83.54362245005927
10555.7 83.57982688224523
10927.7 85.08611837661809
11313.0 86.54116152432123
11712.9 88.03195971964313
12126.0 88.69593238984916
12553.7 89.16199736741511
12996.1 88.66714292808032
13454.6 88.32133505325051
13929.2 88.25207562350789
14419.9 87.57065695536136
14928.2 86.40244492241449
15455.6 84.66340816737153
16000.5 83.87681470846468
16564.5 83.19722181013312
17148.9 83.87706108457976
17752.4 87.08365972502689
18379.4 89.19532781516985
19026.9 89.4811686346424
19697.8 88.53621364759711
19999.5 88.48814349823033
