Freq "Front Wall Bounce"
22.4 32.2211221366199
23.0 29.79435379721184
23.6 31.662133872108143
24.0 31.975949367088617
25.0 25.780720545903137
25.8 31.84993039344951
26.5 38.75461479948072
27.2 41.54935345131645
28.0 43.62653528792413
29.0 46.03357642759647
30.0 47.902181262199406
30.7 50.030284213092045
31.5 52.757787914446226
32.5 54.43993928585331
33.5 56.053832978661774
34.5 58.126932717480315
35.5 60.16736760548176
36.5 62.15217861330299
37.5 63.96541065495728
38.7 65.7226786435742
40.0 67.36541065495729
41.2 68.92105030181686
42.5 70.32105030181687
43.7 71.50639029221136
45.0 72.72105030181687
46.2 74.32105030181688
47.5 75.46311625933222
48.7 76.37725750316639
50.0 77.59168062873681
51.5 78.39168062873682
53.0 79.3194144540676
54.5 80.39168062873682
56.0 81.2772575031664
58.0 82.04826675206684
60.0 82.73369848060175
61.5 83.33369848060174
63.0 83.86278631806009
65.0 84.4772575031664
67.0 84.91941445406758
69.0 85.2772575031664
71.0 85.63369848060174
73.0 85.81941445406758
75.0 85.91941445406758
77.5 86.10508329203148
80.0 86.5772575031664
82.5 87.0194144540676
85.0 86.89135285051155
87.5 86.9627863180601
90.0 87.76213387210811
92.5 87.69103250952745
95.0 87.36278631806007
97.5 87.27692863452323
100.0 87.0194144540676
103.0 86.74826675206684
106.0 86.46278631806008
109.0 86.16278631806009
112.0 85.63403063906108
115.0 84.7772575031664
118.0 84.27725750316641
122.0 84.79103250952744
125.0 85.69103250952746
128.0 85.81941445406758
132.0 85.97725750316641
136.0 86.2772575031664
140.0 86.36343866600902
145.0 86.96343866600903
150.0 87.26343866600902
155.0 86.86343866600902
160.0 86.46343866600903
165.0 86.96343866600903
170.0 87.69201601629003
175.0 87.62202703492673
180.0 86.64989177012889
185.0 86.23566099164861
190.0 87.00770450570768
195.0 87.40770450570767
200.0 86.85120059351317
206.0 87.53697411011501
212.0 87.23630248532056
218.0 86.1356609916486
224.0 85.97954444202757
230.0 85.23566099164861
236.0 83.99299930037729
240.0 82.60866194545798
250.0 81.59429519873368
258.0 82.19593360110305
265.0 84.73954714770362
272.0 87.45281767198033
280.0 89.123655010578
290.0 90.05186991847953
300.0 88.95056129682303
307.0 86.35120059351318
315.0 84.47954444202756
325.0 83.88084436082482
335.0 83.88279437075275
345.0 84.62558589693391
355.0 86.36765933030485
365.0 88.11029493785674
375.0 88.89593360110305
387.0 88.45120059351318
400.0 87.16474341376919
412.0 85.65765398688686
425.0 85.26563105717057
437.0 86.83527846631259
450.0 88.71519212430852
462.0 88.18084436082482
475.0 87.22526807118793
487.0 87.60963300081224
500.0 88.41074417433319
515.0 88.33527846631259
530.0 87.51952019060313
545.0 87.5435985207461
560.0 87.78816663008594
580.0 85.17991482490652
600.0 83.74771264110916
615.0 85.09889167400848
630.0 86.36048199060814
650.0 86.68974030155387
670.0 87.19536608725451
690.0 88.05848216834724
710.0 88.53867552463907
730.0 88.16859506538907
750.0 86.36529975748357
775.0 85.58974030155387
800.0 86.77801514671887
825.0 85.47733277987835
850.0 85.54514651975344
875.0 87.50514540691472
900.0 87.67056454351206
925.0 86.45275397044452
950.0 86.9922843496676
975.0 87.4882063116033
1000.0 85.91938558439524
1030.0 86.15454033721238
1060.0 85.7172169722142
1090.0 85.07845593870579
1120.0 86.24197247163346
1150.0 86.31725912573633
1180.0 86.53008673139904
1220.0 86.66730659765666
1250.0 85.89427326773277
1280.0 86.09443767259683
1320.0 85.94547074479794
1360.0 85.60684979872605
1400.0 86.11097892793428
1450.0 86.24284363668508
1500.0 86.12105030181687
1550.0 85.94827428787795
1600.0 85.73532895786377
1650.0 85.85405905433302
1700.0 86.20444392680587
1750.0 86.56159150353002
1800.0 86.60435545482595
1850.0 86.19880748084822
1900.0 86.13065023139067
1950.0 86.65807571285751
2000.0 87.31666468597969
2060.0 87.660560105209
2120.0 88.08882269253405
2180.0 88.6412557472324
2240.0 88.99372812593865
2300.0 88.9522243569338
2360.0 88.67863506604073
2400.0 88.43177699769615
2500.0 88.6350343499841
2580.0 89.14414710694896
2650.0 88.76737604924104
2720.0 88.09155793118819
2800.0 88.09183528362045
2900.0 87.57374091766526
3000.0 86.73373155158056
3070.0 86.18284019613074
3150.0 86.12381955948052
3250.0 86.71940981916535
3350.0 86.87788860736407
3450.0 86.5074401615108
3550.0 86.42004496508052
3650.0 86.75340902882692
3750.0 87.04556463690304
3870.0 87.60299004764217
4000.0 88.47803788452539
4120.0 88.44746013872253
4250.0 87.9302475021713
4370.0 87.255964431309
4500.0 86.51966354202274
4620.0 86.33457303085726
4750.0 86.30835575156729
4870.0 86.75013964733316
5000.0 88.1034449923621
5150.0 89.53403346758468
5300.0 89.93316981401365
5450.0 89.22807631305646
5600.0 88.03288946016347
5800.0 87.03062651406701
6000.0 86.78735625839452
6150.0 87.25993394406164
6300.0 87.98375078005057
6500.0 88.72349387989755
6700.0 89.68896267612163
6900.0 90.43555654466641
7100.0 90.25807461317697
7300.0 89.57729222094898
7500.0 89.11594950336475
7750.0 89.23112248061496
8000.0 88.90824196741528
8250.0 87.14352146336567
8500.0 87.18279437075276
8750.0 89.12327035932766
9000.0 89.98874994912754
9250.0 89.7991395757019
9500.0 90.0719932347834
9750.0 90.5312372764632
10000.0 90.22734938630785
10300.0 89.4958801824364
10600.0 87.18259722659042
10900.0 85.5603515325648
11200.0 86.16106407238846
11500.0 85.46749067415126
11800.0 84.50778351064486
12200.0 84.11444564565357
12500.0 84.31787560195608
12800.0 85.81217354081912
13200.0 86.86850879041492
13600.0 87.71863438131449
14000.0 88.9396376870469
14500.0 88.63300092541559
15000.0 88.21822417013846
15500.0 87.38657776832535
16000.0 85.34892603044328
16500.0 84.82321868970418
17000.0 86.32124228633846
17500.0 87.41187323383566
18000.0 86.7093143505634
18500.0 86.33197061278769
19000.0 85.77743140099402
19500.0 83.99415548497032
