Freq "Floor Bounce"
22.4 30.7657779338233
23.0 28.54596424966337
23.6 31.476716861544247
24.0 31.54909147844944
25.0 23.452645884975453
25.8 32.016611930001886
26.5 40.25814904041164
27.2 42.97066865828063
28.0 45.03262192638911
29.0 47.46577793382335
30.0 49.43262192638912
30.7 51.56577793382334
31.5 54.23262192638913
32.5 55.89511642211613
33.5 57.424934515884104
34.5 59.458149040411655
35.5 61.458149040411655
36.5 63.38822115024482
37.5 65.18822115024479
38.7 66.8882211502448
40.0 68.55204112158081
41.2 70.05204112158083
42.5 71.41877967180835
43.7 72.61877967180834
45.0 73.81877967180833
46.2 75.38285437744321
47.5 76.4828543774432
48.7 77.3828543774432
50.0 78.5828543774432
51.5 79.38285437744321
53.0 80.2828543774432
54.5 81.3828543774432
56.0 82.24745737495797
58.0 83.01416066597605
60.0 83.6828543774432
61.5 84.28285437744321
63.0 84.81416066597605
65.0 85.44745737495798
67.0 85.8828543774432
69.0 86.24745737495797
71.0 86.61416066597604
73.0 86.84745737495798
75.0 86.94745737495798
77.5 87.147457374958
80.0 87.61416066597604
82.5 88.04745737495799
85.0 87.94745737495798
87.5 87.94745737495798
90.0 88.67901893813114
92.5 88.64745737495798
95.0 88.34745737495798
97.5 88.24745737495799
100.0 87.97901893813113
103.0 87.67901893813112
106.0 87.44745737495799
109.0 87.147457374958
112.0 86.57901893813113
115.0 85.77901893813112
118.0 85.27901893813113
122.0 85.77901893813112
125.0 86.67901893813112
128.0 86.77901893813112
132.0 86.97901893813113
136.0 87.27901893813113
140.0 87.34440020514293
145.0 87.84440020514293
150.0 88.11030077577362
155.0 87.74440020514294
160.0 87.44440020514294
165.0 87.77671686154423
170.0 88.3428712182491
175.0 88.24287121824912
180.0 87.3428712182491
185.0 87.0428712182491
190.0 87.77594936708861
195.0 88.07594936708861
200.0 87.50953919396859
206.0 88.11030077577362
212.0 87.71030077577365
218.0 86.51030077577363
224.0 86.24440020514294
230.0 85.24745737495797
236.0 83.8828543774432
240.0 82.45204112158082
250.0 81.22171656147331
258.0 81.85814904041166
265.0 84.62171656147329
272.0 87.51639104654353
280.0 89.24745737495799
290.0 89.98285437744319
300.0 88.65204112158084
307.0 85.88822115024479
315.0 84.15204112158082
325.0 83.81639104654352
335.0 83.65204112158084
345.0 84.15814904041166
355.0 85.95814904041166
365.0 87.43691450946045
375.0 87.74677906993158
387.0 87.04183782768547
400.0 85.76218449164098
412.0 84.36218449164099
425.0 84.6882211502448
437.0 86.52855889911078
450.0 87.31347714008888
462.0 85.9600277608141
475.0 85.97826931298636
487.0 87.57671686154421
500.0 88.14364458014155
515.0 87.81107995886843
530.0 87.74440020514294
545.0 88.31030077577363
560.0 88.17671686154422
580.0 86.8708064259203
600.0 86.59699103007608
615.0 87.147457374958
630.0 87.15044287739299
650.0 87.88126743475333
670.0 89.39617247033114
690.0 90.29617097325158
710.0 89.97344887675035
730.0 89.17344887675037
750.0 87.86247000875653
775.0 86.93556970908972
800.0 86.79774989392835
825.0 85.43460660726731
850.0 85.41205644686211
875.0 86.72869930923221
900.0 86.73863127527757
925.0 85.99697551672367
950.0 86.87858287247631
975.0 87.47318619148786
1000.0 86.5383067965094
1030.0 87.26783082113415
1060.0 86.75204112158082
1090.0 85.4828543774432
1120.0 85.84982897931678
1150.0 84.97726764660973
1180.0 84.65001263712618
1220.0 84.3849687498586
1250.0 82.70585894094003
1280.0 82.41760224873356
1320.0 82.04433685835558
1360.0 80.70369567836659
1400.0 80.07182811299135
1450.0 80.54759791365535
1500.0 80.69408840858019
1550.0 80.17897645688234
1600.0 79.94009012697381
1650.0 80.61075082278006
1700.0 81.59791958038068
1750.0 82.2158934753595
1800.0 82.37781054857166
1850.0 82.37403686766244
1900.0 82.33028072896398
1950.0 82.189157360334
2000.0 81.84173126734322
2060.0 81.65507502782712
2120.0 82.08960701631385
2180.0 82.87953044332882
2240.0 83.30779264687546
2300.0 83.74972600325793
2360.0 84.44472970705651
2400.0 84.93556970908972
2500.0 84.65799842379815
2580.0 84.3146644774978
2650.0 84.41314626194124
2720.0 84.34002885453006
2800.0 83.49619036357781
2900.0 82.62407034560758
3000.0 81.40521809953111
3070.0 80.22285373428466
3150.0 80.209667926903
3250.0 80.51561365352848
3350.0 80.41290045425785
3450.0 79.63420085920905
3550.0 78.40259480150517
3650.0 78.19427646995895
3750.0 79.3683985134488
3870.0 80.89140462943188
4000.0 81.5909402534966
4120.0 82.26603244711315
4250.0 82.95364220864793
4370.0 83.46505858052599
4500.0 83.71888916069051
4620.0 82.966902269711
4750.0 81.78758546045431
4870.0 80.91297094796772
5000.0 80.61325682469759
5150.0 81.05507502782714
5300.0 81.3938173809033
5450.0 81.67235798274932
5600.0 82.30981395312511
5800.0 83.17375921090718
6000.0 83.77330205971685
6150.0 84.11433453576801
6300.0 84.29893024341222
6500.0 84.4209770388618
6700.0 84.33197161535031
6900.0 83.91848400231079
7100.0 83.6550071757245
7300.0 84.61195573196018
7500.0 86.46306816110808
7750.0 86.50172531490934
8000.0 83.79449600135376
8250.0 80.37675856482531
8500.0 79.64761715265321
