Freq "Side Wall Bounce"
22.4 32.29908810709934
23.0 33.68059307017573
23.6 35.01949183256416
24.0 36.09785609303627
25.0 37.37660819654188
25.8 38.736998954489096
26.5 40.212306813743524
27.2 42.21006113976661
28.0 43.71006113976664
29.0 45.147149405000945
30.0 46.54624855237013
30.7 47.76489011537076
31.5 49.08432484393326
32.5 50.54396845048443
33.5 52.222945509667696
34.5 54.08294805437281
35.5 55.46211340960694
36.5 56.762113409606926
37.5 57.86211340960692
38.7 58.96211340960694
40.0 60.382948054372804
41.2 61.52157071745498
42.5 62.421570717454955
43.7 63.22157071745498
45.0 63.74165599637156
46.2 64.46119474234182
47.5 65.00139211624763
48.7 65.42157071745497
50.0 65.74165599637156
51.5 65.94165599637157
53.0 66.22110176237115
54.5 66.48064597778591
56.0 66.72110176237116
58.0 67.1009209770721
60.0 67.3806459777859
61.5 67.76027588070905
63.0 68.08064597778592
65.0 68.36027588070905
67.0 68.5806459777859
69.0 68.76027588070905
71.0 68.86027588070904
73.0 68.90092097707209
75.0 68.94027672897049
77.5 68.98064597778591
80.0 69.00092097707208
82.5 69.14165599637157
85.0 69.32157071745497
87.5 69.52157071745496
90.0 69.76211340960694
92.5 69.94165599637157
95.0 70.1023023206405
97.5 70.28338957194298
100.0 70.38338957194297
103.0 70.483389571943
106.0 70.56395064819496
109.0 70.66395064819496
112.0 70.78526041028545
115.0 70.94530504353962
118.0 71.08751894170379
122.0 71.26670626616769
125.0 71.44849756031407
128.0 71.62934852351542
132.0 71.7875189417038
136.0 71.94530504353962
140.0 71.98338957194296
145.0 71.98338957194296
150.0 71.88338957194297
155.0 71.68338957194298
160.0 71.4252366727071
165.0 71.12757995317386
170.0 70.85226959352626
175.0 70.61564374029257
180.0 70.49805014496485
185.0 70.40352961026538
190.0 70.38505351870533
195.0 70.40352961026538
200.0 70.48078789497028
206.0 70.54079116945019
212.0 70.5807878949703
218.0 70.49805014496485
224.0 70.43700614024073
230.0 70.29805014496486
236.0 70.13700614024071
240.0 70.05945612203075
250.0 70.04520600354645
258.0 70.08668237198825
265.0 70.06813431484035
272.0 70.06813431484035
280.0 70.036773874776
290.0 70.036773874776
300.0 70.08264684748963
307.0 70.09912659892176
315.0 70.02338785614022
325.0 69.98937136577422
335.0 70.10700008330893
