Freq "DI offset"
20.1416 40
20.5078 40
21.9727 40
23.8037 40
25.2686 40
27.0996 40
29.2969 40
31.1279 40
33.3252 40
35.8887 40
38.4521 40
41.3818 40
44.3115 40
47.2412 40
50.9033 40
54.5654 40
58.2275 40
62.6221 40
67.0166 40
71.7773 40
76.9043 40
82.3975 40
88.2568 40
94.8486 40
101.44 40
108.765 40
116.455 40
124.878 40
134.033 40
143.555 40
153.809 40
164.795 40
176.88 40
189.331 40
202.881 40
217.529 40
233.276 40
250.122 40
268.066 40
287.109 40
307.617 40
329.956 40
353.394 40
379.028 40
406.128 40
435.425 40
466.553 40
499.878 40
535.767 40
574.219 40
615.601 40
659.912 40
707.153 40
757.69 40
812.256 40
870.483 40
933.105 40
1000.12 40
1071.9 40
1148.8 40
1231.2 40
1319.46 40
1414.31 40
1515.75 40
1624.51 40
1740.97 40
1866.21 40
1999.88 40
2143.43 40
2297.24 40
2462.4 40
2638.92 40
2828.25 40
3031.49 40
3249.02 40
3482.3 40
3732.06 40
4000.12 40
4287.23 40
4594.85 40
4924.44 40
5278.2 40
5656.86 40
6062.99 40
6498.05 40
6964.23 40
7464.11 40
7999.88 40
8574.1 40
9189.7 40
9849.24 40
10556.0 40
11313.7 40
12125.6 40
12996.1 40
13928.8 40
14928.6 40
16000.1 40
17148.2 40
18379.0 40
19698.5 40
19999.9 40
